,1995-1999,ticker,company,1996-2000,ticker,company,1997-2001,ticker,company,1998-2002,ticker,company,1999-2003,ticker,company,2000-2004,ticker,company,2001-2005,ticker,company,2002-2006,ticker,company,2003-2007,ticker,company,2004-2008,ticker,company,2005-2009,ticker,company,2006-2010,ticker,company,2007-2011,ticker,company,2008-2012,ticker,company,2009-2013,ticker,company,2010-2014,ticker,company,2011-2015,ticker,company,2012-2016,ticker,company,2013-2017,ticker,company,2014-2018,ticker,company
236,112.43%,EMR,Emerson Electric Company,63.09%,TSS,Total System Services,67.00%,BDX,Becton Dickinson,32.94%,MAR,Marriott Int'l.,13.79%,RSG,Republic Services Inc,51.87%,SCG,SCANA Corp,63.84%,TSN,Tyson Foods,67.45%,LLL,L-3 Communications Holdings,119.56%,CTXS,Citrix Systems,-8.35%,ALK,Alaska Air Group Inc,-35.05%,PKI,PerkinElmer,9.35%,CAT,Caterpillar Inc.,-8.33%,PAYX,Paychex Inc.,-28.41%,NFX,Newfield Exploration Co,67.54%,AET,Aetna Inc,70.83%,CBOE,CBOE Holdings,74.76%,CNP,CenterPoint Energy,52.72%,THC,Tenet Healthcare,48.97%,FFIV,F5 Networks,47.94%,FTV,Fortive Corp
237,111.39%,NFX,Newfield Exploration Co,62.57%,PNC,PNC Financial Services,66.59%,AVY,Avery Dennison Corp,32.57%,HCN,Welltower Inc.,13.45%,TGT,Target Corp.,50.87%,IRM,Iron Mountain Incorporated,63.83%,CELG,Celgene Corp.,67.27%,M,Macy's Inc.,119.44%,CNC,Centene Corporation,-8.99%,AIG,"American International Group, Inc.",-35.10%,AKS,AK Steel Holding Corp.,9.14%,DOV,Dover Corp.,-8.45%,NI,NiSource Inc.,-29.37%,CBG,CBRE Group,67.47%,BMY,Bristol-Myers Squibb,70.26%,RHI,Robert Half International,74.05%,MKC,McCormick & Co.,50.57%,PBCT,People's United Financial,48.50%,S,Sprint Nextel Corp.,47.78%,GHC,Graham Holdings
238,110.93%,MCHP,Microchip Technology,61.72%,CINF,Cincinnati Financial,66.40%,HPQ,HP Inc.,32.16%,URBN,Urban Outfitters,13.41%,RL,Polo Ralph Lauren Corp.,50.82%,LUV,Southwest Airlines,63.73%,MO,Altria Group Inc,66.80%,SCG,SCANA Corp,119.23%,FL,Foot Locker Inc,-12.10%,MAS,Masco Corp.,-35.21%,CAG,Conagra Brands,9.04%,R,Ryder Systems Inc.,-8.79%,EFX,Equifax Inc.,-30.28%,NWL,Newell Brands,67.42%,CINF,Cincinnati Financial,69.97%,CMA,Comerica Inc.,73.87%,PAYX,Paychex Inc.,49.94%,HCN,Welltower Inc.,48.36%,MCK,McKesson Corp.,47.36%,CNP,CenterPoint Energy
239,108.13%,VFC,V.F. Corp.,61.38%,KO,Coca-Cola Company,65.87%,ED,Consolidated Edison,31.78%,MAC,Macerich,13.22%,AIG,"American International Group, Inc.",50.60%,MAR,Marriott Int'l.,63.37%,MAS,Masco Corp.,66.66%,BHGE,"Baker Hughes, a GE Company",118.57%,PX,Praxair Inc.,-12.32%,SEE,Sealed Air,-35.93%,XLNX,Xilinx Inc,9.00%,JEC,Jacobs Engineering Group,-9.48%,JWN,Nordstrom,-30.68%,SYK,Stryker Corp.,66.75%,ZBH,Zimmer Biomet Holdings,69.73%,ATVI,Activision Blizzard,73.43%,RL,Polo Ralph Lauren Corp.,49.75%,MCHP,Microchip Technology,48.21%,LH,Laboratory Corp. of America Holding,46.77%,BBT,BB&T Corporation
240,107.09%,O,Realty Income Corporation,61.35%,LUK,Leucadia National Corp.,65.41%,IR,Ingersoll-Rand PLC,30.95%,CVX,Chevron Corp.,13.00%,NKE,Nike,50.44%,ADSK,Autodesk Inc,63.29%,ESRX,Express Scripts,66.28%,RJF,Raymond James Financial Inc.,118.54%,NE,Noble Corp,-16.68%,LOW,Lowe's Cos.,-36.16%,RDC,Rowan Companies Plc,8.90%,SNPS,Synopsys Inc.,-9.64%,AKAM,Akamai Technologies Inc,-32.01%,SLM,SLM Corporation,66.44%,RHI,Robert Half International,69.56%,GT,Goodyear Tire & Rubber,73.14%,FAST,Fastenal Co,48.79%,PRGO,Perrigo,45.48%,SBAC,SBA Communications,45.79%,C,Citigroup Inc.
241,106.36%,NEE,NextEra Energy,61.34%,UHS,"Universal Health Services, Inc.",64.36%,DRE,Duke Realty Corp,30.88%,KMB,Kimberly-Clark,12.91%,PBCT,People's United Financial,50.35%,MGM,MGM Resorts International,61.49%,BF.B,Brown-Forman Corp.,65.28%,FE,FirstEnergy Corp,118.24%,DIS,The Walt Disney Company,-16.76%,ODP,Office Depot Inc.,-36.18%,BBBY,Bed Bath & Beyond,8.43%,AVB,"AvalonBay Communities, Inc.",-10.53%,WBA,Walgreens Boots Alliance,-32.14%,LLL,L-3 Communications Holdings,66.15%,PHM,Pulte Homes Inc.,69.39%,FRT,Federal Realty Investment Trust,72.93%,BXP,Boston Properties,48.29%,ROK,Rockwell Automation Inc.,44.69%,AFL,AFLAC Inc,45.71%,PM,Philip Morris International
242,106.03%,MKC,McCormick & Co.,61.28%,TMK,Torchmark Corp.,64.28%,ETN,Eaton Corporation,30.75%,USB,U.S. Bancorp,11.78%,CAT,Caterpillar Inc.,50.18%,HOG,Harley-Davidson,61.44%,TMK,Torchmark Corp.,64.74%,ROP,Roper Technologies,117.69%,HSIC,Henry Schein,-17.27%,ZION,Zions Bancorp,-37.25%,PBI,Pitney Bowes Inc,8.35%,WHR,Whirlpool Corp.,-11.31%,CAH,Cardinal Health,-32.45%,CSCO,Cisco Systems,65.98%,ITT,ITT Corp.,68.15%,CAG,Conagra Brands,72.42%,AMZN,Amazon.com Inc,48.11%,ORCL,Oracle Corp.,44.20%,X,United States Steel Corporation,45.10%,PBCT,People's United Financial
243,105.85%,LMT,Lockheed Martin Corp.,60.69%,BAC,Bank of America Corp,63.15%,AVB,"AvalonBay Communities, Inc.",29.74%,PX,Praxair Inc.,11.54%,CINF,Cincinnati Financial,48.32%,STT,State Street Corp.,61.14%,LB,L Brands Inc.,64.39%,RF,Regions Financial Corp.,117.37%,BF.B,Brown-Forman Corp.,-17.29%,SIG,Signet Jewelers,-38.12%,AMG,Affiliated Managers Group Inc,8.25%,JWN,Nordstrom,-11.93%,JBL,Jabil Circuit,-33.42%,ADM,Archer-Daniels-Midland Co,64.46%,TSS,Total System Services,67.85%,BXP,Boston Properties,71.91%,PXD,Pioneer Natural Resources,47.99%,AFL,AFLAC Inc,43.53%,GRMN,Garmin Ltd.,44.73%,PSX,Phillips 66
244,104.70%,MRO,Marathon Oil Corp.,58.95%,REG,Regency Centers Corporation,62.53%,SIG,Signet Jewelers,29.62%,TSS,Total System Services,11.18%,XEC,Cimarex Energy,48.28%,ADM,Archer-Daniels-Midland Co,60.89%,WHR,Whirlpool Corp.,64.24%,SO,Southern Co.,116.78%,CHD,Church & Dwight,-19.19%,HD,Home Depot,-38.20%,AMAT,Applied Materials Inc,7.76%,PNW,Pinnacle West Capital,-12.13%,URI,"United Rentals, Inc.",-33.66%,MON,Monsanto Co.,64.40%,MDLZ,Mondelez International,67.59%,IRM,Iron Mountain Incorporated,70.62%,ATVI,Activision Blizzard,47.55%,KORS,Michael Kors Holdings,42.14%,IRM,Iron Mountain Incorporated,44.26%,FII,Federated Investors
245,103.77%,NBR,Nabors Industries,57.99%,PX,Praxair Inc.,62.03%,MGM,MGM Resorts International,29.01%,DRE,Duke Realty Corp,10.69%,LEG,Leggett & Platt,47.86%,GHC,Graham Holdings,60.37%,TGT,Target Corp.,63.48%,XRAY,Dentsply Sirona,116.01%,IVZ,Invesco Ltd.,-22.55%,HBAN,Huntington Bancshares,-38.64%,AVY,Avery Dennison Corp,7.54%,NTRS,Northern Trust Corp.,-13.08%,ANF,Abercrombie & Fitch,-33.84%,AIZ,Assurant Inc,64.07%,ADP,Automatic Data Processing,67.53%,LUV,Southwest Airlines,70.44%,XL,XL Capital,47.00%,BXP,Boston Properties,42.11%,EXPD,Expeditors International,44.25%,TWX,Time Warner Inc.
246,102.59%,BRK.B,Berkshire Hathaway,57.93%,AVB,"AvalonBay Communities, Inc.",61.56%,MYL,Mylan N.V.,28.39%,AEE,Ameren Corp,10.08%,TRV,The Travelers Companies Inc.,47.77%,MCK,McKesson Corp.,60.24%,UPS,United Parcel Service,63.25%,JBL,Jabil Circuit,115.22%,UTX,United Technologies,-23.78%,AAL,American Airlines Group,-38.81%,CA,"CA, Inc.",7.50%,AFL,AFLAC Inc,-13.33%,FDX,FedEx Corporation,-33.84%,ADBE,Adobe Systems Inc,63.38%,WBA,Walgreens Boots Alliance,67.12%,ANTM,Anthem Inc.,69.89%,GIS,General Mills,46.32%,MON,Monsanto Co.,40.68%,HST,Host Hotels & Resorts,43.29%,STT,State Street Corp.
247,102.03%,PPL,PPL Corp.,57.85%,DRI,Darden Restaurants,61.35%,KIM,Kimco Realty,27.92%,COG,Cabot Oil & Gas,9.81%,PRU,Prudential Financial,47.56%,ECL,Ecolab,59.68%,SCG,SCANA Corp,63.21%,PDCO,Patterson Companies,115.11%,IT,Gartner Inc,-26.48%,PFE,Pfizer Inc.,-39.07%,CAH,Cardinal Health,7.49%,FE,FirstEnergy Corp,-14.54%,SEE,Sealed Air,-34.32%,ANF,Abercrombie & Fitch,61.45%,EIX,Edison Int'l,66.57%,ABT,Abbott Laboratories,69.68%,RMD,ResMed,43.97%,PEG,Public Serv. Enterprise Inc.,39.54%,ODP,Office Depot Inc.,43.18%,SRE,Sempra Energy
248,101.95%,RE,Everest Re,57.76%,BRK.B,Berkshire Hathaway,61.09%,ALL,Allstate Corp,27.62%,CNC,Centene Corporation,9.63%,BEN,Franklin Resources,46.96%,HRS,Harris Corporation,58.69%,USB,U.S. Bancorp,62.55%,WFC,Wells Fargo,114.47%,QCOM,QUALCOMM Inc.,-26.62%,HRB,Block H&R,-39.29%,JWN,Nordstrom,7.21%,EXPE,Expedia Inc.,-14.65%,X,United States Steel Corporation,-34.68%,WHR,Whirlpool Corp.,61.26%,MCD,McDonald's Corp.,66.31%,GHC,Graham Holdings,69.20%,ROK,Rockwell Automation Inc.,43.58%,GPS,Gap Inc.,38.19%,SO,Southern Co.,43.15%,CTSH,Cognizant Technology Solutions
249,101.90%,PEG,Public Serv. Enterprise Inc.,57.39%,DRE,Duke Realty Corp,60.37%,MMM,3M Company,27.48%,PGR,Progressive Corp.,9.09%,PEP,PepsiCo Inc.,46.65%,CINF,Cincinnati Financial,57.57%,MAR,Marriott Int'l.,61.52%,COF,Capital One Financial,114.39%,MA,Mastercard Inc.,-26.66%,ADI,"Analog Devices, Inc.",-39.41%,CCE,Coca-Cola Enterprises,6.87%,LRCX,Lam Research,-14.88%,RHI,Robert Half International,-36.69%,NBR,Nabors Industries,60.33%,CMA,Comerica Inc.,65.76%,MET,MetLife Inc.,69.17%,KEY,KeyCorp,43.10%,LH,Laboratory Corp. of America Holding,36.76%,GM,General Motors,43.08%,BXP,Boston Properties
250,100.62%,DO,Diamond Offshore Drilling,57.30%,IP,International Paper,60.35%,KMB,Kimberly-Clark,27.17%,VLO,Valero Energy,8.83%,WY,Weyerhaeuser Corp.,46.49%,PRU,Prudential Financial,57.39%,NVDA,Nvidia Corporation,61.26%,SVU,Supervalu Inc.,113.46%,FE,FirstEnergy Corp,-28.35%,XL,XL Capital,-39.60%,HBI,Hanesbrands Inc,6.46%,MCHP,Microchip Technology,-15.12%,PPL,PPL Corp.,-36.83%,FTR,Frontier Communications,60.20%,DRE,Duke Realty Corp,64.53%,TPR,"Tapestry, Inc.",67.51%,PPL,PPL Corp.,43.09%,EOG,EOG Resources,35.67%,BAX,Baxter International Inc.,42.77%,FRT,Federal Realty Investment Trust
251,100.20%,BCR,Bard (C.R.) Inc.,56.50%,CB,Chubb Corp,59.73%,XEL,Xcel Energy Inc,27.16%,EL,Estee Lauder Cos.,8.23%,LB,L Brands Inc.,46.07%,PAYX,Paychex Inc.,57.11%,DISH,Dish Network,60.70%,MET,MetLife Inc.,113.45%,HCN,Welltower Inc.,-28.97%,C,Citigroup Inc.,-39.72%,AES,AES Corp,6.38%,EXPD,Expeditors International,-15.22%,DWDP,DowDuPont,-37.06%,EXC,Exelon Corp.,59.37%,FII,Federated Investors,64.36%,XOM,Exxon Mobil Corp.,67.34%,HBAN,Huntington Bancshares,43.06%,SYMC,Symantec Corp.,35.34%,SPG,Simon Property Group Inc,42.68%,KMX,Carmax Inc
252,99.44%,DUK,Duke Energy,56.34%,LLL,L-3 Communications Holdings,59.60%,SJM,JM Smucker,26.75%,JBHT,J. B. Hunt Transport Services,8.12%,TMK,Torchmark Corp.,44.67%,CTAS,Cintas Corporation,55.97%,COG,Cabot Oil & Gas,60.61%,WLTW,Willis Towers Watson,112.65%,ES,Eversource Energy,-32.20%,BBBY,Bed Bath & Beyond,-41.05%,HD,Home Depot,6.07%,BBBY,Bed Bath & Beyond,-15.31%,CINF,Cincinnati Financial,-37.38%,ICE,Intercontinental Exchange,58.50%,VNO,Vornado Realty Trust,64.21%,TER,Teradyne,67.23%,CME,CME Group Inc.,42.21%,F,Ford Motor,32.96%,ABT,Abbott Laboratories,41.58%,MGM,MGM Resorts International
253,98.81%,HAL,Halliburton Co.,56.31%,COP,ConocoPhillips,57.99%,BF.B,Brown-Forman Corp.,26.47%,VTR,Ventas Inc,7.94%,GPC,Genuine Parts,44.52%,IR,Ingersoll-Rand PLC,55.83%,PKG,Packaging Corporation of America,60.32%,KEY,KeyCorp,111.92%,CRM,Salesforce.com,-37.87%,FL,Foot Locker Inc,-41.12%,SEE,Sealed Air,5.95%,PM,Philip Morris International,-15.94%,LMT,Lockheed Martin Corp.,-38.05%,PBI,Pitney Bowes Inc,58.33%,RE,Everest Re,64.19%,CA,"CA, Inc.",65.49%,ADI,"Analog Devices, Inc.",41.57%,TROW,T. Rowe Price Group,32.75%,AME,AMETEK Inc,40.79%,UHS,"Universal Health Services, Inc."
254,98.68%,VLO,Valero Energy,55.90%,NOV,National Oilwell Varco Inc.,57.91%,GIS,General Mills,26.08%,GPC,Genuine Parts,7.55%,AET,Aetna Inc,42.58%,PNC,PNC Financial Services,55.34%,FE,FirstEnergy Corp,59.91%,K,Kellogg Co.,111.25%,AKS,AK Steel Holding Corp.,-42.37%,MYL,Mylan N.V.,-41.25%,SWKS,Skyworks Solutions,5.84%,XLNX,Xilinx Inc,-16.36%,NBR,Nabors Industries,-38.86%,CDNS,Cadence Design Systems,57.90%,PSX,Phillips 66,64.11%,UDR,UDR Inc,65.21%,XYL,Xylem Inc.,41.45%,SLM,SLM Corporation,32.62%,INFO,IHS Markit Ltd.,39.78%,PRU,Prudential Financial
255,98.33%,VRTX,Vertex Pharmaceuticals Inc,55.53%,KIM,Kimco Realty,57.69%,HSY,The Hershey Company,25.47%,FRT,Federal Realty Investment Trust,7.39%,FLR,Fluor Corp.,42.53%,NOV,National Oilwell Varco Inc.,54.96%,STX,Seagate Technology,59.88%,EFX,Equifax Inc.,110.56%,XRX,Xerox Corp.,-42.49%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,-41.36%,PFG,Principal Financial Group,4.95%,MRO,Marathon Oil Corp.,-16.65%,GME,GameStop,-39.05%,ADSK,Autodesk Inc,56.56%,AEP,American Electric Power,63.42%,AVB,"AvalonBay Communities, Inc.",64.89%,PNC,PNC Financial Services,41.23%,UTX,United Technologies,30.52%,ALXN,Alexion Pharmaceuticals,38.92%,ORCL,Oracle Corp.
256,97.84%,DIS,The Walt Disney Company,53.88%,AGN,"Allergan, Inc",57.16%,HRB,Block H&R,25.12%,MO,Altria Group Inc,7.05%,ORLY,O'Reilly Automotive,42.49%,NKE,Nike,54.94%,APD,Air Products & Chemicals Inc,59.13%,PG,Procter & Gamble,110.07%,ACN,Accenture plc,-43.24%,SLM,SLM Corporation,-42.43%,MYL,Mylan N.V.,4.51%,TSS,Total System Services,-16.87%,LOW,Lowe's Cos.,-39.37%,PHM,Pulte Homes Inc.,53.10%,HOLX,Hologic,62.81%,ADBE,Adobe Systems Inc,64.44%,XLNX,Xilinx Inc,40.67%,PCAR,PACCAR Inc.,29.48%,SNI,Scripps Networks Interactive Inc.,38.68%,RHI,Robert Half International
257,97.07%,KIM,Kimco Realty,53.44%,EMR,Emerson Electric Company,56.58%,PBCT,People's United Financial,24.81%,BBT,BB&T Corporation,7.04%,BA,Boeing Company,42.32%,PCG,PG&E Corp.,54.34%,MRO,Marathon Oil Corp.,59.00%,MTB,M&T Bank Corp.,109.73%,CCL,Carnival Corp.,-44.98%,JBL,Jabil Circuit,-44.13%,ADI,"Analog Devices, Inc.",4.33%,BF.B,Brown-Forman Corp.,-17.38%,MTB,M&T Bank Corp.,-40.56%,CHK,Chesapeake Energy,52.90%,NVDA,Nvidia Corporation,62.70%,KO,Coca-Cola Company,64.22%,KIM,Kimco Realty,40.61%,CMG,Chipotle Mexican Grill,28.01%,HLT,Hilton Worldwide,38.51%,MAC,Macerich
258,96.77%,MYL,Mylan N.V.,53.16%,HSY,The Hershey Company,56.23%,FOX,Twenty-First Century Fox Class B,24.66%,AME,AMETEK Inc,6.94%,AXP,American Express Co,42.12%,MON,Monsanto Co.,53.18%,AMD,Advanced Micro Devices,58.49%,MHK,Mohawk Industries,109.48%,DUK,Duke Energy,-46.18%,MU,Micron Technology,-44.69%,DAL,Delta Air Lines,4.15%,ESS,"Essex Property Trust, Inc.",-18.43%,PFE,Pfizer Inc.,-40.71%,GM,General Motors,52.71%,TRIP,TripAdvisor,62.55%,ESRX,Express Scripts,64.22%,AVB,"AvalonBay Communities, Inc.",39.82%,DLR,Digital Realty,27.13%,CVX,Chevron Corp.,38.34%,TROW,T. Rowe Price Group
259,96.70%,HSIC,Henry Schein,53.07%,HP,Helmerich & Payne,55.47%,PGR,Progressive Corp.,24.43%,WY,Weyerhaeuser Corp.,6.55%,VRTX,Vertex Pharmaceuticals Inc,42.08%,RRD,R.R. Donnelley,52.95%,PG,Procter & Gamble,58.43%,MKC,McCormick & Co.,109.19%,NEE,NextEra Energy,-46.67%,LVLT,Level 3 Communications,-44.75%,AIV,Apartment Investment & Management,3.45%,HRB,Block H&R,-18.64%,VNO,Vornado Realty Trust,-43.06%,GLW,Corning Inc.,52.25%,IRM,Iron Mountain Incorporated,61.97%,AEP,American Electric Power,63.85%,JPM,JPMorgan Chase & Co.,39.69%,VZ,Verizon Communications,20.88%,NBR,Nabors Industries,38.19%,XRAY,Dentsply Sirona
260,96.11%,PWR,Quanta Services Inc.,52.59%,AMG,Affiliated Managers Group Inc,55.41%,ITW,Illinois Tool Works,23.56%,APD,Air Products & Chemicals Inc,5.92%,IR,Ingersoll-Rand PLC,42.01%,SWK,Stanley Black & Decker,50.33%,WY,Weyerhaeuser Corp.,58.31%,GME,GameStop,108.89%,AMZN,Amazon.com Inc,-47.19%,DFS,Discover Financial Services,-45.81%,SPGI,"S&P Global, Inc.",3.35%,NOC,Northrop Grumman Corp.,-18.85%,CMCSA,Comcast Corp.,-43.07%,GE,General Electric,51.15%,LLY,Lilly (Eli) & Co.,61.85%,SUN,Sunoco Inc.,62.92%,PEP,PepsiCo Inc.,39.18%,XEC,Cimarex Energy,19.59%,MON,Monsanto Co.,37.35%,PFE,Pfizer Inc.
261,95.38%,HAS,Hasbro Inc.,52.24%,STZ,Constellation Brands,54.67%,LRCX,Lam Research,23.55%,BMS,Bemis Company,5.83%,FHN,First Horizon,41.44%,K,Kellogg Co.,50.25%,MAT,Mattel Inc.,57.96%,HBAN,Huntington Bancshares,108.63%,CSCO,Cisco Systems,-49.66%,AMD,Advanced Micro Devices,-46.75%,LUV,Southwest Airlines,2.29%,SYMC,Symantec Corp.,-19.07%,BA,Boeing Company,-43.79%,MAS,Masco Corp.,50.29%,GE,General Electric,61.75%,ORCL,Oracle Corp.,62.79%,PM,Philip Morris International,39.15%,ADM,Archer-Daniels-Midland Co,10.96%,COTY,"Coty, Inc",37.28%,WMT,Wal-Mart Stores
262,94.70%,GLW,Corning Inc.,52.15%,GWW,Grainger (W.W.) Inc.,54.56%,PG,Procter & Gamble,23.53%,AXP,American Express Co,5.57%,ALXN,Alexion Pharmaceuticals,40.55%,GIS,General Mills,49.95%,FIS,Fidelity National Information Services,57.84%,NKE,Nike,108.44%,WEC,Wec Energy Group Inc,-54.01%,PHM,Pulte Homes Inc.,-47.52%,WY,Weyerhaeuser Corp.,1.87%,LEG,Leggett & Platt,-19.17%,LSI,LSI Corporation,-43.96%,KIM,Kimco Realty,50.18%,ICE,Intercontinental Exchange,61.36%,F,Ford Motor,62.60%,VNO,Vornado Realty Trust,38.23%,PBI,Pitney Bowes Inc,7.52%,PYPL,PayPal,35.65%,WLTW,Willis Towers Watson
263,91.99%,SCG,SCANA Corp,50.92%,RIG,Transocean,53.40%,MCD,McDonald's Corp.,23.19%,IPG,Interpublic Group,5.12%,SHW,Sherwin-Williams,40.50%,PNR,Pentair Ltd.,49.53%,RRD,R.R. Donnelley,57.38%,XOM,Exxon Mobil Corp.,107.11%,HON,Honeywell Int'l Inc.,-59.33%,NYT,The New York Times Co.,-47.99%,SNI,Scripps Networks Interactive Inc.,1.71%,SYY,Sysco Corp.,-20.60%,MET,MetLife Inc.,-44.65%,AES,AES Corp,49.92%,JPM,JPMorgan Chase & Co.,61.30%,ESV,Ensco plc,62.26%,VTR,Ventas Inc,37.88%,KO,Coca-Cola Company,7.05%,PHM,Pulte Homes Inc.,35.53%,CCE,Coca-Cola Enterprises
264,91.20%,HRS,Harris Corporation,50.00%,ITT,ITT Corp.,53.35%,GS,Goldman Sachs Group,23.13%,COO,The Cooper Companies,4.63%,ALL,Allstate Corp,40.21%,JWN,Nordstrom,49.29%,KEY,KeyCorp,57.25%,GWW,Grainger (W.W.) Inc.,105.94%,A,Agilent Technologies Inc,-59.37%,TER,Teradyne,-48.19%,ADSK,Autodesk Inc,1.49%,LUK,Leucadia National Corp.,-21.27%,HOLX,Hologic,-45.06%,MET,MetLife Inc.,49.54%,ANTM,Anthem Inc.,61.00%,ZBH,Zimmer Biomet Holdings,62.09%,MTB,M&T Bank Corp.,37.68%,ALLE,Allegion,2.03%,M,Macy's Inc.,34.81%,ABC,AmerisourceBergen Corp
265,90.84%,APD,Air Products & Chemicals Inc,48.69%,PGR,Progressive Corp.,53.35%,MAS,Masco Corp.,22.98%,BF.B,Brown-Forman Corp.,4.51%,XOM,Exxon Mobil Corp.,39.65%,PEP,PepsiCo Inc.,48.94%,MMM,3M Company,56.46%,CLX,The Clorox Company,105.88%,SYMC,Symantec Corp.,-60.71%,LEN,Lennar Corp.,-48.44%,ANF,Abercrombie & Fitch,1.15%,EXC,Exelon Corp.,-21.48%,WY,Weyerhaeuser Corp.,-48.39%,GHC,Graham Holdings,48.35%,DNR,Denbury Resources,60.69%,DWDP,DowDuPont,61.99%,SRCL,Stericycle Inc,36.33%,MCD,McDonald's Corp.,1.27%,FMC,FMC Corporation,34.71%,JNPR,Juniper Networks
266,90.33%,NOC,Northrop Grumman Corp.,48.63%,PEG,Public Serv. Enterprise Inc.,51.67%,DTE,DTE Energy,22.78%,ZION,Zions Bancorp,3.73%,WHR,Whirlpool Corp.,39.26%,SNA,Snap-On Inc.,48.73%,EXC,Exelon Corp.,56.23%,CB,Chubb Corp,105.77%,PFG,Principal Financial Group,-68.35%,THC,Tenet Healthcare,-48.94%,FOX,Twenty-First Century Fox Class B,0.01%,FOX,Twenty-First Century Fox Class B,-21.56%,SYMC,Symantec Corp.,-48.64%,ANDV,Andeavor,43.89%,MDT,Medtronic plc,60.15%,AFL,AFLAC Inc,61.91%,WM,Waste Management Inc.,36.06%,YUM,Yum! Brands Inc,-0.15%,FTI,TechnipFMC,34.55%,ECL,Ecolab
267,89.44%,SHW,Sherwin-Williams,48.62%,BDX,Becton Dickinson,51.53%,CLX,The Clorox Company,22.33%,ED,Consolidated Edison,3.11%,BRK.B,Berkshire Hathaway,38.98%,ABT,Abbott Laboratories,48.14%,GD,General Dynamics,55.92%,FL,Foot Locker Inc,105.56%,IR,Ingersoll-Rand PLC,nan%,KG,King Pharmaceuticals Inc.,-49.03%,GE,General Electric,-0.21%,ITT,ITT Corp.,-22.01%,STZ,Constellation Brands,-48.98%,HOLX,Hologic,43.88%,SYK,Stryker Corp.,58.74%,PNC,PNC Financial Services,61.68%,DISCA,Discovery Communications,35.74%,DOV,Dover Corp.,-6.40%,WRK,WestRock Company,33.34%,CMI,Cummins Inc.
268,89.03%,DRI,Darden Restaurants,48.48%,BLL,Ball Corp,50.13%,HRL,Hormel Foods Corp.,22.22%,ROK,Rockwell Automation Inc.,2.72%,FIS,Fidelity National Information Services,38.53%,CMA,Comerica Inc.,47.37%,FTI,TechnipFMC,55.84%,EMN,Eastman Chemical,105.37%,AON,Aon plc,1789.99%,ISRG,Intuitive Surgical Inc.,-49.24%,KMX,Carmax Inc,-0.52%,GPC,Genuine Parts,-22.03%,BK,The Bank of New York Mellon Corp.,-49.24%,DNR,Denbury Resources,43.70%,XRAY,Dentsply Sirona,58.17%,SYK,Stryker Corp.,61.36%,QCOM,QUALCOMM Inc.,35.67%,PXD,Pioneer Natural Resources,-9.36%,MAT,Mattel Inc.,32.60%,COF,Capital One Financial
269,88.66%,MTD,Mettler Toledo,48.38%,DIS,The Walt Disney Company,49.94%,ALB,Albemarle Corp,21.68%,WFC,Wells Fargo,2.61%,BBT,BB&T Corporation,37.74%,TROW,T. Rowe Price Group,47.22%,NFLX,Netflix Inc.,55.53%,SIG,Signet Jewelers,104.76%,PNC,PNC Financial Services,918.68%,GRA,W.R. Grace,-49.55%,ZBH,Zimmer Biomet Holdings,-0.56%,GRMN,Garmin Ltd.,-22.90%,ADBE,Adobe Systems Inc,-49.54%,GGP,General Growth Properties Inc.,43.63%,GILD,Gilead Sciences,57.90%,C,Citigroup Inc.,61.16%,AIV,Apartment Investment & Management,35.35%,BWA,BorgWarner,-10.89%,FE,FirstEnergy Corp,32.30%,KMB,Kimberly-Clark
270,88.13%,ITT,ITT Corp.,48.37%,PPG,PPG Industries,49.47%,HON,Honeywell Int'l Inc.,21.34%,SPG,Simon Property Group Inc,2.41%,ES,Eversource Energy,37.66%,FIS,Fidelity National Information Services,46.86%,HST,Host Hotels & Resorts,55.29%,VFC,V.F. Corp.,104.72%,XEC,Cimarex Energy,832.55%,SWN,Southwestern Energy,-49.88%,JCP,J.C. Penney,-0.70%,GLW,Corning Inc.,-23.48%,NDAQ,"Nasdaq, Inc.",-49.79%,GT,Goodyear Tire & Rubber,43.44%,MON,Monsanto Co.,56.65%,REG,Regency Centers Corporation,61.09%,BAX,Baxter International Inc.,33.44%,DISCK,Discovery Communications,-15.78%,KORS,Michael Kors Holdings,31.97%,WBA,Walgreens Boots Alliance
271,87.97%,GIS,General Mills,45.38%,PEP,PepsiCo Inc.,48.89%,RIG,Transocean,21.11%,CNP,CenterPoint Energy,2.22%,AYI,Acuity Brands Inc,37.62%,AGN,"Allergan, Inc",46.18%,EMN,Eastman Chemical,55.24%,ZION,Zions Bancorp,103.10%,RSG,Republic Services Inc,656.16%,DO,Diamond Offshore Drilling,-49.94%,FOXA,Twenty-First Century Fox Class A,-0.81%,LB,L Brands Inc.,-24.08%,PBCT,People's United Financial,-49.97%,AVP,Avon Products,43.10%,PAYX,Paychex Inc.,56.49%,GD,General Dynamics,60.76%,YUM,Yum! Brands Inc,33.43%,SNI,Scripps Networks Interactive Inc.,-17.41%,SRCL,Stericycle Inc,31.95%,T,AT&T Inc
