,1995-1999,ticker,company,1996-2000,ticker,company,1997-2001,ticker,company,1998-2002,ticker,company,1999-2003,ticker,company,2000-2004,ticker,company,2001-2005,ticker,company,2002-2006,ticker,company,2003-2007,ticker,company,2004-2008,ticker,company,2005-2009,ticker,company,2006-2010,ticker,company,2007-2011,ticker,company,2008-2012,ticker,company,2009-2013,ticker,company,2010-2014,ticker,company,2011-2015,ticker,company,2012-2016,ticker,company,2013-2017,ticker,company,2014-2018,ticker,company
23,580.50%,PAYX,Paychex Inc.,576.55%,EXPD,Expeditors International,504.01%,TXN,Texas Instruments,271.36%,ORCL,Oracle Corp.,171.69%,NE,Noble Corp,260.91%,ANSS,ANSYS,375.32%,FFIV,F5 Networks,343.00%,FCX,Freeport-McMoRan Inc.,590.97%,FFIV,F5 Networks,407.80%,RIG,Transocean,114.07%,MCD,McDonald's Corp.,132.93%,TDG,TransDigm Group,174.10%,DLTR,Dollar Tree,108.04%,MNST,Monster Beverage,400.47%,TSCO,Tractor Supply Company,296.15%,DFS,Discover Financial Services,280.21%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,253.44%,TDG,TransDigm Group,135.53%,HD,Home Depot,179.80%,RCL,Royal Caribbean Cruises Ltd
24,520.19%,KSS,Kohl's,562.16%,HD,Home Depot,470.03%,ESRX,Express Scripts,257.04%,TIF,Tiffany & Co.,166.44%,EQT,EQT Corporation,257.26%,PXD,Pioneer Natural Resources,368.76%,WDC,Western Digital,339.71%,GGP,General Growth Properties Inc.,543.09%,NVDA,Nvidia Corporation,390.45%,ICE,Intercontinental Exchange,112.39%,MOS,The Mosaic Company,127.65%,BLK,BlackRock,172.81%,ISRG,Intuitive Surgical Inc.,106.46%,TPR,"Tapestry, Inc.",399.12%,URI,"United Rentals, Inc.",294.57%,AOS,A.O. Smith,278.29%,CELG,Celgene Corp.,241.17%,HD,Home Depot,134.63%,MAR,Marriott Int'l.,173.01%,MAR,Marriott Int'l.
25,510.48%,BK,The Bank of New York Mellon Corp.,553.91%,DLTR,Dollar Tree,463.21%,PKI,PerkinElmer,256.74%,PKI,PerkinElmer,162.03%,DNR,Denbury Resources,255.59%,HCN,Welltower Inc.,344.71%,MAC,Macerich,335.77%,AMZN,Amazon.com Inc,540.95%,CTSH,Cognizant Technology Solutions,386.70%,FTI,TechnipFMC,110.04%,ICE,Intercontinental Exchange,119.55%,ANSS,ANSYS,154.98%,CTXS,Citrix Systems,104.46%,AAPL,Apple Inc.,398.11%,CBS,CBS Corp.,294.30%,WYN,Wyndham Worldwide,276.83%,VFC,V.F. Corp.,239.95%,FBHS,Fortune Brands Home & Security,130.33%,ILMN,Illumina Inc,171.64%,AET,Aetna Inc
26,510.41%,CCE,Coca-Cola Enterprises,550.39%,FOSL,Fossil Group,457.48%,COF,Capital One Financial,252.21%,BBBY,Bed Bath & Beyond,161.26%,NBR,Nabors Industries,250.60%,PGR,Progressive Corp.,344.26%,PNR,Pentair Ltd.,321.60%,WYNN,Wynn Resorts,494.33%,NUE,Nucor Corp.,385.89%,NUE,Nucor Corp.,109.65%,CHRW,C. H. Robinson Worldwide,115.45%,CRM,Salesforce.com,153.24%,FCX,Freeport-McMoRan Inc.,104.08%,EXR,Extra Space Storage,389.22%,AMZN,Amazon.com Inc,294.24%,LYB,LyondellBasell,272.10%,DFS,Discover Financial Services,232.61%,ATVI,Activision Blizzard,129.74%,EFX,Equifax Inc.,162.80%,ANTM,Anthem Inc.
27,500.69%,MDT,Medtronic plc,550.00%,AES,AES Corp,441.06%,CSCO,Cisco Systems,243.63%,GILD,Gilead Sciences,154.11%,APA,Apache Corporation,250.21%,DNB,Dun & Bradstreet,332.94%,AAPL,Apple Inc.,319.82%,SUN,Sunoco Inc.,480.53%,MON,Monsanto Co.,370.36%,MA,Mastercard Inc.,107.19%,NUE,Nucor Corp.,114.17%,FMC,FMC Corporation,152.88%,DISCA,Discovery Communications,102.48%,DLR,Digital Realty,383.24%,EMN,Eastman Chemical,293.85%,IT,Gartner Inc,265.37%,LB,L Brands Inc.,229.15%,WHR,Whirlpool Corp.,123.83%,GOOGL,Alphabet Inc Class A,161.76%,AMD,Advanced Micro Devices
28,491.18%,LLY,Lilly (Eli) & Co.,535.34%,MS,Morgan Stanley,417.21%,LUV,Southwest Airlines,240.00%,ANSS,ANSYS,151.76%,APH,Amphenol Corp,238.15%,FL,Foot Locker Inc,330.89%,JCP,J.C. Penney,313.45%,GOOGL,Alphabet Inc Class A,478.39%,X,United States Steel Corporation,364.54%,FLS,Flowserve Corporation,105.25%,AON,Aon plc,113.61%,CMI,Cummins Inc.,149.54%,BWA,BorgWarner,101.76%,SBR,Sabre Holdings,379.93%,CMG,Chipotle Mexican Grill,290.78%,PRGO,Perrigo,263.04%,FBHS,Fortune Brands Home & Security,228.81%,ADBE,Adobe Systems Inc,122.49%,CINF,Cincinnati Financial,159.67%,MTD,Mettler Toledo
29,476.86%,WAT,Waters Corporation,534.27%,COF,Capital One Financial,407.50%,JBL,Jabil Circuit,238.03%,LLL,L-3 Communications Holdings,150.98%,REGN,Regeneron,236.09%,BSX,Boston Scientific,312.23%,DHI,D. R. Horton,313.45%,GOOG,Alphabet Inc Class C,471.52%,ADSK,Autodesk Inc,346.80%,MGM,MGM Resorts International,103.80%,CLF,Cliffs Natural Resources,112.39%,MON,Monsanto Co.,146.66%,XEC,Cimarex Energy,100.90%,FTI,TechnipFMC,376.40%,KMX,Carmax Inc,290.74%,CHTR,Charter Communications,250.84%,APTV,Aptiv Plc,224.27%,ORLY,O'Reilly Automotive,nan%,TEG,Integrys Energy Group Inc.,156.01%,CBOE,CBOE Holdings
30,476.48%,CB,Chubb Corp,530.96%,SWKS,Skyworks Solutions,401.19%,XLNX,Xilinx Inc,233.71%,AAPL,Apple Inc.,148.19%,CHRW,C. H. Robinson Worldwide,233.33%,SBR,Sabre Holdings,312.07%,FOSL,Fossil Group,306.02%,CELG,Celgene Corp.,470.57%,VLO,Valero Energy,341.09%,ALXN,Alexion Pharmaceuticals,99.35%,REGN,Regeneron,111.48%,NFLX,Netflix Inc.,143.83%,FLS,Flowserve Corporation,98.13%,RHT,Red Hat Inc.,364.51%,LEN,Lennar Corp.,290.02%,GRA,W.R. Grace,238.49%,PKG,Packaging Corporation of America,222.08%,MNST,Monster Beverage,120.19%,PAYX,Paychex Inc.,153.35%,TXN,Texas Instruments
31,474.19%,RHI,Robert Half International,527.27%,MNST,Monster Beverage,400.47%,MS,Morgan Stanley,228.88%,REGN,Regeneron,145.51%,SYK,Stryker Corp.,230.96%,PCAR,PACCAR Inc.,311.16%,BLL,Ball Corp,295.89%,JBHT,J. B. Hunt Transport Services,465.26%,GLW,Corning Inc.,339.91%,NVDA,Nvidia Corporation,93.95%,PRGO,Perrigo,109.78%,EW,Edwards Lifesciences,139.21%,NOV,National Oilwell Varco Inc.,98.01%,IT,Gartner Inc,360.65%,CBG,CBRE Group,283.52%,PXD,Pioneer Natural Resources,235.92%,LVLT,Level 3 Communications,220.13%,TRIP,TripAdvisor,119.72%,SBUX,Starbucks Corp.,152.84%,BCR,Bard (C.R.) Inc.
32,460.68%,COST,Costco Wholesale Corp.,512.39%,AMAT,Applied Materials Inc,393.05%,PAYX,Paychex Inc.,220.65%,ADI,"Analog Devices, Inc.",144.47%,MGM,MGM Resorts International,227.29%,DNR,Denbury Resources,310.90%,PCAR,PACCAR Inc.,293.72%,PBCT,People's United Financial,462.35%,GME,GameStop,339.56%,ESRX,Express Scripts,92.38%,FLIR,FLIR Systems,109.22%,APH,Amphenol Corp,135.66%,ANSS,ANSYS,97.24%,BBBY,Bed Bath & Beyond,348.31%,DISCA,Discovery Communications,278.98%,KSU,Kansas City Southern,233.30%,LUV,Southwest Airlines,219.16%,LOW,Lowe's Cos.,119.62%,IT,Gartner Inc,152.33%,SAIC,SAIC
