,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
71,2068.60%,LOW,Lowe's Cos.,1443.44%,TGT,Target Corp.,1758.47%,ADS,Alliance Data Systems
72,2064.54%,NTAP,NetApp,1438.95%,YUM,Yum! Brands Inc,1745.04%,ECL,Ecolab
73,2037.98%,NVDA,Nvidia Corporation,1433.48%,VAR,Varian Medical Systems,1738.15%,OKE,ONEOK
74,2034.62%,HOLX,Hologic,1414.86%,DRI,Darden Restaurants,1727.05%,DTV,DirecTV
75,2014.08%,MSFT,Microsoft Corp.,1331.57%,DNB,Dun & Bradstreet,1688.84%,AVGO,Broadcom
76,1955.75%,LEN,Lennar Corp.,1329.37%,IR,Ingersoll-Rand PLC,1671.05%,ABC,AmerisourceBergen Corp
77,1948.96%,AVB,"AvalonBay Communities, Inc.",1324.62%,CMCSA,Comcast Corp.,1668.89%,AYI,Acuity Brands Inc
78,1947.45%,FRT,Federal Realty Investment Trust,1313.25%,NKE,Nike,1662.06%,LB,L Brands Inc.
79,1937.36%,FAST,Fastenal Co,1293.56%,DLR,Digital Realty,1658.06%,O,Realty Income Corporation
80,1901.04%,SIG,Signet Jewelers,1263.84%,UNP,Union Pacific,1654.02%,CB,Chubb Corp
81,1882.11%,EFX,Equifax Inc.,1258.06%,HRS,Harris Corporation,1618.48%,AJG,Arthur J. Gallagher & Co.
82,1855.31%,WBA,Walgreens Boots Alliance,1215.38%,ALB,Albemarle Corp,1607.26%,ITT,ITT Corp.
83,1848.96%,HRL,Hormel Foods Corp.,1210.33%,EQT,EQT Corporation,1606.72%,UHS,"Universal Health Services, Inc."
84,1819.58%,VAR,Varian Medical Systems,1206.97%,ORCL,Oracle Corp.,1589.50%,DLR,Digital Realty
85,1814.67%,EW,Edwards Lifesciences,1204.68%,OXY,Occidental Petroleum,1579.12%,CTXS,Citrix Systems
86,1801.55%,SPGI,"S&P Global, Inc.",1203.38%,ITT,ITT Corp.,1574.36%,GD,General Dynamics
87,1760.10%,BF.B,Brown-Forman Corp.,1181.37%,NOC,Northrop Grumman Corp.,1565.80%,BF.B,Brown-Forman Corp.
88,1723.26%,CRM,Salesforce.com,1177.54%,REG,Regency Centers Corporation,1564.28%,TXN,Texas Instruments
89,1722.52%,UTX,United Technologies,1174.10%,AAP,Advance Auto Parts,1549.27%,CMCSA,Comcast Corp.
90,1709.74%,HD,Home Depot,1150.44%,RE,Everest Re,1480.41%,PH,Parker-Hannifin
91,1701.19%,FLIR,FLIR Systems,1122.09%,MCO,Moody's Corp,1469.68%,LUV,Southwest Airlines
92,1685.02%,GPN,Global Payments Inc,1121.79%,MKC,McCormick & Co.,1465.46%,CF,CF Industries Holdings Inc
93,1649.19%,BDX,Becton Dickinson,1120.30%,BXP,Boston Properties,1453.22%,PKG,Packaging Corporation of America
94,1635.88%,ROK,Rockwell Automation Inc.,1113.86%,EFX,Equifax Inc.,1446.03%,CI,CIGNA Corp.
95,1611.50%,VNO,Vornado Realty Trust,1112.50%,MAR,Marriott Int'l.,1429.89%,LEN,Lennar Corp.
96,1603.56%,VFC,V.F. Corp.,1100.09%,BDX,Becton Dickinson,1406.51%,PGR,Progressive Corp.
97,1592.89%,BWA,BorgWarner,1063.11%,ADI,"Analog Devices, Inc.",1393.46%,PSA,Public Storage
98,1590.11%,LSI,LSI Corporation,1061.44%,EA,Electronic Arts,1393.06%,RCL,Royal Caribbean Cruises Ltd
99,1584.36%,TGT,Target Corp.,1059.69%,FAST,Fastenal Co,1387.77%,HRS,Harris Corporation
100,1578.73%,IDXX,IDEXX Laboratories,1057.65%,CF,CF Industries Holdings Inc,1380.82%,AMGN,Amgen Inc
101,1577.73%,VRTX,Vertex Pharmaceuticals Inc,1044.80%,MTB,M&T Bank Corp.,1350.52%,TROW,T. Rowe Price Group
102,1571.18%,EOG,EOG Resources,1039.45%,LUV,Southwest Airlines,1339.88%,AMAT,Applied Materials Inc
103,1551.31%,OMC,Omnicom Group,1030.32%,CLX,The Clorox Company,1338.49%,NEE,NextEra Energy
104,1530.92%,TDG,TransDigm Group,1025.93%,PKG,Packaging Corporation of America,1324.33%,DNB,Dun & Bradstreet
105,1523.89%,COG,Cabot Oil & Gas,1019.05%,LEN,Lennar Corp.,1321.90%,EA,Electronic Arts
106,1521.84%,NOC,Northrop Grumman Corp.,1017.18%,CL,Colgate-Palmolive,1317.85%,TIF,Tiffany & Co.
107,1517.88%,CSCO,Cisco Systems,1016.43%,WYNN,Wynn Resorts,1303.05%,HUM,Humana Inc.
108,1515.39%,WFC,Wells Fargo,1013.47%,HSIC,Henry Schein,1289.76%,BDX,Becton Dickinson
109,1507.00%,LMT,Lockheed Martin Corp.,1010.56%,PVH,PVH Corp.,1285.48%,ALGN,Align Technology
110,1502.30%,KR,Kroger Co.,1008.79%,SYY,Sysco Corp.,1244.72%,CAT,Caterpillar Inc.
111,1468.49%,MDT,Medtronic plc,997.44%,DVA,DaVita,1243.90%,ARE,Alexandria Real Estate Equities Inc
112,1461.13%,AFL,AFLAC Inc,996.39%,TMK,Torchmark Corp.,1236.07%,MKC,McCormick & Co.
113,1459.47%,TPR,"Tapestry, Inc.",979.56%,EL,Estee Lauder Cos.,1226.39%,MAR,Marriott Int'l.
114,1454.07%,CCE,Coca-Cola Enterprises,977.68%,HOG,Harley-Davidson,1224.69%,SCHW,Charles Schwab Corporation
115,1450.23%,DRI,Darden Restaurants,971.17%,CAT,Caterpillar Inc.,1211.71%,NOC,Northrop Grumman Corp.
116,1449.20%,GOOGL,Alphabet Inc Class A,970.40%,EXR,Extra Space Storage,1194.43%,IR,Ingersoll-Rand PLC
