,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
471,1141.31%,YUM,Yum! Brands Inc,71.56%,NCLH,Norwegian Cruise Line,1209.44%,BWA,BorgWarner
472,1128.93%,BEN,Franklin Resources,68.93%,TRIP,TripAdvisor,1111.44%,MCD,McDonald's Corp.
473,1127.43%,SLB,Schlumberger Ltd.,62.63%,CA,"CA, Inc.",1101.59%,ITW,Illinois Tool Works
474,1114.74%,INTC,Intel Corp.,50.43%,PBI,Pitney Bowes Inc,1077.59%,AFL,AFLAC Inc
475,1111.49%,BXP,Boston Properties,49.07%,X,United States Steel Corporation,1067.07%,FDX,FedEx Corporation
476,999.15%,KSS,Kohl's,40.00%,NRG,NRG Energy,1050.40%,LMT,Lockheed Martin Corp.
477,991.28%,AJG,Arthur J. Gallagher & Co.,32.62%,INFO,IHS Markit Ltd.,1032.64%,PAYX,Paychex Inc.
478,990.57%,CMG,Chipotle Mexican Grill,28.01%,HLT,Hilton Worldwide,1013.43%,IRM,Iron Mountain Incorporated
479,965.10%,AIV,Apartment Investment & Management,27.18%,NSM,National Semiconductor Corp.,994.68%,FMC,FMC Corporation
480,964.70%,MLM,Martin Marietta Materials,23.26%,OI,Owens-Illinois,982.50%,USB,U.S. Bancorp
481,941.75%,IVZ,Invesco Ltd.,21.71%,NYT,The New York Times Co.,974.47%,URI,"United Rentals, Inc."
482,939.79%,PKI,PerkinElmer,15.32%,GM,General Motors,958.96%,VNO,Vornado Realty Trust
483,918.91%,GRA,W.R. Grace,14.60%,ESV,Ensco plc,941.32%,SWK,Stanley Black & Decker
484,873.53%,AVGO,Broadcom,10.96%,COTY,"Coty, Inc",937.46%,LSI,LSI Corporation
485,871.71%,MMM,3M Company,8.47%,NAVI,Navient,927.42%,ADP,Automatic Data Processing
486,861.01%,LLY,Lilly (Eli) & Co.,7.52%,PYPL,PayPal,926.58%,SO,Southern Co.
487,840.54%,PPG,PPG Industries,5.78%,MU,Micron Technology,914.53%,PRGO,Perrigo
488,819.73%,KLAC,KLA-Tencor Corp.,-6.40%,WRK,WestRock Company,913.58%,PEG,Public Serv. Enterprise Inc.
489,816.93%,APD,Air Products & Chemicals Inc,-11.82%,GT,Goodyear Tire & Rubber,889.58%,PHM,Pulte Homes Inc.
490,812.02%,AMAT,Applied Materials Inc,-15.46%,AVP,Avon Products,838.50%,WFC,Wells Fargo
491,792.69%,DTE,DTE Energy,-15.64%,KMI,Kinder Morgan,813.77%,BAX,Baxter International Inc.
492,786.13%,PNR,Pentair Ltd.,-22.21%,NWS,News Corp. Class B,745.95%,SLG,SL Green Realty
493,772.87%,WYNN,Wynn Resorts,-26.65%,AKS,AK Steel Holding Corp.,745.38%,BA,Boeing Company
494,772.56%,ARE,Alexandria Real Estate Equities Inc,-33.24%,S,Sprint Nextel Corp.,735.55%,PPL,PPL Corp.
495,758.03%,TMO,Thermo Fisher Scientific,-51.33%,SVU,Supervalu Inc.,706.39%,JWN,Nordstrom
496,757.69%,PNC,PNC Financial Services,-65.02%,ODP,Office Depot Inc.,690.53%,ABT,Abbott Laboratories
497,750.74%,ACN,Accenture plc,-71.81%,JCP,J.C. Penney,690.45%,SNA,Snap-On Inc.
498,739.68%,ALL,Allstate Corp,-72.51%,THC,Tenet Healthcare,649.18%,CVX,Chevron Corp.
499,733.31%,VMC,Vulcan Materials,-79.12%,GNW,Genworth Financial,645.40%,INCY,Incyte
500,722.06%,SJM,JM Smucker,-79.84%,AIG,"American International Group, Inc.",636.42%,ULTA,Ulta Salon Cosmetics & Fragrance Inc
501,670.86%,SCG,SCANA Corp,-85.62%,LIFE,Life Technologies,627.31%,HON,Honeywell Int'l Inc.
502,665.08%,WDC,Western Digital,nan%,BHF,Brighthouse Financial Inc,597.81%,PNW,Pinnacle West Capital
503,664.26%,EIX,Edison Int'l,3954.16%,DHR,Danaher Corp.,595.35%,PEP,PepsiCo Inc.
504,659.45%,ETR,Entergy Corp.,2993.87%,WAT,Waters Corporation,594.30%,HOLX,Hologic
505,643.16%,ANTM,Anthem Inc.,2946.74%,AOS,A.O. Smith,591.44%,FTI,TechnipFMC
506,604.44%,LNT,Alliant Energy Corp,2579.73%,BLL,Ball Corp,561.54%,MCK,McKesson Corp.
507,574.01%,NSC,Norfolk Southern Corp.,2462.06%,OKE,ONEOK,555.26%,RTN,Raytheon Co.
508,554.09%,IGT,International Game Technology,1953.98%,ECL,Ecolab,547.87%,MDT,Medtronic plc
509,535.64%,L,Loews Corp.,1871.28%,CNC,Centene Corporation,532.97%,GGP,General Growth Properties Inc.
510,520.09%,AVY,Avery Dennison Corp,1782.19%,HP,Helmerich & Payne,521.02%,DIS,The Walt Disney Company
511,497.28%,AMT,American Tower Corp A,1681.36%,ADS,Alliance Data Systems,482.66%,WHR,Whirlpool Corp.
512,488.66%,RRC,Range Resources Corp.,1518.04%,TIF,Tiffany & Co.,471.44%,AMP,Ameriprise Financial
513,486.54%,XEC,Cimarex Energy,1515.61%,SCHW,Charles Schwab Corporation,468.46%,NDAQ,"Nasdaq, Inc."
514,468.93%,FIS,Fidelity National Information Services,1501.21%,DTV,DirecTV,436.88%,KR,Kroger Co.
515,463.35%,DUK,Duke Energy,1452.88%,LKQ,LKQ Corporation,429.36%,MET,MetLife Inc.
516,448.92%,DRE,Duke Realty Corp,1383.42%,MAA,Mid-America Apartments,409.97%,GPS,Gap Inc.
517,445.86%,NE,Noble Corp,1366.57%,MLM,Martin Marietta Materials,398.17%,AIZ,Assurant Inc
518,441.33%,DXC,DXC Technology,1308.92%,IGT,International Game Technology,366.98%,PFG,Principal Financial Group
519,414.08%,AEP,American Electric Power,1305.23%,VRSN,Verisign Inc.,366.62%,FB,"Facebook, Inc."
520,399.76%,ENDP,Endo International plc,1299.25%,CVS,CVS Health,355.65%,R,Ryder Systems Inc.
521,381.59%,TXT,Textron Inc.,1270.17%,EQR,Equity Residential,351.49%,KIM,Kimco Realty
522,370.06%,CMA,Comerica Inc.,1260.69%,MAC,Macerich,342.33%,PXD,Pioneer Natural Resources
523,369.60%,LNC,Lincoln National,1255.59%,COF,Capital One Financial,342.03%,HBI,Hanesbrands Inc
524,358.56%,XEL,Xcel Energy Inc,1238.88%,CI,CIGNA Corp.,339.68%,SLM,SLM Corporation
525,350.23%,FBHS,Fortune Brands Home & Security,1213.43%,TAP,Molson Coors Brewing Company,333.45%,MAS,Masco Corp.
526,348.71%,K,Kellogg Co.,1195.28%,PGR,Progressive Corp.,299.49%,ZBH,Zimmer Biomet Holdings
527,348.00%,MUR,Murphy Oil,1103.73%,AVGO,Broadcom,248.02%,VRSK,Verisk Analytics
528,347.53%,FOX,Twenty-First Century Fox Class B,1080.67%,AJG,Arthur J. Gallagher & Co.,224.76%,FE,FirstEnergy Corp
529,335.27%,SWN,Southwestern Energy,1057.81%,DHI,D. R. Horton,217.97%,NRG,NRG Energy
530,332.28%,DVN,Devon Energy,1023.96%,AMGN,Amgen Inc,216.91%,GLW,Corning Inc.
531,318.73%,APTV,Aptiv Plc,1007.76%,ARE,Alexandria Real Estate Equities Inc,212.27%,MDLZ,Mondelez International
532,314.01%,HES,Hess Corporation,1004.86%,NEE,NextEra Energy,198.31%,DFS,Discover Financial Services
533,308.60%,ZION,Zions Bancorp,912.51%,PX,Praxair Inc.,190.06%,MU,Micron Technology
534,306.14%,FII,Federated Investors,885.77%,SJM,JM Smucker,188.99%,HST,Host Hotels & Resorts
535,290.22%,ALGN,Align Technology,872.84%,ACN,Accenture plc,168.97%,AAL,American Airlines Group
536,286.39%,RL,Polo Ralph Lauren Corp.,871.73%,INTU,Intuit,162.66%,UPS,United Parcel Service
537,269.52%,PRU,Prudential Financial,846.85%,BEN,Franklin Resources,160.90%,NBL,Noble Energy Inc
538,267.24%,HPQ,HP Inc.,784.35%,KSS,Kohl's,159.87%,FOSL,Fossil Group
539,248.15%,FITB,Fifth Third Bancorp,736.81%,WDC,Western Digital,153.76%,KORS,Michael Kors Holdings
540,243.21%,DO,Diamond Offshore Drilling,725.39%,IVZ,Invesco Ltd.,140.96%,IQV,IQVIA
541,235.34%,WLTW,Willis Towers Watson,693.37%,PNR,Pentair Ltd.,123.62%,UNM,Unum Group
542,219.99%,DG,Dollar General,645.47%,LNT,Alliant Energy Corp,112.72%,SNI,Scripps Networks Interactive Inc.
543,219.81%,GME,GameStop,620.54%,FIS,Fidelity National Information Services,105.00%,BAC,Bank of America Corp
544,215.25%,DISCK,Discovery Communications,617.47%,DXC,DXC Technology,102.29%,PYPL,PayPal
545,187.12%,STI,SunTrust Banks,616.40%,INTC,Intel Corp.,99.86%,M,Macy's Inc.
546,172.04%,HCA,HCA Holdings,573.62%,SCG,SCANA Corp,93.38%,GE,General Electric
547,165.89%,HIG,Hartford Financial Svc.Gp.,562.83%,NSC,Norfolk Southern Corp.,76.01%,HLT,Hilton Worldwide
548,165.83%,IPG,Interpublic Group,542.96%,MUR,Murphy Oil,71.40%,NWL,Newell Brands
549,161.67%,WYN,Wyndham Worldwide,469.66%,ALGN,Align Technology,68.09%,INFO,IHS Markit Ltd.
550,161.32%,PSX,Phillips 66,389.62%,PRU,Prudential Financial,63.40%,XL,XL Capital
551,150.31%,DAL,Delta Air Lines,387.41%,DUK,Duke Energy,55.00%,HBAN,Huntington Bancshares
552,144.96%,F,Ford Motor,352.80%,XEL,Xcel Energy Inc,50.15%,KEY,KeyCorp
553,119.48%,CBOE,CBOE Holdings,347.07%,HES,Hess Corporation,41.99%,X,United States Steel Corporation
554,117.14%,MMI,Motorola Mobility,337.54%,L,Loews Corp.,40.66%,GM,General Motors
555,103.72%,UPS,United Parcel Service,295.66%,LNC,Lincoln National,27.68%,NSM,National Semiconductor Corp.
556,81.60%,SHLD,Sears Holding Corporation,239.57%,K,Kellogg Co.,26.77%,NYT,The New York Times Co.
557,60.95%,XYL,Xylem Inc.,223.81%,WLTW,Willis Towers Watson,21.81%,COTY,"Coty, Inc"
558,46.78%,A,Agilent Technologies Inc,217.01%,AN,AutoNation Inc,18.74%,WRK,WestRock Company
559,32.22%,SYF,Synchrony Financial,204.95%,HIG,Hartford Financial Svc.Gp.,14.55%,BTU,Peabody Energy
560,25.58%,RRD,R.R. Donnelley,203.58%,GME,GameStop,10.63%,MAT,Mattel Inc.
561,7.96%,VIAB,Viacom Inc.,197.74%,HCA,HCA Holdings,10.10%,NWS,News Corp. Class B
562,6.18%,WU,Western Union Co,190.15%,ZION,Zions Bancorp,-1.63%,OI,Owens-Illinois
563,5.39%,ETFC,E*Trade,178.62%,HPQ,HP Inc.,-3.58%,PBI,Pitney Bowes Inc
564,2.07%,KHC,Kraft Heinz,156.97%,STI,SunTrust Banks,-12.78%,NAVI,Navient
565,-4.33%,UA,Under Armour,105.50%,DO,Diamond Offshore Drilling,-22.54%,GT,Goodyear Tire & Rubber
566,-5.64%,CSRA,CSRA Inc.,32.97%,WU,Western Union Co,-25.51%,KMI,Kinder Morgan
567,-7.82%,HPE,Hewlett Packard Enterprise,25.99%,KHC,Kraft Heinz,-35.18%,RDC,Rowan Companies Plc
568,-10.55%,XRX,Xerox Corp.,23.20%,ETFC,E*Trade,-36.31%,NBR,Nabors Industries
569,-34.78%,ATI,Allegheny Technologies,7.05%,RRD,R.R. Donnelley,-56.84%,S,Sprint Nextel Corp.
570,-81.71%,AKS,AK Steel Holding Corp.,1.66%,CSRA,CSRA Inc.,-67.54%,AKS,AK Steel Holding Corp.
571,,,,-6.13%,ATI,Allegheny Technologies,-68.60%,SVU,Supervalu Inc.
572,,,,-48.00%,XRX,Xerox Corp.,-70.74%,ODP,Office Depot Inc.
573,,,,-58.53%,KG,King Pharmaceuticals Inc.,-71.52%,ESV,Ensco plc
574,,,,-70.13%,UA,Under Armour,-75.89%,THC,Tenet Healthcare
575,,,,,,,-76.25%,LIFE,Life Technologies
576,,,,,,,-77.10%,AVP,Avon Products
577,,,,,,,-84.26%,AIG,"American International Group, Inc."
578,,,,,,,-90.55%,JCP,J.C. Penney
