,1995-2011,ticker,company,1996-2012,ticker,company,1997-2013,ticker,company,1998-2014,ticker,company,1999-2015,ticker,company,2000-2016,ticker,company,2001-2017,ticker,company,2002-2018,ticker,company
20,2327.30%,PCAR,PACCAR Inc.,2177.00%,CTXS,Citrix Systems,1900.26%,CERN,Cerner,2486.49%,COG,Cabot Oil & Gas,2377.40%,KMX,Carmax Inc,2447.65%,AYI,Acuity Brands Inc,2088.81%,STZ,Constellation Brands,2161.07%,HUM,Humana Inc.
21,2299.20%,DLTR,Dollar Tree,2124.70%,ORLY,O'Reilly Automotive,1895.26%,ANSS,ANSYS,2384.19%,TPR,"Tapestry, Inc.",2329.94%,RRC,Range Resources Corp.,2432.78%,ALXN,Alexion Pharmaceuticals,2079.82%,VTR,Ventas Inc,2160.24%,CCK,Crown Holdings
22,2222.53%,CLF,Cliffs Natural Resources,2119.96%,SWN,Southwestern Energy,1878.64%,ROST,Ross Stores,2328.78%,FOSL,Fossil Group,2220.71%,ATVI,Activision Blizzard,2345.00%,CERN,Cerner,1923.68%,CMI,Cummins Inc.,2145.53%,JBHT,J. B. Hunt Transport Services
23,2214.42%,TPR,"Tapestry, Inc.",1907.29%,GILD,Gilead Sciences,1875.31%,JBHT,J. B. Hunt Transport Services,2211.49%,WYNN,Wynn Resorts,2218.06%,EOG,EOG Resources,2337.50%,JBHT,J. B. Hunt Transport Services,1918.12%,GRA,W.R. Grace,2094.25%,ROST,Ross Stores
24,2191.42%,SWN,Southwestern Energy,1842.40%,SBUX,Starbucks Corp.,1841.37%,SWN,Southwestern Energy,2010.86%,CERN,Cerner,2161.02%,CMI,Cummins Inc.,2276.56%,HSIC,Henry Schein,1892.93%,CME,CME Group Inc.,2088.38%,ATVI,Activision Blizzard
25,2188.06%,TROW,T. Rowe Price Group,1829.43%,ANSS,ANSYS,1795.74%,COG,Cabot Oil & Gas,2004.55%,ISRG,Intuitive Surgical Inc.,2124.34%,ADS,Alliance Data Systems,2257.40%,ORLY,O'Reilly Automotive,1871.28%,CNC,Centene Corporation,2064.45%,WYNN,Wynn Resorts
26,2086.71%,AN,AutoNation Inc,1820.51%,COO,The Cooper Companies,1757.58%,DISH,Dish Network,1988.46%,LH,Laboratory Corp. of America Holding,2109.63%,ROST,Ross Stores,2196.05%,AZO,AutoZone Inc,1842.89%,TDG,TransDigm Group,2037.92%,STZ,Constellation Brands
27,2053.47%,ETN,Eaton Corporation,1776.43%,URBN,Urban Outfitters,1670.30%,BLK,BlackRock,1944.56%,ADS,Alliance Data Systems,1949.34%,PRGO,Perrigo,2195.70%,CNC,Centene Corporation,1579.21%,ILMN,Illumina Inc,2005.67%,GOOGL,Alphabet Inc Class A
28,2002.61%,URBN,Urban Outfitters,1674.61%,CHD,Church & Dwight,1579.77%,SBR,Sabre Holdings,1861.30%,ORLY,O'Reilly Automotive,1930.48%,UNH,United Health Group Inc.,2192.50%,HUM,Humana Inc.,1520.07%,PSA,Public Storage,2004.79%,GOOG,Alphabet Inc Class C
29,1997.91%,NFLX,Netflix Inc.,1660.48%,DGX,Quest Diagnostics,1576.62%,CHD,Church & Dwight,1795.16%,JBHT,J. B. Hunt Transport Services,1918.20%,ESRX,Express Scripts,2151.18%,STZ,Constellation Brands,1501.21%,DTV,DirecTV,1917.41%,AYI,Acuity Brands Inc
