,1995-2011,ticker,company,1996-2012,ticker,company,1997-2013,ticker,company,1998-2014,ticker,company,1999-2015,ticker,company,2000-2016,ticker,company,2001-2017,ticker,company,2002-2018,ticker,company
169,326.37%,LMT,Lockheed Martin Corp.,504.89%,VLO,Valero Energy,526.22%,AFL,AFLAC Inc,531.98%,APA,Apache Corporation,581.78%,CNX,Consol Energy,503.78%,SYK,Stryker Corp.,211.83%,LEN,Lennar Corp.,463.67%,COST,Costco Wholesale Corp.
170,316.52%,PFE,Pfizer Inc.,504.17%,SHW,Sherwin-Williams,525.87%,FLS,Flowserve Corporation,531.82%,ACN,Accenture plc,580.61%,XRAY,Dentsply Sirona,501.25%,GPC,Genuine Parts,208.07%,CBS,CBS Corp.,463.45%,ARE,Alexandria Real Estate Equities Inc
171,297.82%,SNA,Snap-On Inc.,497.16%,DE,Deere & Co.,524.50%,CXO,Concho Resources,523.41%,COP,ConocoPhillips,579.61%,CB,Chubb Corp,494.75%,IT,Gartner Inc,197.03%,TSS,Total System Services,453.54%,FBHS,Fortune Brands Home & Security
172,292.26%,KR,Kroger Co.,496.99%,MKC,McCormick & Co.,524.33%,GPN,Global Payments Inc,519.67%,COO,The Cooper Companies,577.03%,MMM,3M Company,494.51%,NI,NiSource Inc.,193.21%,SAIC,SAIC,450.81%,RRC,Range Resources Corp.
173,286.87%,KMB,Kimberly-Clark,494.67%,AOS,A.O. Smith,516.84%,MHK,Mohawk Industries,519.19%,STX,Seagate Technology,571.91%,LMT,Lockheed Martin Corp.,492.62%,AMG,Affiliated Managers Group Inc,193.04%,CL,Colgate-Palmolive,449.44%,DTE,DTE Energy
174,277.93%,ALK,Alaska Air Group Inc,494.22%,GD,General Dynamics,516.29%,PX,Praxair Inc.,517.56%,HOG,Harley-Davidson,567.17%,ALB,Albemarle Corp,486.54%,XEC,Cimarex Energy,190.66%,KMB,Kimberly-Clark,449.35%,MLM,Martin Marietta Materials
175,270.83%,IT,Gartner Inc,493.34%,MSFT,Microsoft Corp.,512.90%,CL,Colgate-Palmolive,513.36%,CLF,Cliffs Natural Resources,566.63%,AVGO,Broadcom,484.78%,HBI,Hanesbrands Inc,185.57%,SYY,Sysco Corp.,448.79%,BIG,Big Lots Inc.
176,269.36%,BA,Boeing Company,491.52%,VTR,Ventas Inc,504.74%,IBM,International Business Machines,512.99%,MAA,Mid-America Apartments,563.36%,MAR,Marriott Int'l.,471.09%,FMC,FMC Corporation,183.08%,GS,Goldman Sachs Group,444.97%,CCE,Coca-Cola Enterprises
177,266.46%,CINF,Cincinnati Financial,490.23%,REG,Regency Centers Corporation,501.26%,TAP,Molson Coors Brewing Company,512.42%,D,Dominion Energy,561.69%,ORCL,Oracle Corp.,465.34%,CBG,CBRE Group,180.85%,TGT,Target Corp.,444.89%,PNR,Pentair Ltd.
178,254.79%,ZION,Zions Bancorp,489.88%,CRM,Salesforce.com,499.22%,ARE,Alexandria Real Estate Equities Inc,508.90%,SPGI,"S&P Global, Inc.",558.40%,ANTM,Anthem Inc.,462.73%,ADBE,Adobe Systems Inc,178.99%,PDCO,Patterson Companies,439.54%,SJM,JM Smucker
179,253.19%,TDG,TransDigm Group,489.26%,OMC,Omnicom Group,494.76%,RRC,Range Resources Corp.,502.87%,DLR,Digital Realty,556.19%,BEN,Franklin Resources,460.85%,APD,Air Products & Chemicals Inc,169.95%,PM,Philip Morris International,436.79%,APD,Air Products & Chemicals Inc
180,248.36%,KO,Coca-Cola Company,486.47%,XRAY,Dentsply Sirona,492.19%,LSI,LSI Corporation,500.23%,GD,General Dynamics,553.12%,NOC,Northrop Grumman Corp.,460.37%,SBAC,SBA Communications,168.90%,CPB,Campbell Soup,435.11%,UTX,United Technologies
181,245.30%,BRK.B,Berkshire Hathaway,485.49%,PGR,Progressive Corp.,486.79%,DE,Deere & Co.,495.77%,IR,Ingersoll-Rand PLC,551.55%,AMGN,Amgen Inc,454.05%,GWW,Grainger (W.W.) Inc.,166.91%,CCL,Carnival Corp.,434.16%,EBAY,eBay
182,237.15%,CCI,Crown Castle International Corp.,484.00%,MCD,McDonald's Corp.,475.36%,APA,Apache Corporation,490.98%,DISCA,Discovery Communications,551.06%,DRI,Darden Restaurants,453.32%,GRMN,Garmin Ltd.,166.78%,AEE,Ameren Corp,427.96%,D,Dominion Energy
183,237.09%,BMY,Bristol-Myers Squibb,478.89%,ARE,Alexandria Real Estate Equities Inc,474.50%,PBCT,People's United Financial,489.86%,AGN,"Allergan, Inc",548.99%,DHR,Danaher Corp.,448.12%,TROW,T. Rowe Price Group,166.41%,SNPS,Synopsys Inc.,421.36%,EQR,Equity Residential
184,231.14%,R,Ryder Systems Inc.,474.15%,SPGI,"S&P Global, Inc.",471.35%,USB,U.S. Bancorp,485.97%,SRE,Sempra Energy,544.67%,D,Dominion Energy,447.51%,JWN,Nordstrom,162.56%,WY,Weyerhaeuser Corp.,417.09%,FLS,Flowserve Corporation
185,229.61%,TSS,Total System Services,469.46%,ANDV,Andeavor,463.45%,SLG,SL Green Realty,481.16%,APC,Anadarko Petroleum Corp,539.56%,APA,Apache Corporation,442.56%,SWK,Stanley Black & Decker,155.47%,IBM,International Business Machines,406.58%,REG,Regency Centers Corporation
186,228.21%,MET,MetLife Inc.,464.56%,AYI,Acuity Brands Inc,458.60%,D,Dominion Energy,480.13%,MAC,Macerich,537.85%,GD,General Dynamics,441.79%,DTE,DTE Energy,150.64%,NOV,National Oilwell Varco Inc.,401.36%,AON,Aon plc
187,226.95%,MYL,Mylan N.V.,461.09%,MHK,Mohawk Industries,458.18%,KSU,Kansas City Southern,479.43%,HCP,HCP Inc.,535.95%,HRS,Harris Corporation,441.46%,HSY,The Hershey Company,146.32%,VZ,Verizon Communications,401.24%,HD,Home Depot
188,224.82%,GE,General Electric,458.96%,NFX,Newfield Exploration Co,458.11%,CVX,Chevron Corp.,478.89%,PDCO,Patterson Companies,531.02%,SJM,JM Smucker,436.33%,NOV,National Oilwell Varco Inc.,144.11%,FOXA,Twenty-First Century Fox Class A,400.59%,WAT,Waters Corporation
189,223.40%,ILMN,Illumina Inc,458.28%,LLL,L-3 Communications Holdings,455.83%,UNP,Union Pacific,478.62%,TWX,Time Warner Inc.,530.14%,PPG,PPG Industries,426.75%,MAR,Marriott Int'l.,137.69%,APA,Apache Corporation,399.33%,APTV,Aptiv Plc
190,212.98%,SEE,Sealed Air,453.37%,SYMC,Symantec Corp.,455.74%,COP,ConocoPhillips,476.81%,DHI,D. R. Horton,530.00%,LOW,Lowe's Cos.,423.50%,MYL,Mylan N.V.,132.10%,QCOM,QUALCOMM Inc.,398.47%,MHK,Mohawk Industries
191,208.89%,VZ,Verizon Communications,449.69%,TXN,Texas Instruments,455.08%,CCI,Crown Castle International Corp.,475.70%,LSI,LSI Corporation,522.55%,MKC,McCormick & Co.,423.14%,CHTR,Charter Communications,131.19%,EMR,Emerson Electric Company,389.06%,PRU,Prudential Financial
192,203.57%,ICE,Intercontinental Exchange,443.11%,AMG,Affiliated Managers Group Inc,450.95%,XRAY,Dentsply Sirona,474.75%,ICE,Intercontinental Exchange,520.88%,FISV,Fiserv Inc,421.84%,TMK,Torchmark Corp.,129.90%,UAL,United Continental Holdings,385.54%,HSY,The Hershey Company
193,202.63%,DF,Dean Foods,443.04%,DVN,Devon Energy,449.02%,EL,Estee Lauder Cos.,472.19%,ADSK,Autodesk Inc,515.65%,NEE,NextEra Energy,419.99%,KIM,Kimco Realty,128.42%,BBT,BB&T Corporation,383.59%,TSS,Total System Services
194,201.82%,M,Macy's Inc.,442.49%,GGP,General Growth Properties Inc.,447.84%,SYY,Sysco Corp.,466.41%,MCD,McDonald's Corp.,512.29%,BF.B,Brown-Forman Corp.,417.30%,KR,Kroger Co.,126.53%,NEM,Newmont Mining Corporation,382.42%,CTXS,Citrix Systems
195,201.82%,KMX,Carmax Inc,439.80%,CLX,The Clorox Company,443.45%,OMC,Omnicom Group,464.85%,CCI,Crown Castle International Corp.,511.31%,JWN,Nordstrom,416.31%,JEC,Jacobs Engineering Group,123.37%,IP,International Paper,376.38%,BEN,Franklin Resources
196,197.21%,AMT,American Tower Corp A,439.43%,D,Dominion Energy,441.64%,NEE,NextEra Energy,464.64%,ILMN,Illumina Inc,510.12%,SWKS,Skyworks Solutions,410.72%,TRV,The Travelers Companies Inc.,121.96%,MOS,The Mosaic Company,374.44%,PLD,Prologis
197,188.75%,DIS,The Walt Disney Company,436.37%,SJM,JM Smucker,440.94%,AAP,Advance Auto Parts,464.56%,ES,Eversource Energy,509.77%,SNA,Snap-On Inc.,407.25%,GIS,General Mills,119.92%,TEL,TE Connectivity Ltd.,369.39%,BIIB,Biogen Inc.
198,187.91%,CNP,CenterPoint Energy,432.09%,AET,Aetna Inc,437.41%,COF,Capital One Financial,462.10%,BDX,Becton Dickinson,508.49%,HSIC,Henry Schein,404.73%,HAS,Hasbro Inc.,119.39%,CMS,CMS Energy,365.05%,TXN,Texas Instruments
199,186.60%,PKG,Packaging Corporation of America,431.34%,EXC,Exelon Corp.,434.48%,ADSK,Autodesk Inc,460.32%,SO,Southern Co.,508.06%,GRA,W.R. Grace,399.76%,ENDP,Endo International plc,113.27%,MGM,MGM Resorts International,364.10%,ED,Consolidated Edison
200,185.63%,PHM,Pulte Homes Inc.,425.82%,DO,Diamond Offshore Drilling,433.69%,GD,General Dynamics,458.46%,LRCX,Lam Research,504.56%,MCHP,Microchip Technology,398.08%,PPG,PPG Industries,112.67%,ADI,"Analog Devices, Inc.",361.10%,JPM,JPMorgan Chase & Co.
201,179.09%,OI,Owens-Illinois,425.56%,HSY,The Hershey Company,433.42%,GRMN,Garmin Ltd.,456.45%,CAT,Caterpillar Inc.,496.74%,APC,Anadarko Petroleum Corp,392.81%,DE,Deere & Co.,105.34%,ABBV,AbbVie Inc.,357.32%,DPS,Dr Pepper Snapple Group
202,172.55%,DISCA,Discovery Communications,422.84%,TAP,Molson Coors Brewing Company,430.95%,CVS,CVS Health,452.41%,RJF,Raymond James Financial Inc.,493.94%,SO,Southern Co.,386.70%,ETR,Entergy Corp.,102.76%,AXP,American Express Co,356.26%,TRV,The Travelers Companies Inc.
203,169.94%,ADM,Archer-Daniels-Midland Co,418.91%,AAP,Advance Auto Parts,428.17%,MCD,McDonald's Corp.,450.69%,ENDP,Endo International plc,493.94%,CAT,Caterpillar Inc.,384.81%,BA,Boeing Company,100.10%,TXN,Texas Instruments,354.23%,ALL,Allstate Corp
204,166.83%,GLW,Corning Inc.,410.95%,UDR,UDR Inc,425.96%,PPL,PPL Corp.,448.43%,HD,Home Depot,488.73%,ENDP,Endo International plc,383.06%,COL,Rockwell Collins,99.80%,HOG,Harley-Davidson,351.54%,LOW,Lowe's Cos.
205,166.40%,PBI,Pitney Bowes Inc,410.72%,LUK,Leucadia National Corp.,424.77%,IR,Ingersoll-Rand PLC,447.37%,CMCSA,Comcast Corp.,487.75%,ADSK,Autodesk Inc,381.39%,EMN,Eastman Chemical,92.30%,BBBY,Bed Bath & Beyond,343.91%,PCG,PG&E Corp.
206,165.21%,FE,FirstEnergy Corp,410.38%,FMC,FMC Corporation,417.15%,MLM,Martin Marietta Materials,445.13%,CVX,Chevron Corp.,484.57%,EMN,Eastman Chemical,381.12%,SUN,Sunoco Inc.,92.11%,EXC,Exelon Corp.,337.35%,CBOE,CBOE Holdings
207,161.68%,WHR,Whirlpool Corp.,409.70%,DHI,D. R. Horton,415.56%,IDXX,IDEXX Laboratories,444.41%,MRO,Marathon Oil Corp.,479.64%,AMZN,Amazon.com Inc,376.63%,HRB,Block H&R,89.29%,CAH,Cardinal Health,337.00%,UAA,Under Armour
208,159.84%,AES,AES Corp,408.08%,PPL,PPL Corp.,409.68%,XOM,Exxon Mobil Corp.,444.31%,HES,Hess Corporation,477.58%,WEC,Wec Energy Group Inc,370.84%,EXPD,Expeditors International,86.36%,T,AT&T Inc,330.24%,DOV,Dover Corp.
209,154.05%,CAG,Conagra Brands,407.38%,WBA,Walgreens Boots Alliance,409.55%,APC,Anadarko Petroleum Corp,443.88%,PH,Parker-Hannifin,474.69%,FIS,Fidelity National Information Services,370.64%,NUE,Nucor Corp.,81.11%,MMC,Marsh & McLennan,326.91%,HCP,HCP Inc.
210,144.22%,PXD,Pioneer Natural Resources,407.36%,SYY,Sysco Corp.,407.47%,NUE,Nucor Corp.,441.10%,JWN,Nordstrom,470.26%,UTX,United Technologies,366.99%,CAH,Cardinal Health,80.65%,NLSN,Nielsen Holdings,326.56%,XRAY,Dentsply Sirona
211,143.29%,HUM,Humana Inc.,404.61%,HD,Home Depot,407.01%,PHM,Pulte Homes Inc.,440.24%,WDC,Western Digital,467.63%,ICE,Intercontinental Exchange,366.30%,PDCO,Patterson Companies,80.60%,Q,Qwest Communications,325.14%,AN,AutoNation Inc
212,142.17%,CPB,Campbell Soup,402.72%,LSI,LSI Corporation,403.60%,AET,Aetna Inc,436.38%,IRM,Iron Mountain Incorporated,467.47%,SLB,Schlumberger Ltd.,362.60%,WM,Waste Management Inc.,79.15%,GHC,Graham Holdings,320.38%,WYN,Wyndham Worldwide
213,141.36%,MGM,MGM Resorts International,402.12%,WFC,Wells Fargo,402.97%,FLR,Fluor Corp.,431.52%,PPG,PPG Industries,462.05%,V,Visa Inc.,355.53%,SPGI,"S&P Global, Inc.",77.99%,ZTS,Zoetis,319.49%,EQT,EQT Corporation
214,138.99%,FOXA,Twenty-First Century Fox Class A,401.50%,LEN,Lennar Corp.,402.37%,LUK,Leucadia National Corp.,431.35%,SWKS,Skyworks Solutions,459.95%,CBG,CBRE Group,354.01%,IFF,Intl Flavors & Fragrances,76.81%,NFX,Newfield Exploration Co,319.43%,GPC,Genuine Parts
215,130.83%,X,United States Steel Corporation,399.77%,GRMN,Garmin Ltd.,400.78%,HOG,Harley-Davidson,427.36%,EXR,Extra Space Storage,458.29%,EBAY,eBay,353.94%,LYB,LyondellBasell,76.57%,WMB,Williams Cos.,315.26%,AMG,Affiliated Managers Group Inc
216,124.48%,MAT,Mattel Inc.,396.35%,ADI,"Analog Devices, Inc.",399.55%,RL,Polo Ralph Lauren Corp.,424.43%,GME,GameStop,457.94%,GPC,Genuine Parts,351.47%,MMM,3M Company,71.64%,WMT,Wal-Mart Stores,314.54%,WM,Waste Management Inc.
217,121.60%,GHC,Graham Holdings,393.61%,STZ,Constellation Brands,398.97%,ACN,Accenture plc,424.34%,XRAY,Dentsply Sirona,449.23%,ALK,Alaska Air Group Inc,350.23%,FBHS,Fortune Brands Home & Security,70.61%,DWDP,DowDuPont,313.87%,FL,Foot Locker Inc
218,112.31%,WY,Weyerhaeuser Corp.,391.84%,MTB,M&T Bank Corp.,396.90%,PGR,Progressive Corp.,424.12%,DISCK,Discovery Communications,447.02%,BA,Boeing Company,349.98%,PEG,Public Serv. Enterprise Inc.,70.20%,CNP,CenterPoint Energy,313.70%,DG,Dollar General
219,109.08%,FTR,Frontier Communications,391.55%,BDX,Becton Dickinson,393.61%,WEC,Wec Energy Group Inc,420.09%,MYL,Mylan N.V.,444.43%,ES,Eversource Energy,349.64%,CCE,Coca-Cola Enterprises,68.85%,CNX,Consol Energy,313.48%,MPC,Marathon Petroleum
220,106.42%,RTN,Raytheon Co.,384.69%,CCE,Coca-Cola Enterprises,392.71%,GRA,W.R. Grace,417.83%,NEE,NextEra Energy,442.96%,RE,Everest Re,348.53%,PCLN,Priceline.com Inc,61.76%,BMY,Bristol-Myers Squibb,311.37%,RL,Polo Ralph Lauren Corp.
221,103.58%,RSG,Republic Services Inc,384.06%,SBAC,SBA Communications,390.39%,PEG,Public Serv. Enterprise Inc.,416.41%,PPL,PPL Corp.,441.45%,HBI,Hanesbrands Inc,347.96%,ADM,Archer-Daniels-Midland Co,60.71%,CFG,Citizens Financial Group,309.39%,TAP,Molson Coors Brewing Company
222,103.40%,BAC,Bank of America Corp,383.06%,SLG,SL Green Realty,386.50%,MTB,M&T Bank Corp.,415.84%,CI,CIGNA Corp.,435.25%,SWK,Stanley Black & Decker,345.83%,COST,Costco Wholesale Corp.,60.08%,STT,State Street Corp.,308.98%,CTAS,Cintas Corporation
223,103.01%,NRG,NRG Energy,382.08%,PEG,Public Serv. Enterprise Inc.,377.43%,PNR,Pentair Ltd.,415.30%,HUM,Humana Inc.,434.47%,HES,Hess Corporation,345.07%,PNW,Pinnacle West Capital,55.86%,BHGE,"Baker Hughes, a GE Company",308.62%,DNB,Dun & Bradstreet
224,99.29%,EXR,Extra Space Storage,379.56%,NEE,NextEra Energy,375.29%,IVZ,Invesco Ltd.,411.05%,CVS,CVS Health,433.02%,ARE,Alexandria Real Estate Equities Inc,344.49%,DIS,The Walt Disney Company,54.43%,TWX,Time Warner Inc.,306.92%,SWN,Southwestern Energy
225,98.96%,HRB,Block H&R,378.59%,AXP,American Express Co,371.60%,NBL,Noble Energy Inc,404.09%,WEC,Wec Energy Group Inc,432.59%,GGP,General Growth Properties Inc.,340.80%,STX,Seagate Technology,51.11%,NTRS,Northern Trust Corp.,305.25%,NOV,National Oilwell Varco Inc.
226,89.40%,CDNS,Cadence Design Systems,376.44%,ETR,Entergy Corp.,369.70%,WFC,Wells Fargo,402.89%,PKI,PerkinElmer,430.20%,FLR,Fluor Corp.,337.80%,COP,ConocoPhillips,45.76%,DNR,Denbury Resources,305.17%,JEC,Jacobs Engineering Group
227,89.32%,XL,XL Capital,375.38%,FDX,FedEx Corporation,367.90%,HSIC,Henry Schein,401.86%,MMM,3M Company,428.74%,IRM,Iron Mountain Incorporated,337.07%,CAT,Caterpillar Inc.,40.69%,MSI,Motorola Solutions Inc.,302.12%,ORCL,Oracle Corp.
228,86.09%,CA,"CA, Inc.",374.90%,ANF,Abercrombie & Fitch,366.69%,HSY,The Hershey Company,399.34%,CTXS,Citrix Systems,422.38%,PBCT,People's United Financial,336.78%,DPS,Dr Pepper Snapple Group,34.64%,ALLE,Allegion,301.26%,RE,Everest Re
229,83.56%,IFF,Intl Flavors & Fragrances,372.88%,HSIC,Henry Schein,362.75%,RE,Everest Re,399.32%,WMT,Wal-Mart Stores,419.43%,APD,Air Products & Chemicals Inc,335.63%,MTB,M&T Bank Corp.,33.03%,CTL,CenturyLink Inc,300.97%,CMCSA,Comcast Corp.
230,80.38%,ZBH,Zimmer Biomet Holdings,371.36%,XLNX,Xilinx Inc,362.59%,XLNX,Xilinx Inc,398.31%,FDX,FedEx Corporation,416.77%,WAT,Waters Corporation,332.63%,MCD,McDonald's Corp.,29.71%,FSLR,First Solar,300.88%,TIF,Tiffany & Co.
231,77.98%,PFG,Principal Financial Group,371.26%,RHI,Robert Half International,361.32%,ES,Eversource Energy,397.13%,BEN,Franklin Resources,416.68%,IR,Ingersoll-Rand PLC,331.22%,PLD,Prologis,22.62%,JBL,Jabil Circuit,300.24%,SCHW,Charles Schwab Corporation
232,70.93%,UNM,Unum Group,369.29%,TDG,TransDigm Group,360.76%,REG,Regency Centers Corporation,394.21%,NOV,National Oilwell Varco Inc.,416.31%,WHR,Whirlpool Corp.,323.59%,URI,"United Rentals, Inc.",20.69%,MRK,Merck & Co.,299.34%,PNC,PNC Financial Services
233,70.83%,TER,Teradyne,367.55%,ESV,Ensco plc,359.49%,GGP,General Growth Properties Inc.,392.46%,HRS,Harris Corporation,412.12%,ETR,Entergy Corp.,319.72%,FLR,Fluor Corp.,18.39%,PWR,Quanta Services Inc.,293.67%,ETR,Entergy Corp.
234,70.34%,AIZ,Assurant Inc,366.18%,MLM,Martin Marietta Materials,359.16%,KSS,Kohl's,389.19%,UDR,UDR Inc,406.90%,R,Ryder Systems Inc.,319.13%,ED,Consolidated Edison,16.70%,VRTX,Vertex Pharmaceuticals Inc,290.34%,AXP,American Express Co
235,68.62%,AMP,Ameriprise Financial,365.67%,ALK,Alaska Air Group Inc,357.34%,HRS,Harris Corporation,387.64%,FIS,Fidelity National Information Services,406.01%,PNR,Pentair Ltd.,318.78%,LUV,Southwest Airlines,14.86%,BK,The Bank of New York Mellon Corp.,289.43%,BRK.B,Berkshire Hathaway
236,67.52%,RHT,Red Hat Inc.,363.83%,IVZ,Invesco Ltd.,356.27%,BAX,Baxter International Inc.,382.36%,CL,Colgate-Palmolive,398.77%,KLAC,KLA-Tencor Corp.,318.73%,APTV,Aptiv Plc,10.71%,MNK,Mallinckrodt,284.94%,MSFT,Microsoft Corp.
237,62.16%,MAS,Masco Corp.,361.20%,FLS,Flowserve Corporation,355.12%,BDX,Becton Dickinson,377.45%,LUK,Leucadia National Corp.,398.48%,SPGI,"S&P Global, Inc.",318.19%,PCG,PG&E Corp.,10.64%,FTV,Fortive Corp,282.65%,FCX,Freeport-McMoRan Inc.
238,61.65%,FL,Foot Locker Inc,357.79%,ED,Consolidated Edison,354.43%,UDR,UDR Inc,376.66%,XOM,Exxon Mobil Corp.,396.71%,PPL,PPL Corp.,317.25%,EBAY,eBay,9.36%,FHN,First Horizon,281.84%,CINF,Cincinnati Financial
239,58.20%,NDAQ,"Nasdaq, Inc.",355.85%,RL,Polo Ralph Lauren Corp.,354.22%,PKG,Packaging Corporation of America,376.36%,ANTM,Anthem Inc.,395.67%,DHI,D. R. Horton,316.19%,ES,Eversource Energy,7.75%,LM,Legg Mason,281.12%,ADM,Archer-Daniels-Midland Co
240,56.36%,LYB,LyondellBasell,351.99%,PG,Procter & Gamble,353.17%,AMT,American Tower Corp A,375.19%,COF,Capital One Financial,393.77%,NSC,Norfolk Southern Corp.,314.77%,EL,Estee Lauder Cos.,6.38%,RF,Regions Financial Corp.,280.52%,COP,ConocoPhillips
241,54.88%,DWDP,DowDuPont,345.51%,AMGN,Amgen Inc,349.39%,SRE,Sempra Energy,374.91%,AMT,American Tower Corp A,392.80%,FII,Federated Investors,311.02%,WFC,Wells Fargo,6.01%,CSCO,Cisco Systems,270.97%,EMR,Emerson Electric Company
242,51.67%,URI,"United Rentals, Inc.",342.65%,APD,Air Products & Chemicals Inc,349.35%,CTL,CenturyLink Inc,373.06%,EMN,Eastman Chemical,387.34%,MRO,Marathon Oil Corp.,310.98%,NDAQ,"Nasdaq, Inc.",1.39%,CDNS,Cadence Design Systems,269.38%,EXPE,Expedia Inc.
243,40.94%,NWL,Newell Brands,340.36%,KSU,Kansas City Southern,349.05%,TXN,Texas Instruments,366.10%,LEN,Lennar Corp.,377.95%,HSY,The Hershey Company,310.34%,ABT,Abbott Laboratories,-3.27%,CHK,Chesapeake Energy,267.39%,JNJ,Johnson & Johnson
244,34.73%,PM,Philip Morris International,339.02%,RE,Everest Re,345.38%,MCHP,Microchip Technology,365.92%,ADI,"Analog Devices, Inc.",377.45%,PDCO,Patterson Companies,307.35%,PEP,PepsiCo Inc.,-5.46%,JCI,Johnson Controls Inc,266.77%,A,Agilent Technologies Inc
245,32.53%,MDLZ,Mondelez International,335.92%,AIV,Apartment Investment & Management,344.57%,ED,Consolidated Edison,363.49%,EQR,Equity Residential,376.06%,CHTR,Charter Communications,304.68%,TSS,Total System Services,-7.42%,WIN,Windstream Holdings Inc,266.74%,LUV,Southwest Airlines
246,30.67%,C,Citigroup Inc.,335.38%,SCHW,Charles Schwab Corporation,344.08%,PAYX,Paychex Inc.,363.15%,V,Visa Inc.,373.80%,COST,Costco Wholesale Corp.,303.43%,UTX,United Technologies,-8.06%,MS,Morgan Stanley,263.33%,XEL,Xcel Energy Inc
247,29.56%,AKS,AK Steel Holding Corp.,333.66%,JNJ,Johnson & Johnson,343.08%,DNR,Denbury Resources,362.99%,GRA,W.R. Grace,368.20%,TRV,The Travelers Companies Inc.,303.03%,MET,MetLife Inc.,-13.25%,ANF,Abercrombie & Fitch,259.99%,AEP,American Electric Power
248,27.16%,KEY,KeyCorp,333.05%,CMCSA,Comcast Corp.,340.83%,SLB,Schlumberger Ltd.,362.41%,RE,Everest Re,367.56%,HRB,Block H&R,299.08%,BMS,Bemis Company,-15.95%,EVHC,Envision Healthcare,258.80%,LEG,Leggett & Platt
249,26.07%,SVU,Supervalu Inc.,331.37%,GIS,General Mills,339.99%,EXR,Extra Space Storage,361.91%,TXN,Texas Instruments,367.17%,ADM,Archer-Daniels-Midland Co,298.69%,RHI,Robert Half International,-16.19%,FTR,Frontier Communications,258.55%,CL,Colgate-Palmolive
250,25.20%,VRSK,Verisk Analytics,330.93%,CSCO,Cisco Systems,338.75%,JBL,Jabil Circuit,358.80%,SYY,Sysco Corp.,363.97%,AGN,"Allergan, Inc",294.70%,FII,Federated Investors,-21.11%,AMD,Advanced Micro Devices,256.66%,AMGN,Amgen Inc
251,24.47%,SNI,Scripps Networks Interactive Inc.,326.47%,ADP,Automatic Data Processing,337.78%,AGN,"Allergan, Inc",354.34%,FOXA,Twenty-First Century Fox Class A,361.11%,ADI,"Analog Devices, Inc.",293.66%,TSN,Tyson Foods,-24.31%,WPX,"WPX Energy, Inc.",255.03%,EA,Electronic Arts
252,21.25%,JCP,J.C. Penney,326.38%,PNR,Pentair Ltd.,335.69%,EMN,Eastman Chemical,354.12%,TAP,Molson Coors Brewing Company,359.89%,EFX,Equifax Inc.,291.98%,AEP,American Electric Power,-25.10%,QRVO,Qorvo,254.57%,PG,Procter & Gamble
253,20.32%,HBI,Hanesbrands Inc,325.57%,STT,State Street Corp.,333.93%,FDX,FedEx Corporation,351.80%,TGT,Target Corp.,356.71%,CVX,Chevron Corp.,291.62%,AIZ,Assurant Inc,-25.68%,NWSA,News Corp. Class A,254.08%,KLAC,KLA-Tencor Corp.
254,17.78%,NYT,The New York Times Co.,325.12%,FLR,Fluor Corp.,332.98%,ETR,Entergy Corp.,350.30%,VRTX,Vertex Pharmaceuticals Inc,356.13%,LNT,Alliant Energy Corp,289.34%,FDX,FedEx Corporation,-26.37%,NTAP,NetApp,253.36%,VRSN,Verisign Inc.
255,17.61%,HBAN,Huntington Bancshares,322.95%,KIM,Kimco Realty,332.85%,EXC,Exelon Corp.,345.78%,HSY,The Hershey Company,354.77%,DVN,Devon Energy,288.32%,ALL,Allstate Corp,-29.99%,TER,Teradyne,252.58%,SYY,Sysco Corp.
256,14.02%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,322.59%,IR,Ingersoll-Rand PLC,332.26%,WBA,Walgreens Boots Alliance,344.46%,PAYX,Paychex Inc.,354.13%,VRSN,Verisign Inc.,285.10%,CLX,The Clorox Company,-32.36%,TGNA,"Tegna, Inc.",250.67%,MTB,M&T Bank Corp.
257,7.81%,GM,General Motors,322.07%,INTU,Intuit,328.41%,CLX,The Clorox Company,342.31%,CSX,CSX Corp.,351.84%,LEN,Lennar Corp.,282.96%,IR,Ingersoll-Rand PLC,-45.94%,QEP,QEP Resources,250.50%,CAG,Conagra Brands
258,-1.03%,TEL,TE Connectivity Ltd.,321.00%,ABT,Abbott Laboratories,325.66%,DF,Dean Foods,341.63%,OMC,Omnicom Group,349.88%,AN,AutoNation Inc,279.58%,ITW,Illinois Tool Works,-58.53%,KG,King Pharmaceuticals Inc.,250.06%,KMB,Kimberly-Clark
259,-2.34%,RF,Regions Financial Corp.,320.42%,CI,CIGNA Corp.,325.15%,TMK,Torchmark Corp.,339.01%,LMT,Lockheed Martin Corp.,346.42%,BBBY,Bed Bath & Beyond,276.49%,CINF,Cincinnati Financial,-66.46%,ARNC,Arconic Inc,246.54%,HCA,HCA Holdings
260,-24.86%,UAL,United Continental Holdings,319.45%,WEC,Wec Energy Group Inc,324.31%,AXP,American Express Co,336.45%,WBA,Walgreens Boots Alliance,345.81%,ITW,Illinois Tool Works,276.21%,EXPE,Expedia Inc.,-66.51%,RIG,Transocean,245.29%,FOXA,Twenty-First Century Fox Class A
