,1995-1998,ticker,company,1996-1999,ticker,company,1997-2000,ticker,company,1998-2001,ticker,company,1999-2002,ticker,company,2000-2003,ticker,company,2001-2004,ticker,company,2002-2005,ticker,company,2003-2006,ticker,company,2004-2007,ticker,company,2005-2008,ticker,company,2006-2009,ticker,company,2007-2010,ticker,company,2008-2011,ticker,company,2009-2012,ticker,company,2010-2013,ticker,company,2011-2014,ticker,company,2012-2015,ticker,company,2013-2016,ticker,company,2014-2017,ticker,company,2015-2018,ticker,company
23,388.00%,RDC,Rowan Companies Plc,342.41%,TGT,Target Corp.,470.83%,INTU,Intuit,333.33%,VRTX,Vertex Pharmaceuticals Inc,173.83%,EXPD,Expeditors International,150.56%,UHS,"Universal Health Services, Inc.",205.69%,AZO,AutoZone Inc,225.25%,GGP,General Growth Properties Inc.,432.50%,FFIV,F5 Networks,278.78%,MON,Monsanto Co.,219.56%,AKS,AK Steel Holding Corp.,54.22%,SWN,Southwestern Energy,91.19%,FLS,Flowserve Corporation,90.49%,BIG,Big Lots Inc.,286.80%,KMX,Carmax Inc,165.21%,GRA,W.R. Grace,197.32%,TJX,TJX Companies Inc.,252.24%,URI,"United Rentals, Inc.",185.91%,GPN,Global Payments Inc,65.20%,CAG,Conagra Brands,115.63%,AMAT,Applied Materials Inc
24,381.25%,JCI,Johnson Controls Inc,316.89%,IBM,International Business Machines,465.20%,MSFT,Microsoft Corp.,329.17%,PWR,Quanta Services Inc.,170.27%,FII,Federated Investors,146.80%,HCN,Welltower Inc.,202.10%,LEN,Lennar Corp.,220.27%,HAL,Halliburton Co.,424.17%,AES,AES Corp,261.55%,VRTX,Vertex Pharmaceuticals Inc,214.01%,VLO,Valero Energy,50.36%,AZO,AutoZone Inc,85.99%,DISCA,Discovery Communications,89.07%,IT,Gartner Inc,286.42%,STX,Seagate Technology,164.13%,PRGO,Perrigo,195.01%,AOS,A.O. Smith,236.78%,PKG,Packaging Corporation of America,184.27%,NVDA,Nvidia Corporation,64.20%,AVB,"AvalonBay Communities, Inc.",113.94%,TER,Teradyne
25,377.36%,NBR,Nabors Industries,316.69%,PFE,Pfizer Inc.,447.00%,CMCSA,Comcast Corp.,324.72%,TXN,Texas Instruments,169.83%,CTSH,Cognizant Technology Solutions,146.41%,SBR,Sabre Holdings,201.45%,IGT,International Game Technology,219.08%,PBCT,People's United Financial,391.55%,NFLX,Netflix Inc.,257.87%,WYNN,Wynn Resorts,205.54%,CME,CME Group Inc.,49.82%,NUE,Nucor Corp.,83.87%,OXY,Occidental Petroleum,88.44%,TDG,TransDigm Group,274.21%,EL,Estee Lauder Cos.,162.47%,SHW,Sherwin-Williams,190.93%,PCLN,Priceline.com Inc,236.49%,APTV,Aptiv Plc,183.40%,ORLY,O'Reilly Automotive,63.47%,PSA,Public Storage,113.36%,DHR,Danaher Corp.
26,363.39%,TJX,TJX Companies Inc.,315.83%,ETFC,E*Trade,443.53%,SCHW,Charles Schwab Corporation,317.94%,EBAY,eBay,166.93%,ADBE,Adobe Systems Inc,141.47%,ROST,Ross Stores,201.39%,FOSL,Fossil Group,210.69%,SYMC,Symantec Corp.,379.59%,GRA,W.R. Grace,257.62%,GME,GameStop,204.53%,ANDV,Andeavor,48.09%,PWR,Quanta Services Inc.,82.39%,CERN,Cerner,86.31%,ORLY,O'Reilly Automotive,273.18%,AN,AutoNation Inc,161.72%,ROST,Ross Stores,187.06%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,235.83%,PHM,Pulte Homes Inc.,182.32%,TSN,Tyson Foods,63.09%,REG,Regency Centers Corporation,110.24%,HRS,Harris Corporation
27,357.85%,LLY,Lilly (Eli) & Co.,314.86%,CCL,Carnival Corp.,441.54%,TER,Teradyne,311.86%,REGN,Regeneron,163.11%,NE,Noble Corp,140.78%,XRAY,Dentsply Sirona,199.50%,MAC,Macerich,205.00%,PCAR,PACCAR Inc.,373.68%,AMD,Advanced Micro Devices,256.38%,SLG,SL Green Realty,197.74%,ALXN,Alexion Pharmaceuticals,47.72%,HCN,Welltower Inc.,81.16%,EW,Edwards Lifesciences,84.48%,TPR,"Tapestry, Inc.",271.40%,FL,Foot Locker Inc,155.57%,EL,Estee Lauder Cos.,185.71%,CELG,Celgene Corp.,235.01%,RCL,Royal Caribbean Cruises Ltd,181.91%,MNST,Monster Beverage,60.71%,CFG,Citizens Financial Group,108.55%,TSN,Tyson Foods
28,349.09%,RJF,Raymond James Financial Inc.,311.96%,AES,AES Corp,422.05%,GPS,Gap Inc.,311.66%,CSCO,Cisco Systems,162.84%,SBR,Sabre Holdings,138.20%,DNB,Dun & Bradstreet,192.66%,ATVI,Activision Blizzard,200.37%,ROK,Rockwell Automation Inc.,369.34%,SUN,Sunoco Inc.,244.55%,AMT,American Tower Corp A,192.87%,BLK,BlackRock,46.83%,OXY,Occidental Petroleum,74.84%,OI,Owens-Illinois,84.31%,PRGO,Perrigo,264.60%,ISRG,Intuitive Surgical Inc.,155.10%,IT,Gartner Inc,183.79%,TDG,TransDigm Group,228.65%,ALK,Alaska Air Group Inc,179.60%,BBY,Best Buy Co. Inc.,60.67%,CINF,Cincinnati Financial,108.27%,MTD,Mettler Toledo
29,347.98%,TROW,T. Rowe Price Group,309.48%,CVS,CVS Health,409.11%,KSU,Kansas City Southern,301.64%,AJG,Arthur J. Gallagher & Co.,161.03%,PKI,PerkinElmer,134.78%,DHI,D. R. Horton,191.96%,HCN,Welltower Inc.,197.04%,FCX,Freeport-McMoRan Inc.,361.25%,RHT,Red Hat Inc.,239.14%,PBCT,People's United Financial,176.49%,COG,Cabot Oil & Gas,45.63%,BAX,Baxter International Inc.,74.60%,LKQ,LKQ Corporation,82.15%,DRI,Darden Restaurants,257.01%,KSU,Kansas City Southern,154.78%,AAPL,Apple Inc.,180.31%,FOXA,Twenty-First Century Fox Class A,225.84%,CELG,Celgene Corp.,178.82%,GILD,Gilead Sciences,60.21%,JPM,JPMorgan Chase & Co.,107.55%,CTAS,Cintas Corporation
30,346.66%,SLM,SLM Corporation,306.67%,INTC,Intel Corp.,396.47%,TIF,Tiffany & Co.,269.75%,ADI,"Analog Devices, Inc.",157.35%,VRSN,Verisign Inc.,130.53%,SO,Southern Co.,191.63%,DHI,D. R. Horton,195.69%,HOLX,Hologic,359.39%,AET,Aetna Inc,238.12%,CTSH,Cognizant Technology Solutions,165.54%,AKAM,Akamai Technologies Inc,45.59%,ABT,Abbott Laboratories,63.40%,APA,Apache Corporation,81.69%,RL,Polo Ralph Lauren Corp.,256.09%,CTSH,Cognizant Technology Solutions,153.50%,KSU,Kansas City Southern,179.46%,HBI,Hanesbrands Inc,221.94%,ANDV,Andeavor,174.49%,SVU,Supervalu Inc.,55.10%,RF,Regions Financial Corp.,107.25%,AET,Aetna Inc
31,343.65%,INTC,Intel Corp.,306.56%,ROST,Ross Stores,394.06%,XLNX,Xilinx Inc,267.36%,COF,Capital One Financial,154.30%,NBR,Nabors Industries,130.40%,EOG,EOG Resources,189.53%,HRB,Block H&R,195.66%,GRMN,Garmin Ltd.,329.22%,ETFC,E*Trade,236.90%,RIG,Transocean,162.99%,GILD,Gilead Sciences,44.29%,XOM,Exxon Mobil Corp.,63.24%,EOG,EOG Resources,81.17%,CMI,Cummins Inc.,253.85%,PVH,PVH Corp.,151.93%,DLTR,Dollar Tree,175.49%,HRB,Block H&R,213.13%,BAC,Bank of America Corp,169.42%,AMZN,Amazon.com Inc,55.00%,APH,Amphenol Corp,106.77%,CBOE,CBOE Holdings
32,343.43%,PAYX,Paychex Inc.,299.99%,WBA,Walgreens Boots Alliance,392.52%,AAPL,Apple Inc.,258.17%,KSS,Kohl's,153.98%,EQT,EQT Corporation,129.24%,BLK,BlackRock,188.19%,GRMN,Garmin Ltd.,194.78%,BSX,Boston Scientific,325.48%,DHI,D. R. Horton,231.37%,AKS,AK Steel Holding Corp.,162.21%,REGN,Regeneron,43.94%,KR,Kroger Co.,62.53%,MON,Monsanto Co.,79.98%,CTXS,Citrix Systems,252.31%,CBG,CBRE Group,150.46%,PPG,PPG Industries,173.22%,PHM,Pulte Homes Inc.,203.78%,TDG,TransDigm Group,169.23%,HRL,Hormel Foods Corp.,54.97%,ADI,"Analog Devices, Inc.",105.72%,DHI,D. R. Horton
