,1995-1998,ticker,company,1996-1999,ticker,company,1997-2000,ticker,company,1998-2001,ticker,company,1999-2002,ticker,company,2000-2003,ticker,company,2001-2004,ticker,company,2002-2005,ticker,company,2003-2006,ticker,company,2004-2007,ticker,company,2005-2008,ticker,company,2006-2009,ticker,company,2007-2010,ticker,company,2008-2011,ticker,company,2009-2012,ticker,company,2010-2013,ticker,company,2011-2014,ticker,company,2012-2015,ticker,company,2013-2016,ticker,company,2014-2017,ticker,company,2015-2018,ticker,company
268,78.93%,ROK,Rockwell Automation Inc.,47.82%,SPG,Simon Property Group Inc,23.13%,ADSK,Autodesk Inc,19.83%,CVX,Chevron Corp.,16.16%,WY,Weyerhaeuser Corp.,2.11%,HES,Hess Corporation,22.04%,CCE,Coca-Cola Enterprises,38.84%,AMD,Advanced Micro Devices,72.98%,HSY,The Hershey Company,51.14%,DIS,The Walt Disney Company,283.41%,DO,Diamond Offshore Drilling,-27.96%,STT,State Street Corp.,-35.44%,WYN,Wyndham Worldwide,-6.45%,ABT,Abbott Laboratories,24.53%,SEE,Sealed Air,33.75%,DRE,Duke Realty Corp,26.55%,BBY,Best Buy Co. Inc.,81.46%,INTU,Intuit,48.06%,GGP,General Growth Properties Inc.,-41.85%,NBL,Noble Energy Inc,17.58%,SEE,Sealed Air
269,76.20%,SHW,Sherwin-Williams,46.87%,AVB,"AvalonBay Communities, Inc.",22.88%,GIS,General Mills,19.15%,XEL,Xcel Energy Inc,15.98%,KMB,Kimberly-Clark,2.05%,IFF,Intl Flavors & Fragrances,21.92%,AEE,Ameren Corp,38.83%,GNW,Genworth Financial,72.83%,WHR,Whirlpool Corp.,50.77%,BLL,Ball Corp,276.94%,HES,Hess Corporation,-28.00%,MET,MetLife Inc.,-36.09%,NDAQ,"Nasdaq, Inc.",-6.51%,BLK,BlackRock,23.86%,APA,Apache Corporation,33.27%,TXT,Textron Inc.,25.50%,TER,Teradyne,81.38%,APD,Air Products & Chemicals Inc,48.03%,SBAC,SBA Communications,-43.26%,NOV,National Oilwell Varco Inc.,17.49%,LEG,Leggett & Platt
270,75.64%,ORCL,Oracle Corp.,46.58%,ALXN,Alexion Pharmaceuticals,22.56%,DUK,Duke Energy,19.07%,SJM,JM Smucker,15.88%,ECL,Ecolab,1.77%,CME,CME Group Inc.,21.82%,CCK,Crown Holdings,38.36%,DIS,The Walt Disney Company,72.80%,SYMC,Symantec Corp.,50.38%,PNC,PNC Financial Services,270.07%,CRM,Salesforce.com,-28.48%,HOLX,Hologic,-36.27%,VMC,Vulcan Materials,-6.51%,HBI,Hanesbrands Inc,23.67%,PNC,PNC Financial Services,33.20%,WFC,Wells Fargo,25.11%,PBCT,People's United Financial,81.19%,ACN,Accenture plc,48.01%,MCD,McDonald's Corp.,-44.02%,TRIP,TripAdvisor,17.39%,HCA,HCA Holdings
271,75.25%,IGT,International Game Technology,45.76%,PPL,PPL Corp.,22.16%,AVP,Avon Products,17.91%,GGP,General Growth Properties Inc.,15.83%,WFC,Wells Fargo,1.64%,PNR,Pentair Ltd.,21.07%,JBL,Jabil Circuit,37.54%,GD,General Dynamics,72.71%,XOM,Exxon Mobil Corp.,50.21%,BAC,Bank of America Corp,258.67%,GOOG,Alphabet Inc Class C,-28.54%,UAA,Under Armour,-36.39%,AMG,Affiliated Managers Group Inc,-7.36%,BAX,Baxter International Inc.,23.64%,CME,CME Group Inc.,33.08%,A,Agilent Technologies Inc,24.93%,LM,Legg Mason,81.14%,MET,MetLife Inc.,47.39%,AAPL,Apple Inc.,-44.92%,RDC,Rowan Companies Plc,17.25%,KHC,Kraft Heinz
272,72.93%,ARNC,Arconic Inc,45.62%,MYL,Mylan N.V.,21.95%,SO,Southern Co.,17.71%,LNT,Alliant Energy Corp,15.53%,VMC,Vulcan Materials,1.28%,BIIB,Biogen Inc.,20.91%,MLM,Martin Marietta Materials,36.97%,ZION,Zions Bancorp,72.51%,HPQ,HP Inc.,49.35%,NOC,Northrop Grumman Corp.,257.24%,CNX,Consol Energy,-28.72%,CTSH,Cognizant Technology Solutions,-36.61%,DF,Dean Foods,-7.64%,ESV,Ensco plc,23.61%,GE,General Electric,32.47%,TROW,T. Rowe Price Group,24.83%,FLR,Fluor Corp.,80.71%,PVH,PVH Corp.,47.37%,PPL,PPL Corp.,-44.96%,PRGO,Perrigo,17.20%,HSY,The Hershey Company
273,72.93%,CTL,CenturyLink Inc,45.45%,GIS,General Mills,21.68%,BLK,BlackRock,16.43%,ETN,Eaton Corporation,15.53%,LNT,Alliant Energy Corp,1.21%,HIG,Hartford Financial Svc.Gp.,20.72%,NOC,Northrop Grumman Corp.,36.54%,KMX,Carmax Inc,72.18%,MTD,Mettler Toledo,49.16%,IFF,Intl Flavors & Fragrances,252.20%,FLS,Flowserve Corporation,-28.94%,LEG,Leggett & Platt,-37.35%,ADSK,Autodesk Inc,-8.39%,USB,U.S. Bancorp,22.34%,CPB,Campbell Soup,31.92%,F,Ford Motor,23.98%,KIM,Kimco Realty,80.67%,XRX,Xerox Corp.,47.20%,BRK.B,Berkshire Hathaway,-47.06%,KORS,Michael Kors Holdings,16.77%,ORCL,Oracle Corp.
274,72.23%,FLS,Flowserve Corporation,45.15%,SNPS,Synopsys Inc.,21.52%,CDNS,Cadence Design Systems,16.13%,DOV,Dover Corp.,15.50%,ES,Eversource Energy,1.01%,WBA,Walgreens Boots Alliance,19.93%,MAS,Masco Corp.,36.45%,S,Sprint Nextel Corp.,71.66%,UDR,UDR Inc,49.12%,AMP,Ameriprise Financial,248.49%,CELG,Celgene Corp.,-29.03%,INCY,Incyte,-37.93%,MET,MetLife Inc.,-8.64%,VIAB,Viacom Inc.,21.66%,LLY,Lilly (Eli) & Co.,30.95%,PWR,Quanta Services Inc.,23.95%,VTR,Ventas Inc,80.39%,XL,XL Capital,47.16%,A,Agilent Technologies Inc,-48.96%,BBBY,Bed Bath & Beyond,16.39%,UNP,Union Pacific
275,71.48%,MMM,3M Company,45.12%,AKS,AK Steel Holding Corp.,21.01%,DRE,Duke Realty Corp,16.11%,CCL,Carnival Corp.,15.37%,HSY,The Hershey Company,0.77%,WYNN,Wynn Resorts,19.86%,DWDP,DowDuPont,35.30%,WY,Weyerhaeuser Corp.,70.45%,DHR,Danaher Corp.,49.11%,BF.B,Brown-Forman Corp.,243.75%,MRO,Marathon Oil Corp.,-29.31%,GOOG,Alphabet Inc Class C,-38.16%,GT,Goodyear Tire & Rubber,-8.97%,SPGI,"S&P Global, Inc.",21.30%,RSG,Republic Services Inc,30.81%,TSS,Total System Services,23.67%,REG,Regency Centers Corporation,80.26%,ROP,Roper Technologies,46.95%,GS,Goldman Sachs Group,-51.14%,NSM,National Semiconductor Corp.,16.24%,AYI,Acuity Brands Inc
276,71.02%,MCHP,Microchip Technology,43.75%,NE,Noble Corp,20.38%,CNP,CenterPoint Energy,14.76%,IR,Ingersoll-Rand PLC,15.30%,TMK,Torchmark Corp.,0.74%,HRS,Harris Corporation,19.60%,DTE,DTE Energy,35.24%,RJF,Raymond James Financial Inc.,70.42%,AXP,American Express Co,48.72%,MS,Morgan Stanley,234.25%,CMG,Chipotle Mexican Grill,-29.31%,GOOGL,Alphabet Inc Class A,-38.53%,GHC,Graham Holdings,-9.06%,RE,Everest Re,19.02%,UNM,Unum Group,30.73%,R,Ryder Systems Inc.,23.19%,CXO,Concho Resources,80.11%,ESRX,Express Scripts,46.50%,GPC,Genuine Parts,-51.34%,OI,Owens-Illinois,16.10%,BLL,Ball Corp
277,69.51%,OXY,Occidental Petroleum,43.62%,URBN,Urban Outfitters,20.36%,PBCT,People's United Financial,14.65%,MO,Altria Group Inc,14.99%,JNPR,Juniper Networks,0.09%,LLY,Lilly (Eli) & Co.,18.15%,IP,International Paper,35.00%,PBI,Pitney Bowes Inc,70.26%,SHW,Sherwin-Williams,48.29%,FAST,Fastenal Co,230.35%,GRMN,Garmin Ltd.,-29.78%,AIZ,Assurant Inc,-39.10%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,-9.10%,DVN,Devon Energy,18.78%,RE,Everest Re,29.90%,MAS,Masco Corp.,23.08%,BK,The Bank of New York Mellon Corp.,80.04%,DTE,DTE Energy,45.80%,DFS,Discover Financial Services,-54.25%,NRG,NRG Energy,16.07%,EQR,Equity Residential
278,69.46%,SCG,SCANA Corp,43.49%,ARNC,Arconic Inc,19.90%,LNT,Alliant Energy Corp,14.38%,SCG,SCANA Corp,14.84%,PNC,PNC Financial Services,0.01%,ITW,Illinois Tool Works,17.79%,TGT,Target Corp.,34.97%,RDC,Rowan Companies Plc,68.61%,IGT,International Game Technology,48.15%,HCN,Welltower Inc.,228.00%,PWR,Quanta Services Inc.,-29.88%,VAR,Varian Medical Systems,-39.33%,AES,AES Corp,-9.66%,NOC,Northrop Grumman Corp.,18.70%,BRK.B,Berkshire Hathaway,28.52%,BCR,Bard (C.R.) Inc.,23.02%,SO,Southern Co.,79.81%,ORCL,Oracle Corp.,45.69%,D,Dominion Energy,-59.76%,ANF,Abercrombie & Fitch,15.82%,UTX,United Technologies
279,69.02%,CHD,Church & Dwight,43.19%,DO,Diamond Offshore Drilling,19.66%,SWK,Stanley Black & Decker,13.55%,YUM,Yum! Brands Inc,14.68%,XOM,Exxon Mobil Corp.,-0.24%,R,Ryder Systems Inc.,17.55%,WFC,Wells Fargo,34.23%,DGX,Quest Diagnostics,67.81%,WEC,Wec Energy Group Inc,48.09%,DGX,Quest Diagnostics,215.23%,CMI,Cummins Inc.,-30.10%,EFX,Equifax Inc.,-39.34%,HOLX,Hologic,-9.87%,PFE,Pfizer Inc.,18.65%,HAS,Hasbro Inc.,28.22%,PFG,Principal Financial Group,22.76%,RHT,Red Hat Inc.,79.60%,CCI,Crown Castle International Corp.,45.31%,COO,The Cooper Companies,-64.77%,THC,Tenet Healthcare,15.73%,GIS,General Mills
280,68.83%,HAS,Hasbro Inc.,42.79%,KMB,Kimberly-Clark,19.63%,PPG,PPG Industries,13.38%,WY,Weyerhaeuser Corp.,14.48%,DTE,DTE Energy,-0.27%,VMC,Vulcan Materials,17.43%,BBT,BB&T Corporation,34.15%,PKG,Packaging Corporation of America,67.78%,LLL,L-3 Communications Holdings,47.68%,WAT,Waters Corporation,214.81%,FCX,Freeport-McMoRan Inc.,-30.16%,BBBY,Bed Bath & Beyond,-39.71%,IPG,Interpublic Group,-10.34%,RDC,Rowan Companies Plc,17.19%,LUK,Leucadia National Corp.,28.00%,VNO,Vornado Realty Trust,21.79%,RSG,Republic Services Inc,79.21%,SNI,Scripps Networks Interactive Inc.,45.28%,AME,AMETEK Inc,-66.65%,CLF,Cliffs Natural Resources,15.21%,IP,International Paper
281,68.56%,DNB,Dun & Bradstreet,42.63%,HRS,Harris Corporation,19.04%,VAR,Varian Medical Systems,13.16%,NOV,National Oilwell Varco Inc.,14.29%,PFG,Principal Financial Group,-0.53%,COL,Rockwell Collins,16.98%,LB,L Brands Inc.,33.81%,EMR,Emerson Electric Company,67.70%,FE,FirstEnergy Corp,47.55%,VRSN,Verisign Inc.,205.64%,SLB,Schlumberger Ltd.,-30.35%,RJF,Raymond James Financial Inc.,-40.06%,AVY,Avery Dennison Corp,-10.39%,EQT,EQT Corporation,17.01%,ILMN,Illumina Inc,27.83%,ENDP,Endo International plc,21.29%,PBI,Pitney Bowes Inc,79.18%,BBY,Best Buy Co. Inc.,45.15%,CMA,Comerica Inc.,-68.86%,AVP,Avon Products,14.25%,EIX,Edison Int'l
282,68.38%,AME,AMETEK Inc,42.05%,JBHT,J. B. Hunt Transport Services,18.93%,ATVI,Activision Blizzard,12.24%,CDNS,Cadence Design Systems,14.17%,SRE,Sempra Energy,-0.64%,ROP,Roper Technologies,16.81%,TSN,Tyson Foods,33.54%,RRD,R.R. Donnelley,67.52%,FIS,Fidelity National Information Services,47.54%,STX,Seagate Technology,187.62%,RIG,Transocean,-30.46%,GPN,Global Payments Inc,-40.10%,RCL,Royal Caribbean Cruises Ltd,-10.64%,CTAS,Cintas Corporation,16.82%,ABT,Abbott Laboratories,27.63%,MGM,MGM Resorts International,21.28%,NOV,National Oilwell Varco Inc.,79.07%,EBAY,eBay,44.95%,ES,Eversource Energy,-71.96%,CHK,Chesapeake Energy,14.23%,ILMN,Illumina Inc
283,68.10%,GIS,General Mills,39.78%,O,Realty Income Corporation,18.20%,UNH,United Health Group Inc.,12.21%,ALB,Albemarle Corp,14.11%,AFL,AFLAC Inc,-0.71%,UTX,United Technologies,16.76%,BRK.B,Berkshire Hathaway,33.08%,GPC,Genuine Parts,67.32%,SLM,SLM Corporation,47.48%,NKE,Nike,178.69%,WDC,Western Digital,-30.86%,DF,Dean Foods,-40.26%,MAR,Marriott Int'l.,-10.65%,AEP,American Electric Power,16.57%,PFG,Principal Financial Group,27.53%,MCHP,Microchip Technology,21.12%,AES,AES Corp,78.48%,CMS,CMS Energy,44.62%,WYN,Wyndham Worldwide,-75.47%,GNW,Genworth Financial,13.14%,CL,Colgate-Palmolive
284,67.57%,ANDV,Andeavor,39.24%,SO,Southern Co.,18.18%,FLIR,FLIR Systems,10.68%,MCO,Moody's Corp,13.28%,PRU,Prudential Financial,-1.78%,CSX,CSX Corp.,16.61%,CAG,Conagra Brands,33.04%,SLB,Schlumberger Ltd.,66.84%,HON,Honeywell Int'l Inc.,47.40%,AXP,American Express Co,177.15%,OXY,Occidental Petroleum,-31.62%,HSY,The Hershey Company,-42.29%,FL,Foot Locker Inc,-11.21%,AVY,Avery Dennison Corp,14.41%,DGX,Quest Diagnostics,27.48%,NDAQ,"Nasdaq, Inc.",20.36%,NTRS,Northern Trust Corp.,78.41%,DISCK,Discovery Communications,44.41%,BMS,Bemis Company,-76.43%,DNR,Denbury Resources,12.94%,NCLH,Norwegian Cruise Line
285,67.21%,MCD,McDonald's Corp.,38.57%,ANDV,Andeavor,18.03%,SCG,SCANA Corp,10.56%,INCY,Incyte,12.56%,BEN,Franklin Resources,-1.86%,RRD,R.R. Donnelley,15.88%,AVB,"AvalonBay Communities, Inc.",33.02%,MSI,Motorola Solutions Inc.,66.75%,CHD,Church & Dwight,47.05%,D,Dominion Energy,174.48%,FLR,Fluor Corp.,-31.85%,NDAQ,"Nasdaq, Inc.",-42.51%,SIG,Signet Jewelers,-11.50%,RRC,Range Resources Corp.,14.21%,XOM,Exxon Mobil Corp.,27.18%,RRC,Range Resources Corp.,19.22%,VNO,Vornado Realty Trust,78.40%,DHR,Danaher Corp.,44.15%,SRE,Sempra Energy,-78.44%,FOSL,Fossil Group,12.79%,CCK,Crown Holdings
286,67.17%,RTN,Raytheon Co.,38.55%,HRL,Hormel Foods Corp.,18.03%,ROK,Rockwell Automation Inc.,10.27%,ED,Consolidated Edison,12.37%,LB,L Brands Inc.,-1.91%,NVDA,Nvidia Corporation,15.21%,ABC,AmerisourceBergen Corp,32.44%,LEG,Leggett & Platt,66.32%,EFX,Equifax Inc.,46.52%,BMS,Bemis Company,164.90%,IVZ,Invesco Ltd.,-31.91%,PKG,Packaging Corporation of America,-42.81%,NWL,Newell Brands,-11.56%,AXP,American Express Co,13.08%,AMAT,Applied Materials Inc,27.12%,UTX,United Technologies,18.76%,HOLX,Hologic,78.28%,TSS,Total System Services,44.03%,CA,"CA, Inc.",-81.18%,ESV,Ensco plc,12.70%,TAP,Molson Coors Brewing Company
287,67.14%,MKC,McCormick & Co.,37.64%,COP,ConocoPhillips,17.50%,AZO,AutoZone Inc,9.89%,TMK,Torchmark Corp.,11.85%,DWDP,DowDuPont,-2.14%,MNST,Monster Beverage,14.91%,ADM,Archer-Daniels-Midland Co,31.95%,GLW,Corning Inc.,65.94%,DUK,Duke Energy,46.43%,EMR,Emerson Electric Company,163.98%,DE,Deere & Co.,-32.12%,CA,"CA, Inc.",-42.86%,NYT,The New York Times Co.,-11.66%,SLB,Schlumberger Ltd.,12.60%,KORS,Michael Kors Holdings,26.77%,RHI,Robert Half International,18.68%,MS,Morgan Stanley,77.81%,BEN,Franklin Resources,43.77%,KMX,Carmax Inc,-85.62%,LIFE,Life Technologies,12.66%,BMY,Bristol-Myers Squibb
288,66.45%,MAC,Macerich,36.06%,FE,FirstEnergy Corp,16.39%,X,United States Steel Corporation,9.72%,REG,Regency Centers Corporation,11.48%,DHR,Danaher Corp.,-2.47%,HBAN,Huntington Bancshares,14.82%,MAR,Marriott Int'l.,31.56%,L,Loews Corp.,65.66%,PNC,PNC Financial Services,46.05%,JPM,JPMorgan Chase & Co.,156.95%,NUE,Nucor Corp.,-32.49%,TSCO,Tractor Supply Company,-43.11%,CMA,Comerica Inc.,-11.75%,PBCT,People's United Financial,12.35%,USB,U.S. Bancorp,26.56%,EOG,EOG Resources,18.20%,BAC,Bank of America Corp,77.51%,ABT,Abbott Laboratories,43.69%,JNPR,Juniper Networks,nan%,BHF,Brighthouse Financial Inc,12.48%,SRE,Sempra Energy
289,65.97%,DUK,Duke Energy,35.82%,D,Dominion Energy,16.25%,COP,ConocoPhillips,9.64%,HSY,The Hershey Company,11.12%,LEG,Leggett & Platt,-2.53%,PFE,Pfizer Inc.,14.58%,OMC,Omnicom Group,31.49%,MET,MetLife Inc.,65.41%,ETR,Entergy Corp.,46.03%,COST,Costco Wholesale Corp.,155.62%,MLM,Martin Marietta Materials,-32.58%,MCHP,Microchip Technology,-43.38%,BHGE,"Baker Hughes, a GE Company",-12.27%,KR,Kroger Co.,12.17%,CSCO,Cisco Systems,25.89%,TXN,Texas Instruments,18.19%,GNW,Genworth Financial,77.50%,NTRS,Northern Trust Corp.,43.28%,USB,U.S. Bancorp,317.00%,DXC,DXC Technology,11.78%,GHC,Graham Holdings
290,65.93%,LSI,LSI Corporation,35.60%,HST,Host Hotels & Resorts,16.21%,AOS,A.O. Smith,9.41%,PCAR,PACCAR Inc.,11.04%,AEP,American Electric Power,-2.62%,BAX,Baxter International Inc.,13.98%,CB,Chubb Corp,31.12%,CINF,Cincinnati Financial,64.99%,ALK,Alaska Air Group Inc,45.93%,TRV,The Travelers Companies Inc.,147.87%,HPQ,HP Inc.,-32.96%,GS,Goldman Sachs Group,-43.69%,PBI,Pitney Bowes Inc,-13.39%,DWDP,DowDuPont,11.81%,CA,"CA, Inc.",24.97%,AIZ,Assurant Inc,17.74%,CSCO,Cisco Systems,77.35%,S,Sprint Nextel Corp.,43.25%,SNPS,Synopsys Inc.,248.89%,AVGO,Broadcom,11.71%,WY,Weyerhaeuser Corp.
291,65.68%,KIM,Kimco Realty,34.69%,HP,Helmerich & Payne,16.09%,DTE,DTE Energy,8.37%,MSI,Motorola Solutions Inc.,11.03%,AVP,Avon Products,-3.65%,NYT,The New York Times Co.,13.77%,NRG,NRG Energy,31.04%,APD,Air Products & Chemicals Inc,64.48%,HCP,HCP Inc.,45.51%,KEY,KeyCorp,139.89%,HP,Helmerich & Payne,-33.17%,HUM,Humana Inc.,-43.91%,STZ,Constellation Brands,-14.03%,KLAC,KLA-Tencor Corp.,11.09%,WM,Waste Management Inc.,24.97%,ESRX,Express Scripts,17.58%,ESV,Ensco plc,77.24%,ARNC,Arconic Inc,43.22%,SPG,Simon Property Group Inc,243.33%,EA,Electronic Arts,11.27%,KMB,Kimberly-Clark
292,65.52%,ESRX,Express Scripts,34.57%,PPG,PPG Industries,15.74%,KIM,Kimco Realty,8.25%,DWDP,DowDuPont,10.87%,OKE,ONEOK,-4.04%,EMR,Emerson Electric Company,13.68%,LKQ,LKQ Corporation,30.83%,FHN,First Horizon,64.07%,INTC,Intel Corp.,45.43%,RDC,Rowan Companies Plc,136.48%,EQIX,Equinix,-33.21%,EMN,Eastman Chemical,-44.73%,AIZ,Assurant Inc,-14.10%,GOOG,Alphabet Inc Class C,10.25%,SWN,Southwestern Energy,24.24%,AFL,AFLAC Inc,16.55%,OI,Owens-Illinois,76.92%,EW,Edwards Lifesciences,43.22%,MKC,McCormick & Co.,176.29%,SAIC,SAIC,10.91%,TWX,Time Warner Inc.
293,65.35%,DXC,DXC Technology,34.34%,AEP,American Electric Power,14.17%,URI,"United Rentals, Inc.",7.88%,AEP,American Electric Power,10.84%,CINF,Cincinnati Financial,-4.27%,MRO,Marathon Oil Corp.,13.62%,AMAT,Applied Materials Inc,30.70%,CVX,Chevron Corp.,64.06%,VFC,V.F. Corp.,45.27%,PNW,Pinnacle West Capital,133.15%,DVN,Devon Energy,-33.86%,LOW,Lowe's Cos.,-44.96%,UAA,Under Armour,-14.10%,GOOGL,Alphabet Inc Class A,10.09%,JPM,JPMorgan Chase & Co.,23.85%,RTN,Raytheon Co.,15.06%,PEG,Public Serv. Enterprise Inc.,76.22%,CSX,CSX Corp.,43.19%,ADM,Archer-Daniels-Midland Co,170.76%,LUV,Southwest Airlines,10.88%,BMS,Bemis Company
294,65.03%,ETR,Entergy Corp.,34.02%,SCG,SCANA Corp,13.79%,KO,Coca-Cola Company,7.58%,EW,Edwards Lifesciences,9.99%,PNW,Pinnacle West Capital,-5.07%,UPS,United Parcel Service,12.97%,CINF,Cincinnati Financial,30.50%,SEE,Sealed Air,64.02%,PFG,Principal Financial Group,45.07%,FOXA,Twenty-First Century Fox Class A,130.15%,NE,Noble Corp,-34.24%,ALL,Allstate Corp,-45.08%,DAL,Delta Air Lines,-14.14%,COP,ConocoPhillips,8.79%,PWR,Quanta Services Inc.,23.72%,HAS,Hasbro Inc.,15.05%,AVB,"AvalonBay Communities, Inc.",75.97%,AIV,Apartment Investment & Management,43.18%,ADI,"Analog Devices, Inc.",128.91%,MLM,Martin Marietta Materials,10.84%,PNR,Pentair Ltd.
295,64.81%,SPG,Simon Property Group Inc,33.77%,TRV,The Travelers Companies Inc.,13.73%,DE,Deere & Co.,6.90%,MAS,Masco Corp.,9.92%,ISRG,Intuitive Surgical Inc.,-5.56%,PH,Parker-Hannifin,12.73%,FOX,Twenty-First Century Fox Class B,29.14%,TGT,Target Corp.,63.50%,TIF,Tiffany & Co.,44.95%,HSIC,Henry Schein,129.80%,SCHW,Charles Schwab Corporation,-34.62%,PBI,Pitney Bowes Inc,-46.15%,SPGI,"S&P Global, Inc.",-14.35%,NBR,Nabors Industries,8.42%,FE,FirstEnergy Corp,23.38%,PEP,PepsiCo Inc.,14.81%,NWS,News Corp. Class B,75.42%,AMT,American Tower Corp A,42.88%,PEG,Public Serv. Enterprise Inc.,128.06%,EQIX,Equinix,9.89%,PG,Procter & Gamble
296,64.50%,COP,ConocoPhillips,33.44%,XRAY,Dentsply Sirona,13.71%,HSY,The Hershey Company,6.86%,CMA,Comerica Inc.,9.68%,MRO,Marathon Oil Corp.,-5.93%,C,Citigroup Inc.,12.40%,ALL,Allstate Corp,29.11%,ESV,Ensco plc,63.37%,EW,Edwards Lifesciences,44.90%,PNR,Pentair Ltd.,128.51%,WMB,Williams Cos.,-34.65%,CCI,Crown Castle International Corp.,-46.66%,MAS,Masco Corp.,-14.57%,GD,General Dynamics,7.27%,LMT,Lockheed Martin Corp.,22.49%,BAX,Baxter International Inc.,14.06%,PCAR,PACCAR Inc.,75.15%,HOG,Harley-Davidson,42.74%,LH,Laboratory Corp. of America Holding,123.37%,UNH,United Health Group Inc.,9.66%,AXP,American Express Co
297,64.40%,PPG,PPG Industries,32.57%,GPC,Genuine Parts,13.67%,ALB,Albemarle Corp,6.50%,FMC,FMC Corporation,9.57%,FOSL,Fossil Group,-6.50%,FTI,TechnipFMC,12.30%,PPL,PPL Corp.,28.87%,BBT,BB&T Corporation,63.14%,AMGN,Amgen Inc,44.74%,ALK,Alaska Air Group Inc,126.89%,CSX,CSX Corp.,-34.93%,TGT,Target Corp.,-47.07%,DFS,Discover Financial Services,-15.09%,ATVI,Activision Blizzard,6.87%,AON,Aon plc,21.79%,MON,Monsanto Co.,13.98%,HCP,HCP Inc.,74.92%,USB,U.S. Bancorp,42.66%,FITB,Fifth Third Bancorp,113.78%,VMC,Vulcan Materials,8.81%,CBS,CBS Corp.
298,62.88%,CSX,CSX Corp.,32.44%,ALB,Albemarle Corp,12.93%,HAS,Hasbro Inc.,6.09%,STZ,Constellation Brands,9.38%,AMD,Advanced Micro Devices,-6.70%,STX,Seagate Technology,11.78%,CVX,Chevron Corp.,28.67%,RE,Everest Re,62.43%,ZBH,Zimmer Biomet Holdings,44.68%,BBY,Best Buy Co. Inc.,121.97%,ALB,Albemarle Corp,-34.95%,CCE,Coca-Cola Enterprises,-47.79%,REG,Regency Centers Corporation,-15.38%,DAL,Delta Air Lines,6.39%,XYL,Xylem Inc.,21.37%,MMM,3M Company,12.59%,TGT,Target Corp.,74.73%,WM,Waste Management Inc.,42.61%,SYY,Sysco Corp.,113.17%,AYI,Acuity Brands Inc,8.61%,LVLT,Level 3 Communications
299,62.85%,DTE,DTE Energy,31.87%,XEL,Xcel Energy Inc,12.84%,PX,Praxair Inc.,6.02%,TGNA,"Tegna, Inc.",9.31%,MDLZ,Mondelez International,-7.18%,XOM,Exxon Mobil Corp.,11.46%,IBM,International Business Machines,28.65%,RTN,Raytheon Co.,62.42%,ACN,Accenture plc,44.50%,HON,Honeywell Int'l Inc.,121.79%,MTD,Mettler Toledo,-35.15%,OMC,Omnicom Group,-48.41%,ANF,Abercrombie & Fitch,-15.42%,BRK.B,Berkshire Hathaway,6.31%,KMI,Kinder Morgan,21.36%,KMI,Kinder Morgan,10.88%,GM,General Motors,74.73%,AIZ,Assurant Inc,42.53%,MRK,Merck & Co.,110.53%,CHTR,Charter Communications,8.46%,K,Kellogg Co.
300,62.20%,AET,Aetna Inc,31.68%,AJG,Arthur J. Gallagher & Co.,12.77%,IGT,International Game Technology,5.96%,APD,Air Products & Chemicals Inc,9.24%,TGNA,"Tegna, Inc.",-7.27%,MON,Monsanto Co.,10.77%,GIS,General Mills,28.64%,TJX,TJX Companies Inc.,59.81%,USB,U.S. Bancorp,43.80%,QCOM,QUALCOMM Inc.,119.77%,VRTX,Vertex Pharmaceuticals Inc,-35.46%,BBY,Best Buy Co. Inc.,-48.93%,ALL,Allstate Corp,-15.53%,AMG,Affiliated Managers Group Inc,6.09%,FII,Federated Investors,20.96%,APC,Anadarko Petroleum Corp,10.50%,C,Citigroup Inc.,74.53%,MTB,M&T Bank Corp.,42.39%,EIX,Edison Int'l,101.42%,LRCX,Lam Research,8.45%,ETR,Entergy Corp.
301,60.94%,KLAC,KLA-Tencor Corp.,31.56%,HAL,Halliburton Co.,12.38%,AMD,Advanced Micro Devices,5.66%,CAT,Caterpillar Inc.,8.88%,SNPS,Synopsys Inc.,-7.66%,TGNA,"Tegna, Inc.",10.59%,D,Dominion Energy,28.40%,FE,FirstEnergy Corp,59.74%,BLL,Ball Corp,43.59%,ACN,Accenture plc,119.04%,L,Loews Corp.,-36.14%,BA,Boeing Company,-50.11%,SHLD,Sears Holding Corporation,-15.95%,T,AT&T Inc,5.51%,ADM,Archer-Daniels-Midland Co,19.77%,C,Citigroup Inc.,10.28%,UDR,UDR Inc,74.30%,JNJ,Johnson & Johnson,42.28%,PFE,Pfizer Inc.,100.57%,DPS,Dr Pepper Snapple Group,8.43%,MRK,Merck & Co.
302,60.81%,NSC,Norfolk Southern Corp.,31.28%,PCG,PG&E Corp.,12.09%,MRO,Marathon Oil Corp.,4.50%,MAA,Mid-America Apartments,8.73%,FOXA,Twenty-First Century Fox Class A,-7.95%,NKE,Nike,10.50%,AVY,Avery Dennison Corp,28.28%,STI,SunTrust Banks,59.35%,EMR,Emerson Electric Company,43.54%,TMK,Torchmark Corp.,117.61%,MUR,Murphy Oil,-36.15%,PVH,PVH Corp.,-50.41%,AMD,Advanced Micro Devices,-16.15%,EBAY,eBay,5.46%,NYT,The New York Times Co.,17.78%,EXPD,Expeditors International,10.05%,IQV,IQVIA,74.17%,IRM,Iron Mountain Incorporated,42.19%,PNW,Pinnacle West Capital,98.61%,DHR,Danaher Corp.,8.30%,PCG,PG&E Corp.
