,1995-2006,ticker,company,1996-2007,ticker,company,1997-2008,ticker,company,1998-2009,ticker,company,1999-2010,ticker,company,2000-2011,ticker,company,2001-2012,ticker,company,2002-2013,ticker,company,2003-2014,ticker,company,2004-2015,ticker,company,2005-2016,ticker,company,2006-2017,ticker,company,2007-2018,ticker,company
273,287.97%,CDNS,Cadence Design Systems,252.91%,JPM,JPMorgan Chase & Co.,131.22%,NKE,Nike,40.41%,CTL,CenturyLink Inc,8.40%,KO,Coca-Cola Company,-8.99%,BK,The Bank of New York Mellon Corp.,109.10%,BBY,Best Buy Co. Inc.,130.67%,DRI,Darden Restaurants,255.59%,TRV,The Travelers Companies Inc.,215.80%,MKC,McCormick & Co.,133.30%,SNPS,Synopsys Inc.,-37.87%,PBI,Pitney Bowes Inc,98.11%,NTRS,Northern Trust Corp.
274,286.38%,DE,Deere & Co.,250.27%,NBL,Noble Energy Inc,129.83%,AON,Aon plc,40.31%,AMAT,Applied Materials Inc,7.79%,UAA,Under Armour,-9.73%,GHC,Graham Holdings,108.72%,MYL,Mylan N.V.,130.27%,APD,Air Products & Chemicals Inc,254.26%,L,Loews Corp.,212.07%,ATI,Allegheny Technologies,133.25%,SO,Southern Co.,-38.22%,SLM,SLM Corporation,95.70%,PG,Procter & Gamble
275,286.32%,AZO,AutoZone Inc,248.86%,RDC,Rowan Companies Plc,129.56%,CAH,Cardinal Health,40.26%,PKG,Packaging Corporation of America,7.55%,MSFT,Microsoft Corp.,-10.48%,CTAS,Cintas Corporation,108.28%,FL,Foot Locker Inc,130.08%,FBHS,Fortune Brands Home & Security,253.88%,JEC,Jacobs Engineering Group,211.51%,LLL,L-3 Communications Holdings,132.39%,AIV,Apartment Investment & Management,-41.20%,BAC,Bank of America Corp,95.41%,PWR,Quanta Services Inc.
276,286.29%,MMM,3M Company,248.56%,PNC,PNC Financial Services,128.13%,ALL,Allstate Corp,39.94%,HOG,Harley-Davidson,7.40%,ANF,Abercrombie & Fitch,-10.84%,NWL,Newell Brands,107.67%,PPL,PPL Corp.,129.10%,CL,Colgate-Palmolive,253.22%,MAC,Macerich,211.04%,DG,Dollar General,131.35%,PH,Parker-Hannifin,-42.39%,NYT,The New York Times Co.,95.20%,IPG,Interpublic Group
277,284.47%,FFIV,F5 Networks,248.06%,APC,Anadarko Petroleum Corp,127.67%,HON,Honeywell Int'l Inc.,39.92%,HSY,The Hershey Company,7.33%,OI,Owens-Illinois,-13.94%,CBS,CBS Corp.,107.49%,RTN,Raytheon Co.,127.52%,ATI,Allegheny Technologies,251.07%,GT,Goodyear Tire & Rubber,210.33%,KORS,Michael Kors Holdings,131.06%,ETN,Eaton Corporation,-43.80%,NRG,NRG Energy,93.29%,MRK,Merck & Co.
278,283.65%,HSIC,Henry Schein,247.00%,D,Dominion Energy,127.22%,GPC,Genuine Parts,39.29%,TDG,TransDigm Group,5.95%,PM,Philip Morris International,-18.31%,CMS,CMS Energy,105.45%,SLB,Schlumberger Ltd.,126.99%,SYMC,Symantec Corp.,247.94%,CCE,Coca-Cola Enterprises,209.84%,LEG,Leggett & Platt,130.04%,PEG,Public Serv. Enterprise Inc.,-47.29%,RDC,Rowan Companies Plc,93.18%,FOX,Twenty-First Century Fox Class B
279,278.75%,AON,Aon plc,245.40%,TXT,Textron Inc.,127.07%,KSU,Kansas City Southern,37.66%,TMK,Torchmark Corp.,3.86%,ALL,Allstate Corp,-19.37%,SNPS,Synopsys Inc.,103.87%,IR,Ingersoll-Rand PLC,126.35%,ITW,Illinois Tool Works,247.86%,FISV,Fiserv Inc,208.91%,DO,Diamond Offshore Drilling,129.95%,XRAY,Dentsply Sirona,-51.31%,THC,Tenet Healthcare,92.86%,FII,Federated Investors
280,278.56%,D,Dominion Energy,240.40%,AVY,Avery Dennison Corp,126.48%,AEE,Ameren Corp,37.41%,ITW,Illinois Tool Works,3.18%,CSCO,Cisco Systems,-19.40%,BAC,Bank of America Corp,103.58%,PRU,Prudential Financial,126.07%,PG,Procter & Gamble,245.54%,NOC,Northrop Grumman Corp.,206.24%,RSG,Republic Services Inc,129.76%,LLY,Lilly (Eli) & Co.,-51.57%,PHM,Pulte Homes Inc.,92.55%,AXP,American Express Co
281,275.98%,BAX,Baxter International Inc.,238.55%,AIG,"American International Group, Inc.",126.33%,WHR,Whirlpool Corp.,35.95%,EFX,Equifax Inc.,1.15%,AKS,AK Steel Holding Corp.,-22.58%,PBI,Pitney Bowes Inc,99.36%,NOC,Northrop Grumman Corp.,124.83%,WAT,Waters Corporation,245.45%,LMT,Lockheed Martin Corp.,205.64%,UTX,United Technologies,128.43%,NUE,Nucor Corp.,-55.47%,NBR,Nabors Industries,92.32%,MTB,M&T Bank Corp.
282,274.23%,IVZ,Invesco Ltd.,238.13%,AOS,A.O. Smith,122.28%,ZBH,Zimmer Biomet Holdings,35.82%,ZBH,Zimmer Biomet Holdings,0.86%,JBL,Jabil Circuit,-23.07%,DWDP,DowDuPont,98.56%,FISV,Fiserv Inc,124.76%,ENDP,Endo International plc,245.02%,AVGO,Broadcom,203.94%,SCHW,Charles Schwab Corporation,127.75%,MMC,Marsh & McLennan,-57.37%,CLF,Cliffs Natural Resources,92.29%,T,AT&T Inc
283,274.00%,WMB,Williams Cos.,237.45%,LNC,Lincoln National,118.05%,ZION,Zions Bancorp,35.23%,CCI,Crown Castle International Corp.,0.16%,VZ,Verizon Communications,-23.94%,PFE,Pfizer Inc.,98.35%,V,Visa Inc.,124.67%,NE,Noble Corp,244.85%,A,Agilent Technologies Inc,203.67%,KMB,Kimberly-Clark,127.39%,GT,Goodyear Tire & Rubber,-59.50%,S,Sprint Nextel Corp.,91.63%,AEE,Ameren Corp
284,271.09%,MTD,Mettler Toledo,235.60%,LRCX,Lam Research,117.71%,ENDP,Endo International plc,33.58%,EL,Estee Lauder Cos.,-0.41%,CTL,CenturyLink Inc,-24.86%,UAL,United Continental Holdings,98.12%,TSN,Tyson Foods,124.29%,PLD,Prologis,244.21%,EQR,Equity Residential,202.51%,WYN,Wyndham Worldwide,126.04%,JPM,JPMorgan Chase & Co.,-74.76%,ESV,Ensco plc,87.61%,CFG,Citizens Financial Group
285,270.43%,UDR,UDR Inc,234.81%,LUV,Southwest Airlines,117.58%,OI,Owens-Illinois,33.23%,HD,Home Depot,-0.87%,SNI,Scripps Networks Interactive Inc.,-26.30%,TXN,Texas Instruments,97.67%,TMK,Torchmark Corp.,122.20%,EQIX,Equinix,242.85%,AXP,American Express Co,201.51%,CTXS,Citrix Systems,125.46%,CBS,CBS Corp.,-76.37%,AVP,Avon Products,87.46%,WBA,Walgreens Boots Alliance
286,269.39%,PBI,Pitney Bowes Inc,233.06%,DE,Deere & Co.,117.42%,WY,Weyerhaeuser Corp.,33.00%,ILMN,Illumina Inc,-1.32%,DG,Dollar General,-27.69%,CMCSA,Comcast Corp.,97.52%,SPGI,"S&P Global, Inc.",122.15%,M,Macy's Inc.,241.27%,APA,Apache Corporation,201.16%,BAX,Baxter International Inc.,125.39%,PAYX,Paychex Inc.,-82.19%,SVU,Supervalu Inc.,86.83%,WY,Weyerhaeuser Corp.
287,268.93%,VRTX,Vertex Pharmaceuticals Inc,229.99%,FLR,Fluor Corp.,116.54%,MYL,Mylan N.V.,31.20%,LM,Legg Mason,-5.79%,CAH,Cardinal Health,-28.00%,GNW,Genworth Financial,97.20%,LLL,L-3 Communications Holdings,121.69%,USB,U.S. Bancorp,241.12%,TXN,Texas Instruments,200.95%,DISH,Dish Network,124.86%,BRK.B,Berkshire Hathaway,-83.09%,JCP,J.C. Penney,86.35%,ARE,Alexandria Real Estate Equities Inc
288,267.13%,CVX,Chevron Corp.,229.97%,HST,Host Hotels & Resorts,113.39%,DOV,Dover Corp.,30.22%,MDT,Medtronic plc,-7.45%,SEE,Sealed Air,-30.91%,MAS,Masco Corp.,97.00%,ITW,Illinois Tool Works,120.70%,ZBH,Zimmer Biomet Holdings,240.95%,SPGI,"S&P Global, Inc.",200.23%,TMK,Torchmark Corp.,124.75%,CINF,Cincinnati Financial,-85.62%,LIFE,Life Technologies,85.48%,DWDP,DowDuPont
289,266.98%,SVU,Supervalu Inc.,227.25%,BMS,Bemis Company,111.15%,FOX,Twenty-First Century Fox Class B,29.39%,RTN,Raytheon Co.,-8.51%,DWDP,DowDuPont,-31.79%,BMY,Bristol-Myers Squibb,96.46%,KIM,Kimco Realty,120.43%,TMK,Torchmark Corp.,239.61%,APD,Air Products & Chemicals Inc,200.02%,CMCSA,Comcast Corp.,124.47%,UNM,Unum Group,-85.70%,ODP,Office Depot Inc.,84.93%,BMS,Bemis Company
290,266.17%,CTAS,Cintas Corporation,227.08%,CTL,CenturyLink Inc,110.43%,R,Ryder Systems Inc.,29.21%,GS,Goldman Sachs Group,-9.92%,IT,Gartner Inc,-32.98%,DFS,Discover Financial Services,96.14%,DHI,D. R. Horton,120.29%,TRV,The Travelers Companies Inc.,237.09%,TSN,Tyson Foods,198.01%,IR,Ingersoll-Rand PLC,123.70%,VNO,Vornado Realty Trust,-93.81%,AIG,"American International Group, Inc.",84.28%,AMG,Affiliated Managers Group Inc
291,265.49%,NEE,NextEra Energy,225.15%,XL,XL Capital,110.42%,PNW,Pinnacle West Capital,27.73%,MMC,Marsh & McLennan,-10.78%,TSS,Total System Services,-34.71%,SVU,Supervalu Inc.,94.39%,LEG,Leggett & Platt,120.15%,DOV,Dover Corp.,236.25%,HBI,Hanesbrands Inc,197.95%,SBR,Sabre Holdings,123.65%,JNJ,Johnson & Johnson,nan%,BHF,Brighthouse Financial Inc,83.62%,SEE,Sealed Air
292,262.46%,SWK,Stanley Black & Decker,223.93%,APD,Air Products & Chemicals Inc,109.52%,VZ,Verizon Communications,27.34%,AIZ,Assurant Inc,-13.14%,WM,Waste Management Inc.,-37.82%,KSU,Kansas City Southern,88.79%,EXC,Exelon Corp.,119.04%,DHI,D. R. Horton,235.50%,KORS,Michael Kors Holdings,197.85%,RHI,Robert Half International,122.43%,AAL,American Airlines Group,1430.73%,ALGN,Align Technology,82.54%,OMC,Omnicom Group
293,262.46%,M,Macy's Inc.,223.32%,HES,Hess Corporation,109.43%,JPM,JPMorgan Chase & Co.,27.08%,PNC,PNC Financial Services,-14.12%,GHC,Graham Holdings,-38.23%,QCOM,QUALCOMM Inc.,88.33%,PM,Philip Morris International,118.47%,PGR,Progressive Corp.,235.13%,JPM,JPMorgan Chase & Co.,195.21%,HCA,HCA Holdings,121.86%,OMC,Omnicom Group,1123.94%,CF,CF Industries Holdings Inc,82.38%,CMA,Comerica Inc.
294,261.33%,LB,L Brands Inc.,221.96%,KEY,KeyCorp,103.55%,PFE,Pfizer Inc.,26.05%,BBT,BB&T Corporation,-14.15%,M,Macy's Inc.,-38.29%,HD,Home Depot,88.26%,NRG,NRG Energy,118.17%,NSM,National Semiconductor Corp.,234.78%,RE,Everest Re,195.06%,UDR,UDR Inc,121.31%,PNC,PNC Financial Services,1103.73%,AVGO,Broadcom,82.12%,CA,"CA, Inc."
295,258.28%,DOV,Dover Corp.,220.50%,STI,SunTrust Banks,102.07%,AEP,American Electric Power,24.87%,JPM,JPMorgan Chase & Co.,-14.27%,MCK,McKesson Corp.,-38.46%,KEY,KeyCorp,85.74%,BIIB,Biogen Inc.,117.83%,CHTR,Charter Communications,234.52%,DRI,Darden Restaurants,194.43%,PEG,Public Serv. Enterprise Inc.,121.18%,PPL,PPL Corp.,903.65%,ROST,Ross Stores,77.97%,K,Kellogg Co.
296,257.87%,NOC,Northrop Grumman Corp.,218.66%,CMA,Comerica Inc.,96.78%,GLW,Corning Inc.,24.56%,SNA,Snap-On Inc.,-15.99%,BK,The Bank of New York Mellon Corp.,-39.30%,JBL,Jabil Circuit,85.05%,DOV,Dover Corp.,116.85%,GD,General Dynamics,233.51%,INTU,Intuit,193.60%,CNX,Consol Energy,121.15%,DOV,Dover Corp.,876.80%,EQIX,Equinix,76.84%,PRU,Prudential Financial
297,256.78%,GHC,Graham Holdings,217.71%,LH,Laboratory Corp. of America Holding,96.45%,RSG,Republic Services Inc,22.62%,PNW,Pinnacle West Capital,-16.55%,HD,Home Depot,-40.29%,MSFT,Microsoft Corp.,85.02%,AIZ,Assurant Inc,116.51%,FIS,Fidelity National Information Services,231.91%,JNPR,Juniper Networks,192.62%,CLX,The Clorox Company,119.48%,CBOE,CBOE Holdings,864.15%,AYI,Acuity Brands Inc,75.31%,DNB,Dun & Bradstreet
298,254.15%,BA,Boeing Company,217.50%,GPS,Gap Inc.,93.48%,BA,Boeing Company,22.43%,IR,Ingersoll-Rand PLC,-17.70%,RCL,Royal Caribbean Cruises Ltd,-41.22%,XL,XL Capital,84.81%,CL,Colgate-Palmolive,115.68%,MAR,Marriott Int'l.,231.32%,SWKS,Skyworks Solutions,192.42%,PNW,Pinnacle West Capital,118.07%,VZ,Verizon Communications,856.78%,DLTR,Dollar Tree,72.90%,ALLE,Allegion
299,253.40%,TSS,Total System Services,217.35%,DLR,Digital Realty,92.02%,AVY,Avery Dennison Corp,19.82%,LUV,Southwest Airlines,-18.12%,CPB,Campbell Soup,-43.46%,AMD,Advanced Micro Devices,84.19%,PLD,Prologis,115.06%,HST,Host Hotels & Resorts,229.65%,ITW,Illinois Tool Works,192.29%,PKI,PerkinElmer,117.14%,MMI,Motorola Mobility,833.12%,AOS,A.O. Smith,72.74%,CCL,Carnival Corp.
300,251.81%,ADP,Automatic Data Processing,216.03%,BRK.B,Berkshire Hathaway,91.86%,GRA,W.R. Grace,18.72%,SIG,Signet Jewelers,-20.34%,SLM,SLM Corporation,-44.80%,INCY,Incyte,83.41%,PDCO,Patterson Companies,114.83%,AXP,American Express Co,227.30%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,192.02%,LH,Laboratory Corp. of America Holding,116.75%,IR,Ingersoll-Rand PLC,757.55%,CMG,Chipotle Mexican Grill,72.02%,RHI,Robert Half International
301,251.56%,MCK,McKesson Corp.,213.14%,HAL,Halliburton Co.,91.65%,PBI,Pitney Bowes Inc,18.68%,PFG,Principal Financial Group,-21.90%,ALK,Alaska Air Group Inc,-45.56%,GPS,Gap Inc.,82.65%,DGX,Quest Diagnostics,114.27%,LH,Laboratory Corp. of America Holding,226.93%,SHLD,Sears Holding Corporation,190.16%,XOM,Exxon Mobil Corp.,115.91%,SYK,Stryker Corp.,722.63%,CHTR,Charter Communications,71.56%,HAL,Halliburton Co.
302,251.48%,HRB,Block H&R,213.08%,ABT,Abbott Laboratories,91.59%,KMB,Kimberly-Clark,18.52%,MYL,Mylan N.V.,-21.98%,BAC,Bank of America Corp,-46.40%,RF,Regions Financial Corp.,81.08%,AVGO,Broadcom,113.89%,SWK,Stanley Black & Decker,226.79%,EFX,Equifax Inc.,189.82%,ABT,Abbott Laboratories,114.98%,MAT,Mattel Inc.,699.77%,CRM,Salesforce.com,70.46%,CPB,Campbell Soup
303,249.77%,GRMN,Garmin Ltd.,211.86%,PRU,Prudential Financial,87.43%,TDG,TransDigm Group,18.47%,KLAC,KLA-Tencor Corp.,-22.12%,JCP,J.C. Penney,-48.13%,AAL,American Airlines Group,80.99%,DG,Dollar General,112.91%,OI,Owens-Illinois,226.53%,KMB,Kimberly-Clark,189.01%,ITW,Illinois Tool Works,114.70%,RCL,Royal Caribbean Cruises Ltd,652.54%,MTD,Mettler Toledo,70.38%,BBY,Best Buy Co. Inc.
304,246.00%,ALB,Albemarle Corp,210.99%,XLNX,Xilinx Inc,87.04%,FTR,Frontier Communications,18.26%,VZ,Verizon Communications,-25.06%,A,Agilent Technologies Inc,-49.24%,DISH,Dish Network,80.25%,TMO,Thermo Fisher Scientific,112.58%,AWK,American Water Works Company Inc,225.93%,RCL,Royal Caribbean Cruises Ltd,188.89%,SCG,SCANA Corp,111.36%,BMS,Bemis Company,634.17%,CMI,Cummins Inc.,69.53%,BXP,Boston Properties
305,245.58%,LMT,Lockheed Martin Corp.,209.90%,DOV,Dover Corp.,86.98%,KMX,Carmax Inc,17.84%,BK,The Bank of New York Mellon Corp.,-28.72%,KR,Kroger Co.,-49.94%,ZION,Zions Bancorp,79.80%,PNW,Pinnacle West Capital,112.41%,PNW,Pinnacle West Capital,223.62%,EBAY,eBay,187.74%,LOW,Lowe's Cos.,111.32%,CAG,Conagra Brands,613.52%,CELG,Celgene Corp.,68.55%,HRB,Block H&R
306,245.54%,CCE,Coca-Cola Enterprises,209.86%,SBAC,SBA Communications,85.88%,SNA,Snap-On Inc.,17.34%,T,AT&T Inc,-30.54%,VIAB,Viacom Inc.,-50.91%,ODP,Office Depot Inc.,79.50%,ZBH,Zimmer Biomet Holdings,112.35%,BIIB,Biogen Inc.,222.33%,FOX,Twenty-First Century Fox Class B,185.45%,CAT,Caterpillar Inc.,109.98%,LLL,L-3 Communications Holdings,596.64%,UAA,Under Armour,68.55%,STT,State Street Corp.
307,243.53%,VRSN,Verisign Inc.,208.78%,NFLX,Netflix Inc.,84.03%,TSS,Total System Services,15.37%,LB,L Brands Inc.,-32.92%,TEL,TE Connectivity Ltd.,-51.21%,GE,General Electric,78.29%,DISH,Dish Network,112.27%,FOXA,Twenty-First Century Fox Class A,217.71%,CL,Colgate-Palmolive,184.93%,BIG,Big Lots Inc.,109.84%,HSY,The Hershey Company,583.91%,V,Visa Inc.,68.24%,SCG,SCANA Corp
308,243.09%,NBL,Noble Energy Inc,208.52%,CINF,Cincinnati Financial,84.00%,AES,AES Corp,13.78%,MOS,The Mosaic Company,-33.24%,AMD,Advanced Micro Devices,-51.79%,GT,Goodyear Tire & Rubber,77.71%,MMM,3M Company,111.98%,WFC,Wells Fargo,216.71%,TSS,Total System Services,183.98%,PCG,PG&E Corp.,108.12%,DFS,Discover Financial Services,581.12%,GRA,W.R. Grace,68.04%,PCG,PG&E Corp.
309,242.92%,CMCSA,Comcast Corp.,208.01%,RF,Regions Financial Corp.,83.52%,CTAS,Cintas Corporation,13.55%,AEP,American Electric Power,-33.55%,CCE,Coca-Cola Enterprises,-51.97%,HBAN,Huntington Bancshares,76.23%,AWK,American Water Works Company Inc,111.04%,TIF,Tiffany & Co.,215.51%,PEG,Public Serv. Enterprise Inc.,179.74%,TIF,Tiffany & Co.,107.55%,MHK,Mohawk Industries,564.40%,AGN,"Allergan, Inc",67.44%,GRMN,Garmin Ltd.
310,240.04%,HPQ,HP Inc.,207.46%,BAX,Baxter International Inc.,82.82%,CNP,CenterPoint Energy,13.50%,XEL,Xcel Energy Inc,-33.96%,MAS,Masco Corp.,-52.70%,GLW,Corning Inc.,75.06%,X,United States Steel Corporation,110.87%,KORS,Michael Kors Holdings,213.91%,SWK,Stanley Black & Decker,179.28%,AAL,American Airlines Group,107.31%,VMC,Vulcan Materials,547.14%,LKQ,LKQ Corporation,67.19%,PLD,Prologis
311,239.86%,ED,Consolidated Edison,206.98%,MMM,3M Company,81.62%,LLY,Lilly (Eli) & Co.,11.96%,CNP,CenterPoint Energy,-34.41%,CMA,Comerica Inc.,-53.36%,ARNC,Arconic Inc,74.83%,CCI,Crown Castle International Corp.,110.49%,GIS,General Mills,213.27%,VAR,Varian Medical Systems,179.27%,MLM,Martin Marietta Materials,106.94%,COP,ConocoPhillips,537.51%,UNP,Union Pacific,66.09%,JEC,Jacobs Engineering Group
312,239.04%,SHW,Sherwin-Williams,204.84%,SVU,Supervalu Inc.,81.51%,CMA,Comerica Inc.,11.59%,IVZ,Invesco Ltd.,-35.27%,WYN,Wyndham Worldwide,-56.78%,RHT,Red Hat Inc.,73.88%,AON,Aon plc,107.23%,LEN,Lennar Corp.,211.63%,AIZ,Assurant Inc,176.78%,JNJ,Johnson & Johnson,106.57%,IRM,Iron Mountain Incorporated,519.81%,ADS,Alliance Data Systems,65.52%,AIV,Apartment Investment & Management
313,238.24%,PLD,Prologis,204.73%,BHGE,"Baker Hughes, a GE Company",80.64%,RDC,Rowan Companies Plc,10.14%,RHI,Robert Half International,-36.56%,TXT,Textron Inc.,-57.28%,THC,Tenet Healthcare,73.40%,TGT,Target Corp.,106.86%,ANF,Abercrombie & Fitch,209.75%,ANTM,Anthem Inc.,175.64%,AMGN,Amgen Inc,105.36%,SEE,Sealed Air,516.27%,CHD,Church & Dwight,65.42%,CSCO,Cisco Systems
314,237.71%,AES,AES Corp,203.45%,ADP,Automatic Data Processing,76.45%,XEL,Xcel Energy Inc,9.72%,CCL,Carnival Corp.,-37.72%,GPS,Gap Inc.,-62.23%,CSCO,Cisco Systems,72.30%,QCOM,QUALCOMM Inc.,106.86%,KMB,Kimberly-Clark,208.94%,BAX,Baxter International Inc.,175.20%,L,Loews Corp.,102.94%,EQT,EQT Corporation,506.72%,BIIB,Biogen Inc.,65.22%,SYF,Synchrony Financial
315,237.67%,BHGE,"Baker Hughes, a GE Company",200.61%,GS,Goldman Sachs Group,76.12%,XL,XL Capital,8.64%,EXR,Extra Space Storage,-37.81%,GNW,Genworth Financial,-62.99%,CA,"CA, Inc.",72.16%,USB,U.S. Bancorp,106.51%,PM,Philip Morris International,208.62%,IFF,Intl Flavors & Fragrances,172.85%,DNB,Dun & Bradstreet,102.57%,ADM,Archer-Daniels-Midland Co,501.87%,TSCO,Tractor Supply Company,63.69%,WLTW,Willis Towers Watson
316,236.98%,ARNC,Arconic Inc,200.46%,PFE,Pfizer Inc.,75.70%,CCE,Coca-Cola Enterprises,7.69%,DOV,Dover Corp.,-38.89%,SVU,Supervalu Inc.,-65.58%,CDNS,Cadence Design Systems,69.91%,IGT,International Game Technology,106.05%,LLL,L-3 Communications Holdings,206.03%,NRG,NRG Energy,172.30%,PRU,Prudential Financial,102.45%,DNB,Dun & Bradstreet,451.48%,DHR,Danaher Corp.,63.58%,BBT,BB&T Corporation
317,235.36%,HBAN,Huntington Bancshares,200.27%,X,United States Steel Corporation,74.96%,FITB,Fifth Third Bancorp,7.36%,CAH,Cardinal Health,-39.02%,BMY,Bristol-Myers Squibb,-67.41%,AES,AES Corp,69.51%,PEP,PepsiCo Inc.,105.02%,KO,Coca-Cola Company,205.64%,RHI,Robert Half International,171.99%,TRIP,TripAdvisor,102.34%,PBCT,People's United Financial,447.64%,ISRG,Intuitive Surgical Inc.,63.03%,NLSN,Nielsen Holdings
318,233.69%,HST,Host Hotels & Resorts,197.90%,PFG,Principal Financial Group,72.61%,UAA,Under Armour,6.00%,HON,Honeywell Int'l Inc.,-39.10%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,-75.44%,TGNA,"Tegna, Inc.",69.45%,XRX,Xerox Corp.,104.67%,MMM,3M Company,205.17%,DHI,D. R. Horton,171.90%,FDX,FedEx Corporation,102.05%,XLNX,Xilinx Inc,438.38%,CSX,CSX Corp.,61.21%,CAH,Cardinal Health
319,233.28%,MET,MetLife Inc.,197.78%,NKE,Nike,71.75%,PPG,PPG Industries,4.22%,JWN,Nordstrom,-39.16%,CTAS,Cintas Corporation,-75.58%,NYT,The New York Times Co.,67.44%,JNJ,Johnson & Johnson,104.44%,KIM,Kimco Realty,203.92%,CLX,The Clorox Company,171.41%,NVDA,Nvidia Corporation,100.34%,TEL,TE Connectivity Ltd.,426.42%,EL,Estee Lauder Cos.,59.24%,BK,The Bank of New York Mellon Corp.
320,231.35%,HRL,Hormel Foods Corp.,196.92%,GHC,Graham Holdings,71.48%,RF,Regions Financial Corp.,3.98%,BA,Boeing Company,-39.72%,GE,General Electric,-76.96%,MSI,Motorola Solutions Inc.,67.01%,STX,Seagate Technology,102.19%,SYK,Stryker Corp.,202.62%,GD,General Dynamics,171.20%,SO,Southern Co.,99.37%,ADI,"Analog Devices, Inc.",397.66%,ACN,Accenture plc,58.73%,ALTR,Altera Corp
321,231.30%,HES,Hess Corporation,195.00%,SRE,Sempra Energy,70.93%,HAS,Hasbro Inc.,3.86%,MDLZ,Mondelez International,-40.48%,PFE,Pfizer Inc.,-78.73%,TER,Teradyne,66.94%,XEL,Xcel Energy Inc,102.07%,AVGO,Broadcom,201.75%,TRIP,TripAdvisor,171.06%,LUV,Southwest Airlines,97.59%,XOM,Exxon Mobil Corp.,396.87%,ALB,Albemarle Corp,58.11%,JNPR,Juniper Networks
322,230.14%,LEG,Leggett & Platt,192.88%,INTC,Intel Corp.,64.31%,DISCA,Discovery Communications,3.61%,SNPS,Synopsys Inc.,-43.81%,AES,AES Corp,-79.47%,MU,Micron Technology,66.67%,ABT,Abbott Laboratories,100.53%,URI,"United Rentals, Inc.",201.67%,LOW,Lowe's Cos.,170.59%,DOV,Dover Corp.,97.25%,HAL,Halliburton Co.,391.41%,DXC,DXC Technology,57.56%,ADM,Archer-Daniels-Midland Co
323,226.37%,YUM,Yum! Brands Inc,191.75%,ODP,Office Depot Inc.,62.54%,TMO,Thermo Fisher Scientific,3.33%,AWK,American Water Works Company Inc,-44.54%,CA,"CA, Inc.",-81.51%,TWX,Time Warner Inc.,66.53%,AMT,American Tower Corp A,98.81%,TAP,Molson Coors Brewing Company,201.35%,RSG,Republic Services Inc,170.23%,RCL,Royal Caribbean Cruises Ltd,96.86%,REG,Regency Centers Corporation,387.61%,JBHT,J. B. Hunt Transport Services,57.25%,NTAP,NetApp
324,225.73%,PNW,Pinnacle West Capital,191.20%,LKQ,LKQ Corporation,61.38%,RTN,Raytheon Co.,3.26%,PPG,PPG Industries,-45.08%,DAL,Delta Air Lines,-83.92%,C,Citigroup Inc.,65.72%,MAR,Marriott Int'l.,98.37%,WMB,Williams Cos.,198.72%,CBS,CBS Corp.,170.00%,GRMN,Garmin Ltd.,95.86%,NLSN,Nielsen Holdings,386.52%,FISV,Fiserv Inc,56.45%,EQT,EQT Corporation
325,225.60%,APD,Air Products & Chemicals Inc,190.96%,NRG,NRG Energy,60.95%,M,Macy's Inc.,3.07%,SWKS,Skyworks Solutions,-46.37%,LLY,Lilly (Eli) & Co.,-85.64%,AKAM,Akamai Technologies Inc,64.77%,EMR,Emerson Electric Company,97.49%,PRU,Prudential Financial,197.90%,EXPD,Expeditors International,168.23%,PEP,PepsiCo Inc.,95.66%,PG,Procter & Gamble,381.76%,UHS,"Universal Health Services, Inc.",56.13%,NUE,Nucor Corp.
326,223.10%,NFLX,Netflix Inc.,187.85%,HPQ,HP Inc.,59.77%,CXO,Concho Resources,1.27%,TSS,Total System Services,-47.07%,DFS,Discover Financial Services,-91.90%,S,Sprint Nextel Corp.,64.72%,UPS,United Parcel Service,93.97%,DG,Dollar General,197.53%,GPS,Gap Inc.,167.37%,UNM,Unum Group,95.64%,GS,Goldman Sachs Group,380.13%,TMO,Thermo Fisher Scientific,55.90%,VMC,Vulcan Materials
327,222.25%,MAS,Masco Corp.,187.85%,VRTX,Vertex Pharmaceuticals Inc,58.16%,DIS,The Walt Disney Company,-1.59%,FOXA,Twenty-First Century Fox Class A,-47.88%,NWL,Newell Brands,-93.66%,SUN,Sunoco Inc.,64.71%,NFX,Newfield Exploration Co,93.52%,FE,FirstEnergy Corp,197.13%,DVN,Devon Energy,166.70%,BRK.B,Berkshire Hathaway,94.22%,FLR,Fluor Corp.,379.67%,CMCSA,Comcast Corp.,53.36%,HPE,Hewlett Packard Enterprise
328,221.66%,ABT,Abbott Laboratories,187.25%,HRB,Block H&R,57.27%,NI,NiSource Inc.,-2.34%,LEN,Lennar Corp.,-49.17%,PBI,Pitney Bowes Inc,-95.74%,AIG,"American International Group, Inc.",64.65%,DPS,Dr Pepper Snapple Group,93.38%,NOC,Northrop Grumman Corp.,197.06%,MMM,3M Company,163.50%,PPL,PPL Corp.,93.95%,IPG,Interpublic Group,372.85%,YUM,Yum! Brands Inc,51.51%,BSX,Boston Scientific
