,1995-2006,ticker,company,1996-2007,ticker,company,1997-2008,ticker,company,1998-2009,ticker,company,1999-2010,ticker,company,2000-2011,ticker,company,2001-2012,ticker,company,2002-2013,ticker,company,2003-2014,ticker,company,2004-2015,ticker,company,2005-2016,ticker,company,2006-2017,ticker,company,2007-2018,ticker,company
34,1180.64%,BBY,Best Buy Co. Inc.,1118.06%,SWN,Southwestern Energy,957.60%,CHRW,C. H. Robinson Worldwide,480.32%,DNB,Dun & Bradstreet,782.83%,TSCO,Tractor Supply Company,752.68%,CF,CF Industries Holdings Inc,771.83%,SRCL,Stericycle Inc,794.10%,GILD,Gilead Sciences,1326.49%,CERN,Cerner,862.75%,MON,Monsanto Co.,712.54%,ABC,AmerisourceBergen Corp,298.59%,SBUX,Starbucks Corp.,594.57%,UNP,Union Pacific
35,1173.08%,SRCL,Stericycle Inc,1105.73%,VNO,Vornado Realty Trust,950.85%,LH,Laboratory Corp. of America Holding,480.21%,LLL,L-3 Communications Holdings,762.80%,MON,Monsanto Co.,744.18%,PRGO,Perrigo,766.47%,SBR,Sabre Holdings,786.46%,DNR,Denbury Resources,1317.24%,MON,Monsanto Co.,859.11%,AMT,American Tower Corp A,712.52%,AZO,AutoZone Inc,291.46%,BMY,Bristol-Myers Squibb,581.16%,AGN,"Allergan, Inc"
36,1135.66%,PAYX,Paychex Inc.,1103.18%,COO,The Cooper Companies,941.25%,WAT,Waters Corporation,480.03%,ATVI,Activision Blizzard,749.66%,CME,CME Group Inc.,743.61%,AZO,AutoZone Inc,738.22%,YUM,Yum! Brands Inc,761.57%,HOLX,Hologic,1259.85%,PRGO,Perrigo,838.60%,FLS,Flowserve Corporation,706.30%,GOOGL,Alphabet Inc Class A,286.47%,HUM,Humana Inc.,558.56%,NOC,Northrop Grumman Corp.
37,1131.32%,NE,Noble Corp,1029.69%,BLK,BlackRock,941.20%,IGT,International Game Technology,479.04%,ALXN,Alexion Pharmaceuticals,708.75%,NOV,National Oilwell Varco Inc.,726.73%,PVH,PVH Corp.,735.21%,CELG,Celgene Corp.,756.88%,SPG,Simon Property Group Inc,1252.72%,WDC,Western Digital,824.94%,LB,L Brands Inc.,705.21%,DLTR,Dollar Tree,263.79%,GOOGL,Alphabet Inc Class A,555.89%,BIIB,Biogen Inc.
38,1100.22%,CB,Chubb Corp,1027.37%,WAT,Waters Corporation,941.17%,GRMN,Garmin Ltd.,472.75%,OXY,Occidental Petroleum,684.98%,EQT,EQT Corporation,726.59%,CME,CME Group Inc.,734.61%,AME,AMETEK Inc,753.12%,AME,AMETEK Inc,1183.49%,CRM,Salesforce.com,824.93%,BIIB,Biogen Inc.,692.38%,GOOG,Alphabet Inc Class C,259.85%,CAG,Conagra Brands,554.04%,ANSS,ANSYS
39,1095.93%,VAR,Varian Medical Systems,1019.53%,SHLD,Sears Holding Corporation,925.69%,SYK,Stryker Corp.,459.57%,VAR,Varian Medical Systems,655.98%,VTR,Ventas Inc,717.49%,ETN,Eaton Corporation,729.41%,PSA,Public Storage,731.44%,AMT,American Tower Corp A,1159.23%,URBN,Urban Outfitters,823.10%,SHW,Sherwin-Williams,684.52%,EQIX,Equinix,258.54%,CCI,Crown Castle International Corp.,531.18%,TSCO,Tractor Supply Company
40,1088.31%,GGP,General Growth Properties Inc.,1012.23%,ESRX,Express Scripts,913.37%,ANF,Abercrombie & Fitch,457.64%,FSLR,First Solar,638.30%,GPN,Global Payments Inc,699.93%,APA,Apache Corporation,727.34%,NFLX,Netflix Inc.,730.18%,AYI,Acuity Brands Inc,1139.46%,PVH,PVH Corp.,823.05%,CTSH,Cognizant Technology Solutions,677.45%,LB,L Brands Inc.,255.24%,DISCA,Discovery Communications,522.81%,CSX,CSX Corp.
41,1063.70%,C,Citigroup Inc.,956.37%,AAPL,Apple Inc.,869.13%,MGM,MGM Resorts International,444.17%,VTR,Ventas Inc,630.02%,ALXN,Alexion Pharmaceuticals,699.15%,BWA,BorgWarner,724.06%,MA,Mastercard Inc.,696.44%,FMC,FMC Corporation,1110.86%,CMG,Chipotle Mexican Grill,817.17%,VFC,V.F. Corp.,665.68%,EW,Edwards Lifesciences,246.56%,AON,Aon plc,519.06%,NKE,Nike
42,1062.24%,TROW,T. Rowe Price Group,954.13%,HOG,Harley-Davidson,868.46%,EQT,EQT Corporation,443.93%,CLF,Cliffs Natural Resources,612.20%,FFIV,F5 Networks,675.69%,ROST,Ross Stores,720.94%,COG,Cabot Oil & Gas,687.96%,DLR,Digital Realty,1105.26%,CLF,Cliffs Natural Resources,813.47%,SWN,Southwestern Energy,649.68%,ANDV,Andeavor,244.23%,EFX,Equifax Inc.,506.81%,CERN,Cerner
43,1058.06%,UNH,United Health Group Inc.,939.83%,APH,Amphenol Corp,864.88%,WYNN,Wynn Resorts,439.34%,CNX,Consol Energy,602.30%,EXPD,Expeditors International,667.44%,CRM,Salesforce.com,713.81%,EW,Edwards Lifesciences,655.93%,ADS,Alliance Data Systems,1093.37%,FTI,TechnipFMC,790.56%,ALK,Alaska Air Group Inc,635.69%,ATVI,Activision Blizzard,243.97%,FLIR,FLIR Systems,496.97%,LYB,LyondellBasell
44,1049.20%,CTXS,Citrix Systems,934.07%,FLIR,FLIR Systems,864.49%,LUK,Leucadia National Corp.,431.96%,BLL,Ball Corp,582.98%,BIIB,Biogen Inc.,661.87%,SPG,Simon Property Group Inc,707.46%,ADS,Alliance Data Systems,645.92%,RHT,Red Hat Inc.,1083.94%,JBHT,J. B. Hunt Transport Services,777.34%,RRC,Range Resources Corp.,633.12%,MO,Altria Group Inc,235.40%,VZ,Verizon Communications,492.98%,APH,Amphenol Corp
45,1046.81%,PCAR,PACCAR Inc.,925.65%,KSS,Kohl's,855.58%,NOV,National Oilwell Varco Inc.,428.81%,APA,Apache Corporation,564.16%,CMI,Cummins Inc.,648.76%,MON,Monsanto Co.,694.72%,FRT,Federal Realty Investment Trust,644.81%,ROST,Ross Stores,1083.32%,FMC,FMC Corporation,777.18%,KSU,Kansas City Southern,631.74%,GRA,W.R. Grace,227.39%,TSS,Total System Services,491.51%,HD,Home Depot
46,1043.40%,NBR,Nabors Industries,925.40%,COF,Capital One Financial,846.82%,EXC,Exelon Corp.,417.15%,CME,CME Group Inc.,560.38%,LRCX,Lam Research,645.64%,COG,Cabot Oil & Gas,667.59%,CMG,Chipotle Mexican Grill,632.93%,OXY,Occidental Petroleum,1069.69%,ESRX,Express Scripts,759.54%,DLR,Digital Realty,627.93%,IT,Gartner Inc,225.93%,FRT,Federal Realty Investment Trust,490.80%,IT,Gartner Inc
47,1000.10%,SWN,Southwestern Energy,914.38%,CTXS,Citrix Systems,832.69%,ADBE,Adobe Systems Inc,402.57%,EQT,EQT Corporation,558.02%,SYMC,Symantec Corp.,644.13%,DGX,Quest Diagnostics,664.14%,FAST,Fastenal Co,632.70%,TDG,TransDigm Group,1056.96%,AYI,Acuity Brands Inc,749.38%,WYNN,Wynn Resorts,619.84%,CXO,Concho Resources,220.58%,AKAM,Akamai Technologies Inc,477.76%,AWK,American Water Works Company Inc
48,997.65%,EA,Electronic Arts,914.06%,MGM,MGM Resorts International,806.34%,ETN,Eaton Corporation,394.83%,NUE,Nucor Corp.,557.79%,NFLX,Netflix Inc.,634.73%,FRT,Federal Realty Investment Trust,663.73%,ESRX,Express Scripts,621.50%,ANDV,Andeavor,1047.78%,CME,CME Group Inc.,748.28%,BLK,BlackRock,603.77%,SHW,Sherwin-Williams,216.90%,ESRX,Express Scripts,468.92%,RHT,Red Hat Inc.
49,989.70%,ORLY,O'Reilly Automotive,883.02%,TGT,Target Corp.,790.48%,SYMC,Symantec Corp.,393.04%,SYMC,Symantec Corp.,554.65%,PCAR,PACCAR Inc.,627.69%,FCX,Freeport-McMoRan Inc.,662.00%,LKQ,LKQ Corporation,613.65%,OKE,ONEOK,1016.91%,GOOG,Alphabet Inc Class C,746.94%,EW,Edwards Lifesciences,596.27%,ICE,Intercontinental Exchange,214.52%,CNP,CenterPoint Energy,467.63%,INTU,Intuit
50,983.06%,AMGN,Amgen Inc,878.69%,DF,Dean Foods,784.80%,DNB,Dun & Bradstreet,391.89%,NVDA,Nvidia Corporation,552.11%,NE,Noble Corp,588.40%,PSA,Public Storage,642.46%,DLR,Digital Realty,612.23%,CME,CME Group Inc.,1016.91%,GOOGL,Alphabet Inc Class A,745.14%,EOG,EOG Resources,578.64%,MCK,McKesson Corp.,207.30%,CL,Colgate-Palmolive,464.52%,JBHT,J. B. Hunt Transport Services
51,975.61%,ETN,Eaton Corporation,874.12%,ETN,Eaton Corporation,763.65%,ALXN,Alexion Pharmaceuticals,380.93%,AZO,AutoZone Inc,535.33%,ADBE,Adobe Systems Inc,587.99%,EQT,EQT Corporation,640.80%,HCN,Welltower Inc.,610.41%,FRT,Federal Realty Investment Trust,1010.31%,INCY,Incyte,742.15%,TSCO,Tractor Supply Company,573.28%,V,Visa Inc.,198.30%,RSG,Republic Services Inc,458.44%,VRSN,Verisign Inc.
52,957.36%,ESS,"Essex Property Trust, Inc.",866.86%,DHI,D. R. Horton,752.43%,JBHT,J. B. Hunt Transport Services,376.77%,ORCL,Oracle Corp.,532.93%,MUR,Murphy Oil,585.75%,FOSL,Fossil Group,626.74%,CXO,Concho Resources,604.98%,GOOGL,Alphabet Inc Class A,975.62%,GME,GameStop,741.55%,SWKS,Skyworks Solutions,565.85%,ROP,Roper Technologies,196.29%,MAR,Marriott Int'l.,457.62%,TSN,Tyson Foods
53,953.70%,RJF,Raymond James Financial Inc.,852.03%,REG,Regency Centers Corporation,733.09%,VAR,Varian Medical Systems,368.42%,ORLY,O'Reilly Automotive,527.49%,PVH,PVH Corp.,579.61%,CXO,Concho Resources,615.89%,KSU,Kansas City Southern,604.98%,GOOG,Alphabet Inc Class C,969.25%,HUM,Humana Inc.,735.91%,UNP,Union Pacific,560.94%,MTD,Mettler Toledo,195.71%,KMB,Kimberly-Clark,456.67%,CMG,Chipotle Mexican Grill
