,1995-1997,ticker,company,1996-1998,ticker,company,1997-1999,ticker,company,1998-2000,ticker,company,1999-2001,ticker,company,2000-2002,ticker,company,2001-2003,ticker,company,2002-2004,ticker,company,2003-2005,ticker,company,2004-2006,ticker,company,2005-2007,ticker,company,2006-2008,ticker,company,2007-2009,ticker,company,2008-2010,ticker,company,2009-2011,ticker,company,2010-2012,ticker,company,2011-2013,ticker,company,2012-2014,ticker,company,2013-2015,ticker,company,2014-2016,ticker,company,2015-2017,ticker,company,2016-2018,ticker,company
293,35.73%,FOX,Twenty-First Century Fox Class B,32.34%,MMM,3M Company,21.18%,O,Realty Income Corporation,-10.88%,BBT,BB&T Corporation,0.52%,MSI,Motorola Solutions Inc.,6.88%,EBAY,eBay,-14.92%,MMC,Marsh & McLennan,11.49%,BRK.B,Berkshire Hathaway,52.82%,VMC,Vulcan Materials,24.44%,BAC,Bank of America Corp,25.34%,AXP,American Express Co,67.71%,ES,Eversource Energy,-69.53%,TXT,Textron Inc.,-24.92%,LEN,Lennar Corp.,22.53%,XRAY,Dentsply Sirona,-6.99%,PBI,Pitney Bowes Inc,-15.14%,DNR,Denbury Resources,53.65%,CTSH,Cognizant Technology Solutions,48.85%,KSU,Kansas City Southern,9.00%,MTB,M&T Bank Corp.,80.57%,AVGO,Broadcom,135.64%,LRCX,Lam Research
294,35.47%,CHD,Church & Dwight,31.91%,COG,Cabot Oil & Gas,20.32%,ARNC,Arconic Inc,-11.00%,KO,Coca-Cola Company,0.43%,JPM,JPMorgan Chase & Co.,6.60%,GRMN,Garmin Ltd.,-14.94%,RDC,Rowan Companies Plc,11.23%,EMN,Eastman Chemical,52.76%,MET,MetLife Inc.,24.30%,SCG,SCANA Corp,25.13%,PNW,Pinnacle West Capital,66.67%,RIG,Transocean,-70.01%,BAC,Bank of America Corp,-24.95%,CCL,Carnival Corp.,21.98%,GE,General Electric,-7.17%,GPS,Gap Inc.,-15.49%,PCAR,PACCAR Inc.,53.24%,BBT,BB&T Corporation,48.51%,ECL,Ecolab,8.89%,GPC,Genuine Parts,79.45%,SAIC,SAIC,134.04%,ALB,Albemarle Corp
295,34.28%,EOG,EOG Resources,31.90%,K,Kellogg Co.,20.10%,GLW,Corning Inc.,-11.14%,ATI,Allegheny Technologies,0.37%,TGNA,"Tegna, Inc.",5.98%,ECL,Ecolab,-14.97%,EMN,Eastman Chemical,11.16%,JPM,JPMorgan Chase & Co.,52.73%,CMA,Comerica Inc.,24.16%,TMK,Torchmark Corp.,25.10%,TIF,Tiffany & Co.,63.46%,CHD,Church & Dwight,-70.19%,GRA,W.R. Grace,-25.19%,ATVI,Activision Blizzard,21.80%,CLX,The Clorox Company,-8.16%,TRIP,TripAdvisor,-16.19%,C,Citigroup Inc.,53.07%,KMB,Kimberly-Clark,48.43%,FLIR,FLIR Systems,8.69%,XYL,Xylem Inc.,77.99%,DHR,Danaher Corp.,131.03%,CSX,CSX Corp.
296,34.04%,ALB,Albemarle Corp,31.64%,XEL,Xcel Energy Inc,20.00%,THC,Tenet Healthcare,-11.18%,JWN,Nordstrom,0.17%,BRK.B,Berkshire Hathaway,5.48%,AFL,AFLAC Inc,-15.04%,WM,Waste Management Inc.,11.14%,ANDV,Andeavor,52.48%,XRAY,Dentsply Sirona,23.89%,R,Ryder Systems Inc.,25.09%,C,Citigroup Inc.,60.99%,UNP,Union Pacific,-71.02%,AKAM,Akamai Technologies Inc,-25.25%,AVY,Avery Dennison Corp,21.74%,MAS,Masco Corp.,-8.30%,MET,MetLife Inc.,-16.67%,LUK,Leucadia National Corp.,52.67%,FSLR,First Solar,48.35%,CA,"CA, Inc.",8.45%,COO,The Cooper Companies,75.33%,AOS,A.O. Smith,130.90%,CAT,Caterpillar Inc.
297,34.02%,MU,Micron Technology,30.68%,GPC,Genuine Parts,19.93%,COO,The Cooper Companies,-11.33%,URI,"United Rentals, Inc.",-0.21%,ADM,Archer-Daniels-Midland Co,5.39%,DE,Deere & Co.,-15.34%,FLR,Fluor Corp.,10.93%,DOV,Dover Corp.,51.78%,DRE,Duke Realty Corp,23.78%,AXP,American Express Co,25.07%,UTX,United Technologies,59.07%,GD,General Dynamics,-71.06%,M,Macy's Inc.,-25.26%,MON,Monsanto Co.,20.72%,LOW,Lowe's Cos.,-8.50%,CA,"CA, Inc.",-17.95%,HAS,Hasbro Inc.,52.63%,BRK.B,Berkshire Hathaway,48.30%,MRK,Merck & Co.,7.95%,XLNX,Xilinx Inc,72.80%,CHTR,Charter Communications,124.44%,BBY,Best Buy Co. Inc.
298,33.91%,PH,Parker-Hannifin,30.07%,GIS,General Mills,19.77%,AZO,AutoZone Inc,-12.82%,AEE,Ameren Corp,-1.25%,GRMN,Garmin Ltd.,5.28%,K,Kellogg Co.,-15.37%,UTX,United Technologies,10.31%,RRD,R.R. Donnelley,51.73%,INTC,Intel Corp.,23.74%,SNA,Snap-On Inc.,24.93%,ORCL,Oracle Corp.,58.88%,GOOG,Alphabet Inc Class C,-71.50%,KMX,Carmax Inc,-25.35%,CMI,Cummins Inc.,20.37%,WM,Waste Management Inc.,-8.77%,MDT,Medtronic plc,-19.88%,NVDA,Nvidia Corporation,52.40%,PGR,Progressive Corp.,48.24%,MDLZ,Mondelez International,7.95%,CERN,Cerner,71.94%,ALGN,Align Technology,117.67%,CNX,Consol Energy
299,33.29%,HCP,HCP Inc.,29.51%,BLL,Ball Corp,19.60%,APD,Air Products & Chemicals Inc,-12.89%,BAC,Bank of America Corp,-1.26%,SPG,Simon Property Group Inc,5.19%,BK,The Bank of New York Mellon Corp.,-15.39%,VMC,Vulcan Materials,10.17%,FLR,Fluor Corp.,50.69%,PBI,Pitney Bowes Inc,23.38%,BIIB,Biogen Inc.,24.90%,RSG,Republic Services Inc,57.71%,EMR,Emerson Electric Company,-71.73%,TER,Teradyne,-25.53%,CINF,Cincinnati Financial,19.13%,PEG,Public Serv. Enterprise Inc.,-9.33%,HBI,Hanesbrands Inc,-20.50%,EXC,Exelon Corp.,52.30%,RHI,Robert Half International,48.16%,CBS,CBS Corp.,7.64%,PPG,PPG Industries,71.75%,EQIX,Equinix,117.60%,WPX,"WPX Energy, Inc."
300,32.80%,AKS,AK Steel Holding Corp.,29.17%,PPG,PPG Industries,19.58%,GPC,Genuine Parts,-12.91%,TRV,The Travelers Companies Inc.,-1.73%,MRO,Marathon Oil Corp.,4.63%,EMR,Emerson Electric Company,-15.66%,DGX,Quest Diagnostics,10.14%,ESV,Ensco plc,50.66%,SWK,Stanley Black & Decker,23.37%,RF,Regions Financial Corp.,24.86%,BRK.B,Berkshire Hathaway,57.49%,EXC,Exelon Corp.,-71.91%,JBL,Jabil Circuit,-25.53%,STX,Seagate Technology,18.05%,STT,State Street Corp.,-9.63%,ZBH,Zimmer Biomet Holdings,-20.95%,MU,Micron Technology,52.29%,SYMC,Symantec Corp.,48.08%,MCHP,Microchip Technology,7.55%,BAX,Baxter International Inc.,67.50%,EA,Electronic Arts,109.24%,ATI,Allegheny Technologies
301,32.79%,DF,Dean Foods,29.12%,TMO,Thermo Fisher Scientific,19.07%,KMB,Kimberly-Clark,-13.10%,BA,Boeing Company,-1.83%,DIS,The Walt Disney Company,4.53%,TAP,Molson Coors Brewing Company,-16.22%,OMC,Omnicom Group,10.10%,FE,FirstEnergy Corp,50.08%,ACN,Accenture plc,23.36%,AEE,Ameren Corp,24.80%,FIS,Fidelity National Information Services,56.44%,ETN,Eaton Corporation,-72.23%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,-25.57%,TMK,Torchmark Corp.,17.93%,ITT,ITT Corp.,-10.41%,GHC,Graham Holdings,-21.62%,MGM,MGM Resorts International,52.26%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,47.43%,USB,U.S. Bancorp,7.30%,OMC,Omnicom Group,65.81%,IGT,International Game Technology,107.09%,CMA,Comerica Inc.
302,32.43%,DUK,Duke Energy,28.75%,URI,"United Rentals, Inc.",18.86%,LUK,Leucadia National Corp.,-13.24%,FE,FirstEnergy Corp,-1.90%,VZ,Verizon Communications,3.94%,GWW,Grainger (W.W.) Inc.,-16.24%,NKE,Nike,9.94%,ADM,Archer-Daniels-Midland Co,50.05%,TMO,Thermo Fisher Scientific,23.32%,TAP,Molson Coors Brewing Company,24.79%,STZ,Constellation Brands,56.21%,COL,Rockwell Collins,-72.97%,JWN,Nordstrom,-25.67%,PH,Parker-Hannifin,17.34%,GHC,Graham Holdings,-10.75%,MSFT,Microsoft Corp.,-21.79%,GM,General Motors,52.00%,SYK,Stryker Corp.,47.34%,VIAB,Viacom Inc.,7.17%,GLW,Corning Inc.,65.67%,AYI,Acuity Brands Inc,104.62%,DE,Deere & Co.
303,32.40%,CLF,Cliffs Natural Resources,28.44%,HSIC,Henry Schein,17.77%,DGX,Quest Diagnostics,-13.52%,XL,XL Capital,-2.07%,AON,Aon plc,3.94%,NE,Noble Corp,-16.33%,M,Macy's Inc.,9.94%,XOM,Exxon Mobil Corp.,49.20%,CLX,The Clorox Company,23.31%,MHK,Mohawk Industries,24.79%,CTL,CenturyLink Inc,53.87%,WMB,Williams Cos.,-73.16%,SBUX,Starbucks Corp.,-25.71%,NYT,The New York Times Co.,17.10%,RE,Everest Re,-10.96%,CMA,Comerica Inc.,-22.63%,MET,MetLife Inc.,51.99%,HAL,Halliburton Co.,47.29%,LYB,LyondellBasell,6.77%,BBT,BB&T Corporation,63.70%,UNH,United Health Group Inc.,103.51%,CMI,Cummins Inc.
304,32.00%,GPC,Genuine Parts,28.28%,ALB,Albemarle Corp,17.30%,SNPS,Synopsys Inc.,-13.56%,DVN,Devon Energy,-2.44%,BBT,BB&T Corporation,3.82%,FMC,FMC Corporation,-16.93%,EXC,Exelon Corp.,9.87%,PAYX,Paychex Inc.,48.71%,DOV,Dover Corp.,22.94%,WBA,Walgreens Boots Alliance,24.47%,BK,The Bank of New York Mellon Corp.,52.85%,NE,Noble Corp,-73.26%,IGT,International Game Technology,-26.21%,LLY,Lilly (Eli) & Co.,16.82%,T,AT&T Inc,-11.04%,AES,AES Corp,-23.34%,FLIR,FLIR Systems,51.94%,ANSS,ANSYS,47.17%,KORS,Michael Kors Holdings,6.71%,FFIV,F5 Networks,63.25%,BSX,Boston Scientific,101.72%,NEM,Newmont Mining Corporation
305,31.98%,HES,Hess Corporation,28.02%,LMT,Lockheed Martin Corp.,17.21%,MAR,Marriott Int'l.,-14.24%,CMI,Cummins Inc.,-2.62%,LSI,LSI Corporation,3.28%,ROK,Rockwell Automation Inc.,-17.13%,CTL,CenturyLink Inc,9.48%,AMGN,Amgen Inc,48.47%,TWX,Time Warner Inc.,22.73%,WEC,Wec Energy Group Inc,24.30%,PEP,PepsiCo Inc.,51.25%,NTRS,Northern Trust Corp.,-73.82%,GT,Goodyear Tire & Rubber,-26.25%,CMA,Comerica Inc.,16.82%,LSI,LSI Corporation,-11.20%,APA,Apache Corporation,-25.36%,FFIV,F5 Networks,51.82%,JEC,Jacobs Engineering Group,47.06%,PEG,Public Serv. Enterprise Inc.,6.71%,CL,Colgate-Palmolive,57.05%,TSN,Tyson Foods,99.26%,CBOE,CBOE Holdings
306,30.89%,R,Ryder Systems Inc.,27.94%,FRT,Federal Realty Investment Trust,16.36%,TSCO,Tractor Supply Company,-14.34%,ATVI,Activision Blizzard,-2.75%,BCR,Bard (C.R.) Inc.,3.17%,PNR,Pentair Ltd.,-17.21%,NBL,Noble Energy Inc,9.32%,FMC,FMC Corporation,48.42%,KMB,Kimberly-Clark,22.36%,FLIR,FLIR Systems,23.60%,BAC,Bank of America Corp,50.72%,HCP,HCP Inc.,-73.90%,JCP,J.C. Penney,-26.30%,NE,Noble Corp,14.79%,SO,Southern Co.,-11.24%,MON,Monsanto Co.,-25.68%,EXPD,Expeditors International,51.44%,CHD,Church & Dwight,46.89%,COF,Capital One Financial,6.62%,ODP,Office Depot Inc.,53.66%,ZION,Zions Bancorp,98.05%,ISRG,Intuitive Surgical Inc.
307,30.64%,WY,Weyerhaeuser Corp.,27.40%,MCO,Moody's Corp,16.03%,DWDP,DowDuPont,-14.36%,FRT,Federal Realty Investment Trust,-3.01%,HRB,Block H&R,3.01%,ITW,Illinois Tool Works,-17.42%,CVX,Chevron Corp.,9.23%,NUE,Nucor Corp.,48.33%,PNC,PNC Financial Services,21.99%,CLX,The Clorox Company,23.54%,LUK,Leucadia National Corp.,49.18%,CHRW,C. H. Robinson Worldwide,-74.58%,UAL,United Continental Holdings,-26.46%,AMP,Ameriprise Financial,14.11%,TSS,Total System Services,-11.51%,BAX,Baxter International Inc.,-26.14%,AIG,"American International Group, Inc.",51.34%,AJG,Arthur J. Gallagher & Co.,46.83%,ES,Eversource Energy,6.23%,NLSN,Nielsen Holdings,52.57%,FHN,First Horizon,95.37%,DHR,Danaher Corp.
308,30.14%,ED,Consolidated Edison,26.92%,VRTX,Vertex Pharmaceuticals Inc,15.65%,CHRW,C. H. Robinson Worldwide,-14.40%,EMN,Eastman Chemical,-3.09%,TJX,TJX Companies Inc.,2.64%,SLB,Schlumberger Ltd.,-17.52%,VZ,Verizon Communications,9.21%,F,Ford Motor,47.79%,AVP,Avon Products,21.89%,DHR,Danaher Corp.,23.40%,MAT,Mattel Inc.,48.31%,SWN,Southwestern Energy,-75.20%,KEY,KeyCorp,-26.48%,HST,Host Hotels & Resorts,12.33%,OI,Owens-Illinois,-11.71%,GPN,Global Payments Inc,-27.15%,SEE,Sealed Air,51.31%,FOSL,Fossil Group,46.83%,VRSN,Verisign Inc.,6.22%,FII,Federated Investors,50.96%,CMA,Comerica Inc.,94.24%,UNH,United Health Group Inc.
309,30.04%,SYY,Sysco Corp.,26.76%,BXP,Boston Properties,15.44%,IP,International Paper,-14.71%,GGP,General Growth Properties Inc.,-3.67%,BBY,Best Buy Co. Inc.,2.62%,ZBH,Zimmer Biomet Holdings,-17.86%,XOM,Exxon Mobil Corp.,9.08%,WBA,Walgreens Boots Alliance,47.75%,KSU,Kansas City Southern,21.86%,UTX,United Technologies,23.24%,O,Realty Income Corporation,47.78%,SRE,Sempra Energy,-75.22%,MS,Morgan Stanley,-26.76%,AKAM,Akamai Technologies Inc,11.98%,KIM,Kimco Realty,-12.00%,CHK,Chesapeake Energy,-27.17%,LM,Legg Mason,51.14%,ORCL,Oracle Corp.,46.76%,COST,Costco Wholesale Corp.,6.08%,ANSS,ANSYS,49.75%,FISV,Fiserv Inc,92.90%,SNPS,Synopsys Inc.
310,30.01%,OXY,Occidental Petroleum,26.59%,DUK,Duke Energy,14.97%,GRA,W.R. Grace,-14.74%,MAC,Macerich,-3.86%,FRT,Federal Realty Investment Trust,2.47%,CHD,Church & Dwight,-18.06%,FTR,Frontier Communications,8.87%,EW,Edwards Lifesciences,47.48%,CSCO,Cisco Systems,21.71%,LNT,Alliant Energy Corp,23.22%,SEE,Sealed Air,47.40%,HCN,Welltower Inc.,-76.10%,MGM,MGM Resorts International,-26.82%,PEG,Public Serv. Enterprise Inc.,11.31%,VLO,Valero Energy,-12.68%,IR,Ingersoll-Rand PLC,-28.55%,BHGE,"Baker Hughes, a GE Company",51.12%,NI,NiSource Inc.,46.53%,AIV,Apartment Investment & Management,5.77%,MSI,Motorola Solutions Inc.,49.72%,HRS,Harris Corporation,90.09%,AVY,Avery Dennison Corp
311,29.67%,NEM,Newmont Mining Corporation,26.54%,KMB,Kimberly-Clark,14.58%,WY,Weyerhaeuser Corp.,-14.86%,FMC,FMC Corporation,-4.12%,ANDV,Andeavor,2.40%,DO,Diamond Offshore Drilling,-18.24%,FOX,Twenty-First Century Fox Class B,8.52%,RJF,Raymond James Financial Inc.,47.14%,BK,The Bank of New York Mellon Corp.,21.66%,PNC,PNC Financial Services,23.17%,DTE,DTE Energy,46.80%,BCR,Bard (C.R.) Inc.,-76.51%,RF,Regions Financial Corp.,-27.42%,TWX,Time Warner Inc.,11.26%,CHTR,Charter Communications,-14.06%,DVN,Devon Energy,-29.10%,SWKS,Skyworks Solutions,50.77%,UNH,United Health Group Inc.,46.45%,UTX,United Technologies,5.24%,PKG,Packaging Corporation of America,49.34%,NFX,Newfield Exploration Co,87.73%,XYL,Xylem Inc.
312,29.41%,DISH,Dish Network,25.47%,BA,Boeing Company,14.50%,RTN,Raytheon Co.,-14.93%,ALB,Albemarle Corp,-4.26%,KEY,KeyCorp,2.34%,SPGI,"S&P Global, Inc.",-18.31%,MRO,Marathon Oil Corp.,8.49%,NOV,National Oilwell Varco Inc.,47.05%,FOX,Twenty-First Century Fox Class B,21.44%,URI,"United Rentals, Inc.",23.10%,HRL,Hormel Foods Corp.,46.19%,STT,State Street Corp.,-76.76%,SHLD,Sears Holding Corporation,-27.45%,ROK,Rockwell Automation Inc.,11.01%,NTRS,Northern Trust Corp.,-15.72%,PBCT,People's United Financial,-30.22%,LRCX,Lam Research,50.63%,OKE,ONEOK,46.17%,PEP,PepsiCo Inc.,4.93%,EXPD,Expeditors International,48.87%,DRI,Darden Restaurants,87.19%,HPQ,HP Inc.
313,29.36%,FOXA,Twenty-First Century Fox Class A,25.36%,PHM,Pulte Homes Inc.,13.88%,ESS,"Essex Property Trust, Inc.",-15.17%,APD,Air Products & Chemicals Inc,-4.29%,TSS,Total System Services,2.07%,UTX,United Technologies,-18.41%,URI,"United Rentals, Inc.",8.28%,GS,Goldman Sachs Group,46.97%,ALL,Allstate Corp,21.39%,WHR,Whirlpool Corp.,22.93%,AAP,Advance Auto Parts,45.46%,HRS,Harris Corporation,-77.84%,FITB,Fifth Third Bancorp,-28.89%,VMC,Vulcan Materials,10.65%,PG,Procter & Gamble,-17.04%,AVY,Avery Dennison Corp,-30.37%,FB,"Facebook, Inc.",50.40%,MSI,Motorola Solutions Inc.,45.47%,RSG,Republic Services Inc,4.77%,FE,FirstEnergy Corp,48.87%,ALB,Albemarle Corp,85.75%,MTD,Mettler Toledo
314,28.44%,AOS,A.O. Smith,25.13%,CSX,CSX Corp.,13.62%,NSC,Norfolk Southern Corp.,-15.27%,REG,Regency Centers Corporation,-4.55%,IP,International Paper,1.86%,XOM,Exxon Mobil Corp.,-18.85%,NE,Noble Corp,8.23%,RL,Polo Ralph Lauren Corp.,46.80%,KEY,KeyCorp,21.36%,KEY,KeyCorp,22.87%,BMS,Bemis Company,43.58%,BXP,Boston Properties,-79.17%,SLG,SL Green Realty,-28.90%,NTRS,Northern Trust Corp.,10.50%,BK,The Bank of New York Mellon Corp.,-17.35%,SEE,Sealed Air,-30.72%,OI,Owens-Illinois,50.31%,SNPS,Synopsys Inc.,45.46%,CCE,Coca-Cola Enterprises,4.76%,FDX,FedEx Corporation,47.43%,GOOG,Alphabet Inc Class C,84.89%,PWR,Quanta Services Inc.
315,27.70%,ADBE,Adobe Systems Inc,24.14%,MCHP,Microchip Technology,12.74%,AMG,Affiliated Managers Group Inc,-15.27%,PSA,Public Storage,-4.74%,AMD,Advanced Micro Devices,1.63%,NWL,Newell Brands,-18.92%,MAR,Marriott Int'l.,8.13%,TAP,Molson Coors Brewing Company,46.57%,ITW,Illinois Tool Works,21.34%,EMR,Emerson Electric Company,22.29%,KO,Coca-Cola Company,42.43%,CELG,Celgene Corp.,-79.46%,WYN,Wyndham Worldwide,-29.11%,EBAY,eBay,10.39%,DNB,Dun & Bradstreet,-17.58%,RF,Regions Financial Corp.,-32.08%,GLW,Corning Inc.,50.21%,ATVI,Activision Blizzard,45.22%,XEL,Xcel Energy Inc,4.37%,GS,Goldman Sachs Group,47.42%,XLNX,Xilinx Inc,84.38%,SBR,Sabre Holdings
316,27.25%,SO,Southern Co.,24.00%,HCP,HCP Inc.,12.62%,AMD,Advanced Micro Devices,-15.33%,HBAN,Huntington Bancshares,-4.86%,IR,Ingersoll-Rand PLC,1.26%,MAS,Masco Corp.,-18.95%,RE,Everest Re,7.98%,MET,MetLife Inc.,46.02%,BAC,Bank of America Corp,21.28%,O,Realty Income Corporation,22.21%,GIS,General Mills,41.99%,BDX,Becton Dickinson,-79.83%,CDNS,Cadence Design Systems,-29.60%,MAS,Masco Corp.,9.85%,USB,U.S. Bancorp,-18.07%,JPM,JPMorgan Chase & Co.,-33.33%,APA,Apache Corporation,50.18%,UPS,United Parcel Service,45.11%,PNW,Pinnacle West Capital,4.27%,A,Agilent Technologies Inc,44.87%,SYY,Sysco Corp.,83.95%,ZION,Zions Bancorp
317,27.01%,SVU,Supervalu Inc.,23.98%,CCK,Crown Holdings,12.23%,MAC,Macerich,-15.61%,UDR,UDR Inc,-5.36%,NEM,Newmont Mining Corporation,0.80%,RIG,Transocean,-19.20%,MET,MetLife Inc.,7.71%,C,Citigroup Inc.,45.98%,FIS,Fidelity National Information Services,21.07%,LOW,Lowe's Cos.,22.18%,UNH,United Health Group Inc.,40.70%,LH,Laboratory Corp. of America Holding,-81.18%,MU,Micron Technology,-29.91%,DWDP,DowDuPont,8.67%,ADM,Archer-Daniels-Midland Co,-18.33%,CBOE,CBOE Holdings,-34.17%,CHK,Chesapeake Energy,50.16%,ADI,"Analog Devices, Inc.",45.10%,REG,Regency Centers Corporation,4.14%,MS,Morgan Stanley,43.18%,NI,NiSource Inc.,83.75%,AVGO,Broadcom
318,26.67%,FCX,Freeport-McMoRan Inc.,23.93%,CNP,CenterPoint Energy,11.87%,VLO,Valero Energy,-15.65%,NEM,Newmont Mining Corporation,-5.71%,NUE,Nucor Corp.,-0.25%,NUE,Nucor Corp.,-19.25%,RRC,Range Resources Corp.,7.67%,MS,Morgan Stanley,45.89%,EMR,Emerson Electric Company,20.96%,JNJ,Johnson & Johnson,22.06%,WFC,Wells Fargo,40.47%,KSU,Kansas City Southern,-81.24%,SLM,SLM Corporation,-30.07%,ADM,Archer-Daniels-Midland Co,8.54%,PFE,Pfizer Inc.,-18.36%,FTR,Frontier Communications,-36.75%,JCP,J.C. Penney,50.07%,CL,Colgate-Palmolive,44.97%,PDCO,Patterson Companies,4.00%,VAR,Varian Medical Systems,42.83%,ETFC,E*Trade,81.77%,PGR,Progressive Corp.
319,26.59%,F,Ford Motor,23.48%,LNT,Alliant Energy Corp,11.27%,HRS,Harris Corporation,-15.82%,COG,Cabot Oil & Gas,-5.77%,DF,Dean Foods,-0.51%,GS,Goldman Sachs Group,-19.35%,TMO,Thermo Fisher Scientific,7.47%,QCOM,QUALCOMM Inc.,45.70%,WLTW,Willis Towers Watson,20.94%,DRE,Duke Realty Corp,21.63%,STI,SunTrust Banks,39.50%,DVN,Devon Energy,-81.35%,SIG,Signet Jewelers,-30.09%,TEL,TE Connectivity Ltd.,8.47%,WFC,Wells Fargo,-18.97%,BLK,BlackRock,-38.41%,NBR,Nabors Industries,50.01%,VMC,Vulcan Materials,44.88%,XYL,Xylem Inc.,3.92%,PG,Procter & Gamble,42.43%,ROST,Ross Stores,80.27%,IGT,International Game Technology
320,26.53%,MAA,Mid-America Apartments,23.05%,EQT,EQT Corporation,10.10%,XRAY,Dentsply Sirona,-15.87%,EOG,EOG Resources,-6.03%,PRGO,Perrigo,-0.59%,ANF,Abercrombie & Fitch,-19.52%,TAP,Molson Coors Brewing Company,6.83%,NI,NiSource Inc.,45.53%,DUK,Duke Energy,20.93%,RRD,R.R. Donnelley,21.61%,MSI,Motorola Solutions Inc.,36.81%,O,Realty Income Corporation,-81.94%,LEN,Lennar Corp.,-30.10%,BWA,BorgWarner,7.92%,MGM,MGM Resorts International,-19.48%,AMAT,Applied Materials Inc,-38.96%,NTAP,NetApp,49.92%,SRCL,Stericycle Inc,44.82%,AJG,Arthur J. Gallagher & Co.,3.81%,SRCL,Stericycle Inc,42.37%,HAL,Halliburton Co.,79.51%,CHTR,Charter Communications
321,26.25%,VMC,Vulcan Materials,22.98%,APA,Apache Corporation,9.28%,EQR,Equity Residential,-16.09%,SEE,Sealed Air,-6.42%,DXC,DXC Technology,-1.39%,PCG,PG&E Corp.,-19.91%,TIF,Tiffany & Co.,6.34%,BMS,Bemis Company,45.47%,C,Citigroup Inc.,20.46%,PG,Procter & Gamble,21.53%,PG,Procter & Gamble,36.38%,MSFT,Microsoft Corp.,-83.89%,THC,Tenet Healthcare,-30.24%,DF,Dean Foods,7.91%,PBI,Pitney Bowes Inc,-19.84%,LLL,L-3 Communications Holdings,-39.26%,ODP,Office Depot Inc.,49.70%,PFE,Pfizer Inc.,44.52%,FSLR,First Solar,3.51%,VFC,V.F. Corp.,42.22%,AET,Aetna Inc,79.46%,GRMN,Garmin Ltd.
322,26.00%,JEC,Jacobs Engineering Group,22.02%,MKC,McCormick & Co.,9.09%,MCHP,Microchip Technology,-16.57%,SLB,Schlumberger Ltd.,-6.45%,SHW,Sherwin-Williams,-2.61%,MNST,Monster Beverage,-20.12%,X,United States Steel Corporation,6.12%,SLB,Schlumberger Ltd.,45.42%,NBR,Nabors Industries,20.45%,DTE,DTE Energy,21.49%,ED,Consolidated Edison,35.38%,IBM,International Business Machines,-86.27%,AAL,American Airlines Group,-30.24%,EIX,Edison Int'l,7.81%,GM,General Motors,-20.15%,MAS,Masco Corp.,-39.38%,FCX,Freeport-McMoRan Inc.,49.45%,AZO,AutoZone Inc,44.40%,IP,International Paper,3.17%,DF,Dean Foods,41.97%,HPE,Hewlett Packard Enterprise,79.35%,PVH,PVH Corp.
323,25.83%,IGT,International Game Technology,21.97%,ODP,Office Depot Inc.,8.97%,K,Kellogg Co.,-16.91%,PNC,PNC Financial Services,-6.50%,BMS,Bemis Company,-2.69%,GHC,Graham Holdings,-20.27%,PNW,Pinnacle West Capital,5.79%,TXN,Texas Instruments,45.22%,CSX,CSX Corp.,20.29%,UNP,Union Pacific,21.17%,FTR,Frontier Communications,34.23%,AEP,American Electric Power,-86.60%,C,Citigroup Inc.,-30.28%,FE,FirstEnergy Corp,6.98%,CELG,Celgene Corp.,-20.45%,C,Citigroup Inc.,-42.36%,ARNC,Arconic Inc,49.42%,ESRX,Express Scripts,43.73%,PCG,PG&E Corp.,3.07%,AME,AMETEK Inc,41.96%,AWK,American Water Works Company Inc,76.78%,BCR,Bard (C.R.) Inc.
324,25.54%,UDR,UDR Inc,21.62%,PCG,PG&E Corp.,8.50%,PPG,PPG Industries,-17.02%,BMS,Bemis Company,-6.59%,SUN,Sunoco Inc.,-2.73%,COST,Costco Wholesale Corp.,-20.48%,CMI,Cummins Inc.,5.76%,CMA,Comerica Inc.,45.10%,ECL,Ecolab,19.94%,XRAY,Dentsply Sirona,21.13%,KEY,KeyCorp,34.07%,EL,Estee Lauder Cos.,-87.61%,LVLT,Level 3 Communications,-30.62%,BRK.B,Berkshire Hathaway,5.81%,KEY,KeyCorp,-20.79%,NBR,Nabors Industries,-42.85%,GNW,Genworth Financial,49.24%,MDLZ,Mondelez International,43.71%,SCG,SCANA Corp,3.05%,VZ,Verizon Communications,41.92%,DRE,Duke Realty Corp,76.77%,CTAS,Cintas Corporation
325,25.24%,LUV,Southwest Airlines,20.87%,PEG,Public Serv. Enterprise Inc.,8.02%,SHW,Sherwin-Williams,-17.46%,SJM,JM Smucker,-6.67%,MO,Altria Group Inc,-3.00%,TROW,T. Rowe Price Group,-21.00%,EIX,Edison Int'l,5.75%,BBY,Best Buy Co. Inc.,44.79%,PPG,PPG Industries,19.84%,MDT,Medtronic plc,21.00%,WBA,Walgreens Boots Alliance,33.97%,EXPD,Expeditors International,-88.93%,AMD,Advanced Micro Devices,-30.74%,MRK,Merck & Co.,5.63%,GME,GameStop,-21.24%,HRB,Block H&R,-46.27%,FTR,Frontier Communications,49.11%,MO,Altria Group Inc,43.49%,GME,GameStop,2.92%,TRIP,TripAdvisor,41.80%,AVY,Avery Dennison Corp,74.91%,NSC,Norfolk Southern Corp.
