,1995-1997,ticker,company,1996-1998,ticker,company,1997-1999,ticker,company,1998-2000,ticker,company,1999-2001,ticker,company,2000-2002,ticker,company,2001-2003,ticker,company,2002-2004,ticker,company,2003-2005,ticker,company,2004-2006,ticker,company,2005-2007,ticker,company,2006-2008,ticker,company,2007-2009,ticker,company,2008-2010,ticker,company,2009-2011,ticker,company,2010-2012,ticker,company,2011-2013,ticker,company,2012-2014,ticker,company,2013-2015,ticker,company,2014-2016,ticker,company,2015-2017,ticker,company,2016-2018,ticker,company
22,208.59%,CB,Chubb Corp,193.58%,RHI,Robert Half International,231.59%,RCL,Royal Caribbean Cruises Ltd,335.91%,INTU,Intuit,235.75%,NE,Noble Corp,142.85%,GILD,Gilead Sciences,102.64%,HCN,Welltower Inc.,115.30%,WYNN,Wynn Resorts,289.49%,ALGN,Align Technology,190.25%,RIG,Transocean,132.08%,SLG,SL Green Realty,116.66%,NOV,National Oilwell Varco Inc.,32.51%,AMZN,Amazon.com Inc,32.05%,RL,Polo Ralph Lauren Corp.,278.70%,AMD,Advanced Micro Devices,108.53%,OKE,ONEOK,100.09%,URI,"United Rentals, Inc.",174.12%,APTV,Aptiv Plc,174.95%,ENDP,Endo International plc,88.96%,EQIX,Equinix,44.18%,CME,CME Group Inc.,67.63%,NOC,Northrop Grumman Corp.
23,206.68%,TROW,T. Rowe Price Group,190.24%,COST,Costco Wholesale Corp.,228.22%,CSCO,Cisco Systems,332.48%,TXN,Texas Instruments,232.86%,NVDA,Nvidia Corporation,142.62%,BLK,BlackRock,101.86%,FCX,Freeport-McMoRan Inc.,111.90%,ROK,Rockwell Automation Inc.,280.21%,RRC,Range Resources Corp.,188.77%,CELG,Celgene Corp.,129.10%,LKQ,LKQ Corporation,113.65%,MNST,Monster Beverage,32.11%,TDG,TransDigm Group,31.82%,AZO,AutoZone Inc,277.93%,AAPL,Apple Inc.,105.70%,BIIB,Biogen Inc.,95.97%,TJX,TJX Companies Inc.,173.69%,FBHS,Fortune Brands Home & Security,171.06%,ETFC,E*Trade,87.84%,DAL,Delta Air Lines,43.79%,TXN,Texas Instruments,66.90%,JPM,JPMorgan Chase & Co.
24,201.00%,USB,U.S. Bancorp,188.02%,MSFT,Microsoft Corp.,228.02%,CMCSA,Comcast Corp.,320.54%,AMAT,Applied Materials Inc,226.29%,ADI,"Analog Devices, Inc.",141.36%,FII,Federated Investors,101.85%,ODP,Office Depot Inc.,111.03%,IGT,International Game Technology,269.68%,ATI,Allegheny Technologies,180.41%,NOV,National Oilwell Varco Inc.,127.85%,NUE,Nucor Corp.,113.06%,ATVI,Activision Blizzard,31.21%,CHRW,C. H. Robinson Worldwide,31.64%,GIS,General Mills,273.95%,LB,L Brands Inc.,105.59%,AZO,AutoZone Inc,89.32%,SHW,Sherwin-Williams,170.56%,BAC,Bank of America Corp,169.10%,WDC,Western Digital,86.98%,ANDV,Andeavor,43.64%,HUM,Humana Inc.,65.73%,NFLX,Netflix Inc.
25,199.12%,ZION,Zions Bancorp,187.50%,NBR,Nabors Industries,223.20%,COF,Capital One Financial,312.50%,TER,Teradyne,221.86%,ESV,Ensco plc,139.03%,VAR,Varian Medical Systems,95.29%,CNC,Centene Corporation,110.91%,PHM,Pulte Homes Inc.,256.33%,DHI,D. R. Horton,179.97%,ATI,Allegheny Technologies,127.70%,VLO,Valero Energy,109.45%,ANSS,ANSYS,26.23%,ANSS,ANSYS,31.37%,BBBY,Bed Bath & Beyond,273.10%,FTI,TechnipFMC,105.32%,SBUX,Starbucks Corp.,86.76%,DF,Dean Foods,169.16%,URI,"United Rentals, Inc.",161.28%,ODP,Office Depot Inc.,86.25%,AGN,"Allergan, Inc",42.79%,RF,Regions Financial Corp.,63.66%,DOV,Dover Corp.
26,198.02%,PAYX,Paychex Inc.,187.02%,DO,Diamond Offshore Drilling,219.44%,FOSL,Fossil Group,287.61%,RHT,Red Hat Inc.,220.32%,EOG,EOG Resources,137.67%,UHS,"Universal Health Services, Inc.",93.90%,MAC,Macerich,109.95%,CHK,Chesapeake Energy,255.59%,GLW,Corning Inc.,179.33%,AET,Aetna Inc,125.71%,CME,CME Group Inc.,109.33%,APH,Amphenol Corp,19.01%,FMC,FMC Corporation,31.08%,MYL,Mylan N.V.,265.11%,NFX,Newfield Exploration Co,104.30%,KSU,Kansas City Southern,86.66%,LB,L Brands Inc.,168.28%,AOS,A.O. Smith,156.66%,GILD,Gilead Sciences,84.67%,UAA,Under Armour,42.34%,ICE,Intercontinental Exchange,63.53%,DLR,Digital Realty
27,194.65%,SLM,SLM Corporation,184.50%,JCI,Johnson Controls Inc,213.06%,KSS,Kohl's,281.41%,LRCX,Lam Research,208.33%,SWKS,Skyworks Solutions,133.35%,FLIR,FLIR Systems,89.03%,JBHT,J. B. Hunt Transport Services,108.93%,HAL,Halliburton Co.,251.63%,CTSH,Cognizant Technology Solutions,176.94%,MON,Monsanto Co.,119.87%,ODP,Office Depot Inc.,105.73%,FMC,FMC Corporation,18.59%,BAX,Baxter International Inc.,31.05%,TJX,TJX Companies Inc.,251.01%,AMZN,Amazon.com Inc,101.47%,TDG,TransDigm Group,85.67%,HD,Home Depot,167.05%,PKG,Packaging Corporation of America,154.77%,KR,Kroger Co.,82.85%,HRL,Hormel Foods Corp.,40.98%,EXR,Extra Space Storage,62.29%,ADI,"Analog Devices, Inc."
28,193.55%,RHI,Robert Half International,179.34%,CB,Chubb Corp,207.31%,TAP,Molson Coors Brewing Company,267.30%,JBL,Jabil Circuit,203.68%,AJG,Arthur J. Gallagher & Co.,130.27%,GPN,Global Payments Inc,83.47%,GILD,Gilead Sciences,108.05%,SYMC,Symantec Corp.,243.08%,EBAY,eBay,173.25%,URBN,Urban Outfitters,117.92%,REGN,Regeneron,104.69%,BLK,BlackRock,17.59%,AZO,AutoZone Inc,30.13%,ALXN,Alexion Pharmaceuticals,245.31%,RHT,Red Hat Inc.,101.42%,HUM,Humana Inc.,83.26%,EBAY,eBay,162.57%,LNC,Lincoln National,153.29%,CNC,Centene Corporation,81.30%,EXPE,Expedia Inc.,39.64%,SBUX,Starbucks Corp.,62.03%,CFG,Citizens Financial Group
29,193.08%,SCHW,Charles Schwab Corporation,179.01%,VNO,Vornado Realty Trust,207.29%,PFE,Pfizer Inc.,261.32%,MSFT,Microsoft Corp.,201.34%,IVZ,Invesco Ltd.,124.73%,EOG,EOG Resources,81.09%,SRCL,Stericycle Inc,107.69%,RRC,Range Resources Corp.,242.65%,TPR,"Tapestry, Inc.",170.37%,ANF,Abercrombie & Fitch,115.62%,JWN,Nordstrom,102.70%,SRCL,Stericycle Inc,17.14%,APA,Apache Corporation,29.60%,HRB,Block H&R,245.01%,COO,The Cooper Companies,100.34%,FFIV,F5 Networks,83.19%,VFC,V.F. Corp.,160.28%,NSM,National Semiconductor Corp.,151.40%,RCL,Royal Caribbean Cruises Ltd,76.92%,LSI,LSI Corporation,38.18%,ADI,"Analog Devices, Inc.",59.58%,STZ,Constellation Brands
30,190.57%,NBR,Nabors Industries,178.99%,IVZ,Invesco Ltd.,203.75%,CTSH,Cognizant Technology Solutions,258.31%,GLW,Corning Inc.,197.35%,BLK,BlackRock,124.70%,MO,Altria Group Inc,80.74%,IFF,Intl Flavors & Fragrances,107.07%,PCAR,PACCAR Inc.,240.87%,AMD,Advanced Micro Devices,167.34%,VRTX,Vertex Pharmaceuticals Inc,115.17%,CRM,Salesforce.com,100.94%,LUK,Leucadia National Corp.,16.67%,KR,Kroger Co.,29.07%,AMD,Advanced Micro Devices,244.29%,SBUX,Starbucks Corp.,100.26%,GWW,Grainger (W.W.) Inc.,83.00%,LSI,LSI Corporation,155.87%,ADS,Alliance Data Systems,150.84%,SEE,Sealed Air,75.95%,ESS,"Essex Property Trust, Inc.",34.85%,MGM,MGM Resorts International,58.73%,ALTR,Altera Corp
31,186.52%,WM,Waste Management Inc.,175.58%,LM,Legg Mason,202.69%,CCL,Carnival Corp.,253.79%,WMT,Wal-Mart Stores,185.25%,UNH,United Health Group Inc.,124.09%,ANSS,ANSYS,77.29%,UDR,UDR Inc,105.20%,AET,Aetna Inc,239.06%,RCL,Royal Caribbean Cruises Ltd,159.16%,CNX,Consol Energy,114.39%,MA,Mastercard Inc.,95.02%,ADM,Archer-Daniels-Midland Co,14.62%,EW,Edwards Lifesciences,26.13%,XEC,Cimarex Energy,241.96%,STX,Seagate Technology,98.53%,CBS,CBS Corp.,78.41%,FOXA,Twenty-First Century Fox Class A,155.18%,LYB,LyondellBasell,150.15%,SIG,Signet Jewelers,75.54%,HUM,Humana Inc.,33.08%,HD,Home Depot,58.17%,EXC,Exelon Corp.
