,1995-2001,ticker,company,1996-2002,ticker,company,1997-2003,ticker,company,1998-2004,ticker,company,1999-2005,ticker,company,2000-2006,ticker,company,2001-2007,ticker,company,2002-2008,ticker,company,2003-2009,ticker,company,2004-2010,ticker,company,2005-2011,ticker,company,2006-2012,ticker,company,2007-2013,ticker,company,2008-2014,ticker,company,2009-2015,ticker,company,2010-2016,ticker,company,2011-2017,ticker,company,2012-2018,ticker,company
272,128.39%,GIS,General Mills,82.62%,PNR,Pentair Ltd.,40.08%,CCE,Coca-Cola Enterprises,50.14%,ITW,Illinois Tool Works,62.59%,LUV,Southwest Airlines,84.88%,DTE,DTE Energy,95.40%,AKS,AK Steel Holding Corp.,41.53%,DISH,Dish Network,-26.14%,TXT,Textron Inc.,-6.51%,HD,Home Depot,16.49%,FII,Federated Investors,32.58%,HSY,The Hershey Company,32.91%,MMC,Marsh & McLennan,26.56%,PCAR,PACCAR Inc.,170.25%,ICE,Intercontinental Exchange,48.25%,FMC,FMC Corporation,12.67%,FE,FirstEnergy Corp,91.18%,UDR,UDR Inc
273,128.31%,MGM,MGM Resorts International,81.71%,ETR,Entergy Corp.,39.81%,PSA,Public Storage,48.60%,GIS,General Mills,61.92%,HST,Host Hotels & Resorts,84.24%,SPGI,"S&P Global, Inc.",93.82%,NEE,NextEra Energy,40.62%,NTRS,Northern Trust Corp.,-26.38%,BBBY,Bed Bath & Beyond,-7.40%,BK,The Bank of New York Mellon Corp.,15.79%,GPS,Gap Inc.,31.95%,TSN,Tyson Foods,32.88%,AFL,AFLAC Inc,26.21%,RSG,Republic Services Inc,168.97%,GLW,Corning Inc.,47.70%,JBL,Jabil Circuit,11.37%,EXC,Exelon Corp.,90.48%,PSA,Public Storage
274,127.45%,MET,MetLife Inc.,81.70%,BXP,Boston Properties,39.52%,ZBH,Zimmer Biomet Holdings,48.58%,RCL,Royal Caribbean Cruises Ltd,61.46%,XOM,Exxon Mobil Corp.,83.33%,USB,U.S. Bancorp,92.96%,MYL,Mylan N.V.,40.07%,T,AT&T Inc,-27.16%,RDC,Rowan Companies Plc,-8.14%,FOX,Twenty-First Century Fox Class B,15.68%,MSFT,Microsoft Corp.,31.44%,CPB,Campbell Soup,32.82%,T,AT&T Inc,25.95%,LRCX,Lam Research,168.86%,MTB,M&T Bank Corp.,47.22%,VTR,Ventas Inc,11.19%,FFIV,F5 Networks,89.69%,FSLR,First Solar
275,126.84%,NOC,Northrop Grumman Corp.,81.08%,MYL,Mylan N.V.,39.14%,LMT,Lockheed Martin Corp.,48.47%,ZION,Zions Bancorp,60.40%,MO,Altria Group Inc,83.25%,IR,Ingersoll-Rand PLC,92.83%,URI,"United Rentals, Inc.",39.66%,EXR,Extra Space Storage,-27.31%,MDT,Medtronic plc,-10.90%,LOW,Lowe's Cos.,15.58%,SYK,Stryker Corp.,30.64%,GD,General Dynamics,32.76%,MDLZ,Mondelez International,25.25%,APC,Anadarko Petroleum Corp,168.76%,MKC,McCormick & Co.,46.05%,RL,Polo Ralph Lauren Corp.,10.96%,COTY,"Coty, Inc",88.81%,CVS,CVS Health
276,125.64%,COG,Cabot Oil & Gas,80.47%,ALK,Alaska Air Group Inc,38.65%,NFX,Newfield Exploration Co,47.29%,CL,Colgate-Palmolive,60.36%,CB,Chubb Corp,83.15%,PEP,PepsiCo Inc.,91.82%,SWK,Stanley Black & Decker,39.60%,DTE,DTE Energy,-28.11%,PFE,Pfizer Inc.,-10.93%,BBBY,Bed Bath & Beyond,14.05%,RHI,Robert Half International,30.52%,WM,Waste Management Inc.,32.05%,K,Kellogg Co.,25.17%,BRK.B,Berkshire Hathaway,168.24%,ORCL,Oracle Corp.,44.53%,CVX,Chevron Corp.,10.71%,MNK,Mallinckrodt,88.54%,OMC,Omnicom Group
277,125.55%,FII,Federated Investors,79.13%,MAA,Mid-America Apartments,38.48%,APD,Air Products & Chemicals Inc,46.49%,PRU,Prudential Financial,60.23%,AMAT,Applied Materials Inc,82.78%,NKE,Nike,91.23%,NKE,Nike,38.73%,KMB,Kimberly-Clark,-28.19%,ZION,Zions Bancorp,-12.60%,CINF,Cincinnati Financial,14.02%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,30.01%,PEP,PepsiCo Inc.,31.89%,DRI,Darden Restaurants,24.81%,XOM,Exxon Mobil Corp.,168.13%,TSS,Total System Services,41.34%,BAX,Baxter International Inc.,8.47%,NAVI,Navient,87.98%,WMT,Wal-Mart Stores
278,125.24%,RCL,Royal Caribbean Cruises Ltd,78.79%,PX,Praxair Inc.,37.79%,ADS,Alliance Data Systems,45.76%,ALB,Albemarle Corp,60.09%,AIV,Apartment Investment & Management,82.75%,CINF,Cincinnati Financial,91.03%,CCL,Carnival Corp.,38.61%,CPB,Campbell Soup,-31.30%,IGT,International Game Technology,-12.71%,SEE,Sealed Air,11.16%,TMK,Torchmark Corp.,29.95%,NTAP,NetApp,31.73%,CTL,CenturyLink Inc,24.58%,AFL,AFLAC Inc,168.00%,FMC,FMC Corporation,41.00%,SNI,Scripps Networks Interactive Inc.,7.52%,PYPL,PayPal,87.61%,CFG,Citizens Financial Group
279,122.77%,CNX,Consol Energy,78.72%,MAS,Masco Corp.,37.52%,TRV,The Travelers Companies Inc.,45.29%,ED,Consolidated Edison,60.07%,KSS,Kohl's,82.59%,STX,Seagate Technology,90.77%,PH,Parker-Hannifin,37.04%,DOV,Dover Corp.,-32.12%,NBR,Nabors Industries,-14.81%,CA,"CA, Inc.",10.06%,XLNX,Xilinx Inc,29.85%,ADM,Archer-Daniels-Midland Co,31.41%,DO,Diamond Offshore Drilling,22.04%,CBG,CBRE Group,167.29%,CME,CME Group Inc.,40.54%,THC,Tenet Healthcare,6.97%,GM,General Motors,87.19%,PBCT,People's United Financial
280,119.36%,FOXA,Twenty-First Century Fox Class A,78.40%,PNW,Pinnacle West Capital,37.29%,AAPL,Apple Inc.,44.77%,GS,Goldman Sachs Group,59.70%,RIG,Transocean,82.46%,CSX,CSX Corp.,88.59%,PEG,Public Serv. Enterprise Inc.,36.77%,A,Agilent Technologies Inc,-33.45%,AIV,Apartment Investment & Management,-16.04%,ZBH,Zimmer Biomet Holdings,9.93%,VLO,Valero Energy,29.60%,AMP,Ameriprise Financial,31.41%,NOC,Northrop Grumman Corp.,21.60%,MSFT,Microsoft Corp.,166.48%,PFG,Principal Financial Group,40.30%,EXPD,Expeditors International,5.79%,AES,AES Corp,86.51%,PVH,PVH Corp.
281,117.99%,AMT,American Tower Corp A,77.46%,ACN,Accenture plc,37.11%,SVU,Supervalu Inc.,44.56%,APD,Air Products & Chemicals Inc,59.69%,PAYX,Paychex Inc.,82.39%,WFC,Wells Fargo,87.13%,FIS,Fidelity National Information Services,36.77%,FOX,Twenty-First Century Fox Class B,-33.60%,MYL,Mylan N.V.,-16.84%,ALL,Allstate Corp,9.48%,PAYX,Paychex Inc.,29.53%,COL,Rockwell Collins,31.11%,AEP,American Electric Power,21.09%,LLL,L-3 Communications Holdings,165.13%,LM,Legg Mason,37.68%,ALLE,Allegion,5.62%,EXPD,Expeditors International,86.41%,CAT,Caterpillar Inc.
282,116.37%,CERN,Cerner,77.02%,NOC,Northrop Grumman Corp.,37.02%,SUN,Sunoco Inc.,43.22%,AIV,Apartment Investment & Management,59.50%,SCG,SCANA Corp,81.58%,COF,Capital One Financial,86.75%,HAL,Halliburton Co.,34.77%,GNW,Genworth Financial,-34.04%,PXD,Pioneer Natural Resources,-18.41%,NWL,Newell Brands,9.16%,MDLZ,Mondelez International,28.97%,EOG,EOG Resources,30.72%,RTN,Raytheon Co.,20.97%,LH,Laboratory Corp. of America Holding,165.10%,CCK,Crown Holdings,34.65%,XOM,Exxon Mobil Corp.,3.28%,FTI,TechnipFMC,85.39%,CNP,CenterPoint Energy
283,116.19%,ROK,Rockwell Automation Inc.,76.86%,BWA,BorgWarner,36.73%,TROW,T. Rowe Price Group,43.04%,PH,Parker-Hannifin,57.57%,K,Kellogg Co.,79.48%,MMM,3M Company,86.59%,CB,Chubb Corp,34.71%,CINF,Cincinnati Financial,-34.37%,AMP,Ameriprise Financial,-18.79%,WY,Weyerhaeuser Corp.,8.69%,WBA,Walgreens Boots Alliance,28.67%,BRK.B,Berkshire Hathaway,29.78%,AMGN,Amgen Inc,20.12%,PCG,PG&E Corp.,164.69%,DE,Deere & Co.,34.09%,MU,Micron Technology,-4.21%,APC,Anadarko Petroleum Corp,84.85%,AMD,Advanced Micro Devices
284,115.88%,ED,Consolidated Edison,76.71%,ED,Consolidated Edison,36.55%,MAR,Marriott Int'l.,42.89%,XL,XL Capital,57.17%,WY,Weyerhaeuser Corp.,79.48%,GNW,Genworth Financial,86.13%,RCL,Royal Caribbean Cruises Ltd,34.36%,PNW,Pinnacle West Capital,-35.32%,KLAC,KLA-Tencor Corp.,-20.08%,PFG,Principal Financial Group,8.41%,NRG,NRG Energy,28.46%,ETR,Entergy Corp.,29.37%,PEP,PepsiCo Inc.,19.91%,CTL,CenturyLink Inc,164.37%,DLR,Digital Realty,33.84%,ADM,Archer-Daniels-Midland Co,-4.79%,SRCL,Stericycle Inc,84.06%,CL,Colgate-Palmolive
285,115.26%,DTE,DTE Energy,74.81%,LH,Laboratory Corp. of America Holding,36.32%,PNC,PNC Financial Services,42.72%,AOS,A.O. Smith,56.90%,FOXA,Twenty-First Century Fox Class A,78.97%,AIZ,Assurant Inc,85.88%,PG,Procter & Gamble,34.29%,M,Macy's Inc.,-35.73%,SWKS,Skyworks Solutions,-20.82%,SIG,Signet Jewelers,7.81%,GM,General Motors,27.86%,EXPD,Expeditors International,29.20%,ATVI,Activision Blizzard,19.54%,GM,General Motors,163.45%,MDT,Medtronic plc,33.34%,MON,Monsanto Co.,-5.44%,NBL,Noble Energy Inc,83.23%,ED,Consolidated Edison
286,113.80%,MNST,Monster Beverage,73.44%,SJM,JM Smucker,36.26%,DVN,Devon Energy,42.59%,NTRS,Northern Trust Corp.,55.62%,HSIC,Henry Schein,78.76%,HRL,Hormel Foods Corp.,85.40%,MAT,Mattel Inc.,32.26%,MCHP,Microchip Technology,-36.24%,MAS,Masco Corp.,-21.31%,AVY,Avery Dennison Corp,6.04%,SIG,Signet Jewelers,27.77%,NOC,Northrop Grumman Corp.,29.17%,DISH,Dish Network,18.13%,T,AT&T Inc,162.83%,MAS,Masco Corp.,33.28%,GPS,Gap Inc.,-6.40%,WRK,WestRock Company,81.71%,WYNN,Wynn Resorts
287,113.01%,TXT,Textron Inc.,73.27%,FE,FirstEnergy Corp,36.15%,AGN,"Allergan, Inc",42.55%,BBT,BB&T Corporation,54.96%,STX,Seagate Technology,76.98%,DE,Deere & Co.,85.13%,HBAN,Huntington Bancshares,31.66%,CTL,CenturyLink Inc,-36.61%,DRE,Duke Realty Corp,-21.37%,M,Macy's Inc.,5.81%,NI,NiSource Inc.,27.43%,JNJ,Johnson & Johnson,28.39%,TMK,Torchmark Corp.,17.19%,ICE,Intercontinental Exchange,162.21%,MPC,Marathon Petroleum,32.22%,SYF,Synchrony Financial,-8.69%,OXY,Occidental Petroleum,81.34%,LM,Legg Mason
288,112.06%,FOX,Twenty-First Century Fox Class B,71.51%,HCP,HCP Inc.,35.34%,PX,Praxair Inc.,42.12%,MON,Monsanto Co.,54.39%,OMC,Omnicom Group,76.81%,FMC,FMC Corporation,83.78%,FHN,First Horizon,31.39%,BK,The Bank of New York Mellon Corp.,-36.62%,AVY,Avery Dennison Corp,-21.60%,MU,Micron Technology,5.76%,SEE,Sealed Air,27.30%,FL,Foot Locker Inc,28.18%,IVZ,Invesco Ltd.,17.02%,FLR,Fluor Corp.,161.94%,FRT,Federal Realty Investment Trust,29.81%,PBI,Pitney Bowes Inc,-11.93%,PBI,Pitney Bowes Inc,80.78%,OKE,ONEOK
289,111.42%,SNPS,Synopsys Inc.,71.12%,INTU,Intuit,34.01%,AEE,Ameren Corp,41.97%,SHW,Sherwin-Williams,54.33%,L,Loews Corp.,76.65%,RTN,Raytheon Co.,83.53%,MET,MetLife Inc.,31.12%,FISV,Fiserv Inc,-37.47%,LUV,Southwest Airlines,-21.89%,RCL,Royal Caribbean Cruises Ltd,5.05%,RE,Everest Re,26.85%,LEG,Leggett & Platt,28.10%,JNJ,Johnson & Johnson,16.13%,MNK,Mallinckrodt,161.92%,YUM,Yum! Brands Inc,28.89%,DGX,Quest Diagnostics,-12.53%,LUK,Leucadia National Corp.,80.63%,VAR,Varian Medical Systems
290,110.16%,COP,ConocoPhillips,70.61%,VFC,V.F. Corp.,33.97%,FOXA,Twenty-First Century Fox Class A,41.82%,DVA,DaVita,54.20%,PGR,Progressive Corp.,75.70%,PNW,Pinnacle West Capital,83.11%,TMK,Torchmark Corp.,30.83%,AES,AES Corp,-39.31%,CMA,Comerica Inc.,-22.03%,ADI,"Analog Devices, Inc.",5.04%,QEP,QEP Resources,26.71%,CBS,CBS Corp.,27.99%,MCHP,Microchip Technology,15.11%,COL,Rockwell Collins,160.09%,NVDA,Nvidia Corporation,28.12%,CSCO,Cisco Systems,-15.24%,ODP,Office Depot Inc.,80.63%,MYL,Mylan N.V.
291,108.17%,CCI,Crown Castle International Corp.,70.51%,WM,Waste Management Inc.,33.69%,PNW,Pinnacle West Capital,41.63%,AVY,Avery Dennison Corp,54.17%,GS,Goldman Sachs Group,73.47%,PNC,PNC Financial Services,82.56%,ALL,Allstate Corp,30.55%,KR,Kroger Co.,-39.60%,HBI,Hanesbrands Inc,-22.73%,CAH,Cardinal Health,4.71%,CSCO,Cisco Systems,26.22%,BMS,Bemis Company,27.27%,TSN,Tyson Foods,15.00%,NOV,National Oilwell Varco Inc.,158.87%,MS,Morgan Stanley,27.88%,PBCT,People's United Financial,-15.64%,KMI,Kinder Morgan,80.20%,BMS,Bemis Company
292,107.70%,RF,Regions Financial Corp.,70.40%,TSCO,Tractor Supply Company,33.53%,PNR,Pentair Ltd.,41.09%,HIG,Hartford Financial Svc.Gp.,54.17%,CVX,Chevron Corp.,72.32%,SNA,Snap-On Inc.,82.14%,UTX,United Technologies,28.71%,HBI,Hanesbrands Inc,-39.90%,CAH,Cardinal Health,-23.09%,DISH,Dish Network,4.46%,SBUX,Starbucks Corp.,26.21%,WYN,Wyndham Worldwide,26.78%,RE,Everest Re,14.81%,NWS,News Corp. Class B,157.47%,DRI,Darden Restaurants,26.19%,SYMC,Symantec Corp.,-15.95%,EVHC,Envision Healthcare,79.08%,MRK,Merck & Co.
293,107.08%,AMG,Affiliated Managers Group Inc,70.34%,DTE,DTE Energy,33.23%,NI,NiSource Inc.,40.84%,GE,General Electric,53.93%,NEE,NextEra Energy,72.08%,FIS,Fidelity National Information Services,81.85%,ABC,AmerisourceBergen Corp,27.73%,MAT,Mattel Inc.,-40.94%,CCE,Coca-Cola Enterprises,-24.46%,MYL,Mylan N.V.,4.04%,LLL,L-3 Communications Holdings,25.09%,PPL,PPL Corp.,26.75%,AMP,Ameriprise Financial,14.05%,NWSA,News Corp. Class A,156.41%,AIZ,Assurant Inc,25.84%,EQT,EQT Corporation,-16.61%,BBBY,Bed Bath & Beyond,79.00%,DVA,DaVita
294,105.82%,ARE,Alexandria Real Estate Equities Inc,70.07%,VZ,Verizon Communications,33.15%,PRGO,Perrigo,40.06%,BAX,Baxter International Inc.,53.77%,ALL,Allstate Corp,71.81%,RRD,R.R. Donnelley,81.54%,TMO,Thermo Fisher Scientific,27.66%,MSI,Motorola Solutions Inc.,-42.96%,DISH,Dish Network,-26.35%,TXT,Textron Inc.,4.02%,CMCSA,Comcast Corp.,24.87%,RSG,Republic Services Inc,26.66%,APA,Apache Corporation,13.84%,MON,Monsanto Co.,155.85%,CMA,Comerica Inc.,24.97%,BBBY,Bed Bath & Beyond,-20.31%,JNPR,Juniper Networks,77.22%,XEC,Cimarex Energy
295,105.42%,SWK,Stanley Black & Decker,68.93%,YUM,Yum! Brands Inc,32.90%,KR,Kroger Co.,39.90%,PG,Procter & Gamble,52.69%,MRO,Marathon Oil Corp.,70.98%,HAL,Halliburton Co.,80.83%,KEY,KeyCorp,27.64%,GIS,General Mills,-43.75%,GHC,Graham Holdings,-27.16%,EBAY,eBay,1.50%,REG,Regency Centers Corporation,24.15%,PEG,Public Serv. Enterprise Inc.,26.51%,PFE,Pfizer Inc.,12.63%,DWDP,DowDuPont,155.36%,SYK,Stryker Corp.,22.01%,QCOM,QUALCOMM Inc.,-21.87%,CTL,CenturyLink Inc,76.77%,DNB,Dun & Bradstreet
296,104.56%,HST,Host Hotels & Resorts,68.74%,COG,Cabot Oil & Gas,32.11%,NOC,Northrop Grumman Corp.,39.72%,PEP,PepsiCo Inc.,51.86%,AMD,Advanced Micro Devices,70.38%,SYY,Sysco Corp.,80.29%,NOC,Northrop Grumman Corp.,27.64%,MS,Morgan Stanley,-44.69%,DAL,Delta Air Lines,-28.36%,XLNX,Xilinx Inc,0.71%,ADSK,Autodesk Inc,24.11%,TMK,Torchmark Corp.,26.23%,RSG,Republic Services Inc,12.48%,SLG,SL Green Realty,154.14%,RE,Everest Re,20.82%,FTI,TechnipFMC,-22.21%,NWS,News Corp. Class B,76.43%,CTXS,Citrix Systems
297,104.22%,APD,Air Products & Chemicals Inc,68.12%,SVU,Supervalu Inc.,31.68%,STI,SunTrust Banks,39.65%,MLM,Martin Marietta Materials,51.71%,AVY,Avery Dennison Corp,69.41%,FISV,Fiserv Inc,79.70%,DISH,Dish Network,27.38%,WHR,Whirlpool Corp.,-45.37%,MS,Morgan Stanley,-28.50%,LUV,Southwest Airlines,0.12%,STT,State Street Corp.,24.06%,URI,"United Rentals, Inc.",26.08%,FOXA,Twenty-First Century Fox Class A,12.40%,MSI,Motorola Solutions Inc.,153.66%,RTN,Raytheon Co.,20.39%,CHRW,C. H. Robinson Worldwide,-24.31%,WPX,"WPX Energy, Inc.",76.43%,SJM,JM Smucker
298,103.09%,AEP,American Electric Power,67.50%,KEY,KeyCorp,31.57%,MAS,Masco Corp.,39.50%,NEE,NextEra Energy,49.95%,FIS,Fidelity National Information Services,68.35%,K,Kellogg Co.,79.19%,GNW,Genworth Financial,26.14%,MSFT,Microsoft Corp.,-45.93%,BAC,Bank of America Corp,-29.95%,PBI,Pitney Bowes Inc,0.02%,TSN,Tyson Foods,23.87%,DNR,Denbury Resources,25.76%,BEN,Franklin Resources,12.06%,MRK,Merck & Co.,152.77%,GHC,Graham Holdings,19.46%,IBM,International Business Machines,-25.34%,TPR,"Tapestry, Inc.",76.06%,NUE,Nucor Corp.
299,102.93%,BRK.B,Berkshire Hathaway,67.45%,EW,Edwards Lifesciences,30.91%,HSIC,Henry Schein,39.31%,ADSK,Autodesk Inc,49.60%,GIS,General Mills,67.04%,RDC,Rowan Companies Plc,78.88%,TGT,Target Corp.,25.92%,CAG,Conagra Brands,-46.28%,HBAN,Huntington Bancshares,-30.44%,MS,Morgan Stanley,-1.03%,TEL,TE Connectivity Ltd.,23.42%,LSI,LSI Corporation,25.58%,TAP,Molson Coors Brewing Company,11.57%,XRAY,Dentsply Sirona,152.70%,DRE,Duke Realty Corp,19.37%,SLB,Schlumberger Ltd.,-25.54%,NBR,Nabors Industries,75.71%,GPC,Genuine Parts
300,101.15%,MRO,Marathon Oil Corp.,67.39%,RCL,Royal Caribbean Cruises Ltd,29.75%,COP,ConocoPhillips,38.86%,HSY,The Hershey Company,48.91%,STT,State Street Corp.,65.81%,HOG,Harley-Davidson,78.77%,BBBY,Bed Bath & Beyond,25.46%,RF,Regions Financial Corp.,-47.99%,SNI,Scripps Networks Interactive Inc.,-30.54%,VIAB,Viacom Inc.,-1.11%,ANTM,Anthem Inc.,22.89%,FOXA,Twenty-First Century Fox Class A,25.33%,LLY,Lilly (Eli) & Co.,11.44%,AIZ,Assurant Inc,151.69%,SRCL,Stericycle Inc,15.78%,CFG,Citizens Financial Group,-25.68%,NWSA,News Corp. Class A,75.20%,DUK,Duke Energy
301,100.98%,ALB,Albemarle Corp,67.01%,CDNS,Cadence Design Systems,29.30%,WHR,Whirlpool Corp.,38.66%,SRE,Sempra Energy,48.10%,JWN,Nordstrom,65.13%,X,United States Steel Corporation,78.69%,SLB,Schlumberger Ltd.,24.31%,MTB,M&T Bank Corp.,-49.19%,DWDP,DowDuPont,-30.95%,F,Ford Motor,-1.53%,CAH,Cardinal Health,22.70%,TSS,Total System Services,25.32%,HUM,Humana Inc.,10.47%,NUE,Nucor Corp.,150.93%,TGT,Target Corp.,15.73%,BAC,Bank of America Corp,-31.04%,NRG,NRG Energy,73.65%,PWR,Quanta Services Inc.
302,99.64%,CAG,Conagra Brands,66.04%,EOG,EOG Resources,29.07%,GPC,Genuine Parts,37.68%,CLX,The Clorox Company,47.64%,HAL,Halliburton Co.,64.86%,FHN,First Horizon,78.38%,SCG,SCANA Corp,24.16%,ABT,Abbott Laboratories,-54.20%,SIG,Signet Jewelers,-32.59%,CMA,Comerica Inc.,-1.53%,AET,Aetna Inc,21.88%,HD,Home Depot,24.78%,PG,Procter & Gamble,10.42%,PBCT,People's United Financial,150.63%,HCN,Welltower Inc.,13.00%,INFO,IHS Markit Ltd.,-31.09%,NTAP,NetApp,73.35%,VZ,Verizon Communications
303,98.33%,ALK,Alaska Air Group Inc,65.62%,KMB,Kimberly-Clark,28.33%,DE,Deere & Co.,37.66%,FIS,Fidelity National Information Services,47.37%,FTI,TechnipFMC,63.45%,GWW,Grainger (W.W.) Inc.,77.36%,NE,Noble Corp,23.97%,KEY,KeyCorp,-55.47%,VIAB,Viacom Inc.,-32.92%,TEL,TE Connectivity Ltd.,-1.86%,ADBE,Adobe Systems Inc,21.71%,L,Loews Corp.,24.61%,STZ,Constellation Brands,10.05%,IQV,IQVIA,150.60%,ALL,Allstate Corp,11.52%,NYT,The New York Times Co.,-31.19%,NOV,National Oilwell Varco Inc.,73.12%,PM,Philip Morris International
304,98.28%,CAT,Caterpillar Inc.,64.75%,GPC,Genuine Parts,28.21%,WEC,Wec Energy Group Inc,36.50%,ADP,Automatic Data Processing,47.22%,NFLX,Netflix Inc.,63.29%,MDT,Medtronic plc,77.19%,FISV,Fiserv Inc,23.39%,IVZ,Invesco Ltd.,-55.90%,KEY,KeyCorp,-33.53%,DWDP,DowDuPont,-1.94%,WYN,Wyndham Worldwide,21.70%,ITT,ITT Corp.,24.61%,BIG,Big Lots Inc.,10.05%,Q,Qwest Communications,149.02%,ATVI,Activision Blizzard,11.23%,DF,Dean Foods,-35.65%,AKS,AK Steel Holding Corp.,72.90%,ALLE,Allegion
305,96.32%,SYMC,Symantec Corp.,64.10%,NKE,Nike,27.99%,HBAN,Huntington Bancshares,36.33%,CVX,Chevron Corp.,47.19%,FOX,Twenty-First Century Fox Class B,62.68%,MCHP,Microchip Technology,77.08%,ADBE,Adobe Systems Inc,23.19%,VZ,Verizon Communications,-57.29%,TEL,TE Connectivity Ltd.,-33.59%,KLAC,KLA-Tencor Corp.,-2.17%,BK,The Bank of New York Mellon Corp.,21.44%,ITW,Illinois Tool Works,24.49%,FOX,Twenty-First Century Fox Class B,9.51%,WIN,Windstream Holdings Inc,148.70%,GPN,Global Payments Inc,10.89%,ETR,Entergy Corp.,-38.68%,NEM,Newmont Mining Corporation,72.86%,MAC,Macerich
306,96.14%,BXP,Boston Properties,62.99%,RF,Regions Financial Corp.,27.74%,FOX,Twenty-First Century Fox Class B,36.08%,ALXN,Alexion Pharmaceuticals,47.18%,LEG,Leggett & Platt,62.40%,STT,State Street Corp.,76.19%,BHGE,"Baker Hughes, a GE Company",22.91%,UHS,"Universal Health Services, Inc.",-59.56%,LEN,Lennar Corp.,-33.62%,JBL,Jabil Circuit,-2.46%,CINF,Cincinnati Financial,21.12%,MMM,3M Company,24.45%,HAL,Halliburton Co.,8.59%,ESV,Ensco plc,147.94%,UTX,United Technologies,8.94%,FOSL,Fossil Group,-40.34%,X,United States Steel Corporation,72.64%,CPB,Campbell Soup
307,95.75%,AET,Aetna Inc,61.24%,MCK,McKesson Corp.,27.41%,ES,Eversource Energy,36.07%,OKE,ONEOK,45.37%,MAS,Masco Corp.,61.70%,AEP,American Electric Power,76.08%,ED,Consolidated Edison,22.86%,GT,Goodyear Tire & Rubber,-59.91%,NWL,Newell Brands,-33.66%,TSS,Total System Services,-2.58%,MTB,M&T Bank Corp.,20.53%,PFE,Pfizer Inc.,24.45%,BDX,Becton Dickinson,8.25%,SYK,Stryker Corp.,147.92%,VNO,Vornado Realty Trust,7.32%,GM,General Motors,-40.81%,WIN,Windstream Holdings Inc,72.37%,AKAM,Akamai Technologies Inc
308,94.69%,BCR,Bard (C.R.) Inc.,60.54%,FRT,Federal Realty Investment Trust,26.86%,MDLZ,Mondelez International,35.85%,JCI,Johnson Controls Inc,45.33%,CINF,Cincinnati Financial,61.22%,GIS,General Mills,74.79%,LNC,Lincoln National,22.78%,TXN,Texas Instruments,-59.95%,AAL,American Airlines Group,-33.87%,AMAT,Applied Materials Inc,-2.76%,FDX,FedEx Corporation,19.99%,DNB,Dun & Bradstreet,24.01%,HRS,Harris Corporation,7.71%,DGX,Quest Diagnostics,147.79%,GS,Goldman Sachs Group,6.87%,GLW,Corning Inc.,-42.80%,APA,Apache Corporation,71.29%,KSU,Kansas City Southern
309,94.44%,HRS,Harris Corporation,60.53%,EMR,Emerson Electric Company,26.61%,KEY,KeyCorp,35.76%,PVH,PVH Corp.,45.31%,BF.B,Brown-Forman Corp.,60.41%,BRK.B,Berkshire Hathaway,73.99%,AIV,Apartment Investment & Management,21.82%,SWK,Stanley Black & Decker,-60.56%,JBL,Jabil Circuit,-33.94%,PFE,Pfizer Inc.,-3.34%,M,Macy's Inc.,19.75%,BA,Boeing Company,23.82%,KR,Kroger Co.,6.20%,CCL,Carnival Corp.,147.76%,MMI,Motorola Mobility,5.47%,CTL,CenturyLink Inc,-43.29%,OI,Owens-Illinois,70.80%,NTAP,NetApp
310,94.23%,DIS,The Walt Disney Company,60.30%,SLG,SL Green Realty,25.80%,VRSN,Verisign Inc.,35.59%,KMB,Kimberly-Clark,45.29%,TAP,Molson Coors Brewing Company,60.31%,XOM,Exxon Mobil Corp.,73.48%,PBI,Pitney Bowes Inc,21.52%,AIV,Apartment Investment & Management,-60.84%,RF,Regions Financial Corp.,-35.03%,AMD,Advanced Micro Devices,-3.82%,HD,Home Depot,19.09%,MMC,Marsh & McLennan,23.50%,BCR,Bard (C.R.) Inc.,6.17%,EXPD,Expeditors International,146.99%,EIX,Edison Int'l,3.28%,TPR,"Tapestry, Inc.",-44.21%,RDC,Rowan Companies Plc,69.90%,CCK,Crown Holdings
311,93.82%,SCG,SCANA Corp,59.28%,OXY,Occidental Petroleum,25.48%,CVS,CVS Health,34.36%,X,United States Steel Corporation,45.16%,EFX,Equifax Inc.,60.18%,CVX,Chevron Corp.,71.58%,RIG,Transocean,21.22%,SIG,Signet Jewelers,-65.24%,UAL,United Continental Holdings,-35.27%,WYN,Wyndham Worldwide,-4.36%,CAG,Conagra Brands,19.03%,VRTX,Vertex Pharmaceuticals Inc,23.45%,SLB,Schlumberger Ltd.,6.12%,SAIC,SAIC,146.89%,VAR,Varian Medical Systems,3.26%,EVHC,Envision Healthcare,-44.54%,THC,Tenet Healthcare,69.31%,T,AT&T Inc
