,1995-2001,ticker,company,1996-2002,ticker,company,1997-2003,ticker,company,1998-2004,ticker,company,1999-2005,ticker,company,2000-2006,ticker,company,2001-2007,ticker,company,2002-2008,ticker,company,2003-2009,ticker,company,2004-2010,ticker,company,2005-2011,ticker,company,2006-2012,ticker,company,2007-2013,ticker,company,2008-2014,ticker,company,2009-2015,ticker,company,2010-2016,ticker,company,2011-2017,ticker,company,2012-2018,ticker,company
28,853.33%,VRTX,Vertex Pharmaceuticals Inc,526.88%,IGT,International Game Technology,321.49%,IGT,International Game Technology,361.49%,PHM,Pulte Homes Inc.,459.71%,BLK,BlackRock,566.09%,JBHT,J. B. Hunt Transport Services,523.29%,FRT,Federal Realty Investment Trust,589.14%,GOOG,Alphabet Inc Class C,368.80%,CCI,Crown Castle International Corp.,336.55%,LKQ,LKQ Corporation,286.50%,FCX,Freeport-McMoRan Inc.,241.55%,EW,Edwards Lifesciences,228.12%,FTI,TechnipFMC,294.24%,LYB,LyondellBasell,796.46%,HBI,Hanesbrands Inc,373.29%,GILD,Gilead Sciences,203.09%,CINF,Cincinnati Financial,395.44%,V,Visa Inc.
29,848.65%,IVZ,Invesco Ltd.,525.93%,DLTR,Dollar Tree,321.03%,SLM,SLM Corporation,360.69%,SYK,Stryker Corp.,453.76%,PCAR,PACCAR Inc.,563.57%,HUM,Humana Inc.,522.11%,RRC,Range Resources Corp.,584.67%,CF,CF Industries Holdings Inc,357.79%,ESRX,Express Scripts,335.61%,CERN,Cerner,285.02%,PRGO,Perrigo,235.43%,FMC,FMC Corporation,221.59%,FMC,FMC Corporation,290.74%,CHTR,Charter Communications,744.92%,KMX,Carmax Inc,369.36%,AZO,AutoZone Inc,198.74%,LYB,LyondellBasell,394.98%,CNC,Centene Corporation
30,831.25%,UHS,"Universal Health Services, Inc.",510.91%,MNST,Monster Beverage,301.55%,HOG,Harley-Davidson,360.62%,NTAP,NetApp,448.73%,FLIR,FLIR Systems,555.62%,HSIC,Henry Schein,516.04%,GRMN,Garmin Ltd.,580.33%,SHLD,Sears Holding Corporation,341.51%,MCD,McDonald's Corp.,333.40%,EOG,EOG Resources,273.48%,OXY,Occidental Petroleum,224.98%,COG,Cabot Oil & Gas,220.57%,TJX,TJX Companies Inc.,290.33%,COG,Cabot Oil & Gas,730.89%,ALK,Alaska Air Group Inc,363.66%,HRL,Hormel Foods Corp.,193.21%,SAIC,SAIC,390.91%,HD,Home Depot
31,820.22%,ADI,"Analog Devices, Inc.",496.71%,VRSN,Verisign Inc.,297.19%,MNST,Monster Beverage,359.26%,SBR,Sabre Holdings,444.30%,EXPD,Expeditors International,554.98%,BLK,BlackRock,514.73%,SLG,SL Green Realty,572.78%,ANSS,ANSYS,328.17%,HOLX,Hologic,329.77%,OXY,Occidental Petroleum,261.09%,AKAM,Akamai Technologies Inc,218.41%,ICE,Intercontinental Exchange,216.98%,GWW,Grainger (W.W.) Inc.,281.99%,FL,Foot Locker Inc,705.59%,DISH,Dish Network,357.09%,SHW,Sherwin-Williams,191.02%,DF,Dean Foods,387.53%,CTAS,Cintas Corporation
32,800.29%,STT,State Street Corp.,490.62%,FOSL,Fossil Group,296.10%,VAR,Varian Medical Systems,356.65%,AMGN,Amgen Inc,442.94%,CME,CME Group Inc.,542.58%,ISRG,Intuitive Surgical Inc.,500.89%,VLO,Valero Energy,565.69%,OXY,Occidental Petroleum,325.70%,FFIV,F5 Networks,328.90%,CRM,Salesforce.com,256.46%,REGN,Regeneron,217.55%,LKQ,LKQ Corporation,214.55%,EL,Estee Lauder Cos.,281.66%,PXD,Pioneer Natural Resources,692.82%,CBG,CBRE Group,356.36%,SNA,Snap-On Inc.,188.89%,RE,Everest Re,378.90%,APTV,Aptiv Plc
33,800.00%,CTXS,Citrix Systems,490.53%,MSFT,Microsoft Corp.,295.41%,SYY,Sysco Corp.,350.39%,BBBY,Bed Bath & Beyond,441.78%,ADBE,Adobe Systems Inc,534.00%,GPN,Global Payments Inc,488.24%,JWN,Nordstrom,560.34%,FLIR,FLIR Systems,313.50%,PBCT,People's United Financial,328.25%,AKS,AK Steel Holding Corp.,256.37%,CERN,Cerner,211.32%,SWKS,Skyworks Solutions,211.56%,MNST,Monster Beverage,277.65%,GRA,W.R. Grace,647.29%,EXPE,Expedia Inc.,355.75%,DAL,Delta Air Lines,175.25%,DLTR,Dollar Tree,377.99%,BSX,Boston Scientific
34,792.83%,NBR,Nabors Industries,477.30%,COST,Costco Wholesale Corp.,288.30%,MHK,Mohawk Industries,342.87%,ESRX,Express Scripts,439.37%,MGM,MGM Resorts International,530.19%,IGT,International Game Technology,487.90%,ISRG,Intuitive Surgical Inc.,550.32%,CNX,Consol Energy,300.26%,VTR,Ventas Inc,325.59%,DNR,Denbury Resources,253.73%,CSX,CSX Corp.,210.02%,BIG,Big Lots Inc.,207.68%,FLS,Flowserve Corporation,277.62%,EXR,Extra Space Storage,641.14%,CRM,Salesforce.com,353.94%,LYB,LyondellBasell,173.70%,CAG,Conagra Brands,372.62%,UNH,United Health Group Inc.
35,784.67%,GILD,Gilead Sciences,468.49%,PAYX,Paychex Inc.,272.12%,UNH,United Health Group Inc.,340.70%,XLNX,Xilinx Inc,415.23%,SIG,Signet Jewelers,525.97%,SRCL,Stericycle Inc,487.25%,ANDV,Andeavor,538.76%,HUM,Humana Inc.,286.55%,DNR,Denbury Resources,322.07%,FFIV,F5 Networks,253.19%,TDG,TransDigm Group,201.70%,TJX,TJX Companies Inc.,207.39%,ESRX,Express Scripts,275.76%,PVH,PVH Corp.,638.00%,CBS,CBS Corp.,352.84%,KR,Kroger Co.,168.53%,BMY,Bristol-Myers Squibb,372.44%,CI,CIGNA Corp.
36,778.11%,AMGN,Amgen Inc,463.64%,LOW,Lowe's Cos.,266.42%,DF,Dean Foods,336.78%,AJG,Arthur J. Gallagher & Co.,414.37%,WYNN,Wynn Resorts,525.66%,CLF,Cliffs Natural Resources,486.67%,GRA,W.R. Grace,536.84%,HAL,Halliburton Co.,281.14%,CHRW,C. H. Robinson Worldwide,314.01%,VRTX,Vertex Pharmaceuticals Inc,252.21%,SRCL,Stericycle Inc,196.32%,CRM,Salesforce.com,205.56%,V,Visa Inc.,273.24%,ILMN,Illumina Inc,632.68%,DFS,Discover Financial Services,350.23%,FBHS,Fortune Brands Home & Security,167.11%,PSA,Public Storage,369.87%,SHW,Sherwin-Williams
37,762.80%,BK,The Bank of New York Mellon Corp.,454.89%,IBM,International Business Machines,264.61%,TSCO,Tractor Supply Company,324.24%,PDCO,Patterson Companies,406.26%,DHI,D. R. Horton,514.04%,SBR,Sabre Holdings,481.43%,GGP,General Growth Properties Inc.,527.60%,TPR,"Tapestry, Inc.",272.80%,HUM,Humana Inc.,310.92%,CMI,Cummins Inc.,246.28%,CTSH,Cognizant Technology Solutions,192.51%,UNP,Union Pacific,204.77%,ANSS,ANSYS,272.27%,EL,Estee Lauder Cos.,630.67%,F,Ford Motor,342.03%,NOC,Northrop Grumman Corp.,166.56%,GOOGL,Alphabet Inc Class A,362.66%,MCO,Moody's Corp
