,1995-2000,ticker,company,1996-2001,ticker,company,1997-2002,ticker,company,1998-2003,ticker,company,1999-2004,ticker,company,2000-2005,ticker,company,2001-2006,ticker,company,2002-2007,ticker,company,2003-2008,ticker,company,2004-2009,ticker,company,2005-2010,ticker,company,2006-2011,ticker,company,2007-2012,ticker,company,2008-2013,ticker,company,2009-2014,ticker,company,2010-2015,ticker,company,2011-2016,ticker,company,2012-2017,ticker,company,2013-2018,ticker,company
20,943.09%,INTC,Intel Corp.,690.99%,IVZ,Invesco Ltd.,425.76%,GILD,Gilead Sciences,245.12%,EXPD,Expeditors International,339.11%,URBN,Urban Outfitters,480.16%,VAR,Varian Medical Systems,502.88%,VLO,Valero Energy,456.23%,GRMN,Garmin Ltd.,720.99%,ANSS,ANSYS,210.61%,CHRW,C. H. Robinson Worldwide,271.64%,RRC,Range Resources Corp.,251.43%,CLF,Cliffs Natural Resources,187.90%,FFIV,F5 Networks,195.44%,AOS,A.O. Smith,677.67%,AMZN,Amazon.com Inc,415.96%,SWKS,Skyworks Solutions,322.34%,HD,Home Depot,205.29%,APH,Amphenol Corp,361.07%,CBOE,CBOE Holdings
21,870.00%,XLNX,Xilinx Inc,685.05%,PAYX,Paychex Inc.,421.37%,ESRX,Express Scripts,244.31%,HOG,Harley-Davidson,324.82%,SIG,Signet Jewelers,479.01%,PHM,Pulte Homes Inc.,494.63%,RRC,Range Resources Corp.,442.78%,CBG,CBRE Group,714.26%,ATVI,Activision Blizzard,206.61%,GOOGL,Alphabet Inc Class A,269.93%,CLF,Cliffs Natural Resources,251.30%,GRA,W.R. Grace,181.29%,CRM,Salesforce.com,193.42%,SHW,Sherwin-Williams,660.07%,COO,The Cooper Companies,406.15%,SIG,Signet Jewelers,319.43%,ORLY,O'Reilly Automotive,203.58%,LOW,Lowe's Cos.,347.12%,BSX,Boston Scientific
22,838.25%,TIF,Tiffany & Co.,674.47%,DISH,Dish Network,420.01%,WMT,Wal-Mart Stores,241.24%,INTU,Intuit,323.55%,APH,Amphenol Corp,442.94%,CME,CME Group Inc.,492.55%,JBHT,J. B. Hunt Transport Services,430.52%,SLG,SL Green Realty,686.86%,VLO,Valero Energy,203.40%,CME,CME Group Inc.,268.10%,SBAC,SBA Communications,247.60%,DLTR,Dollar Tree,179.81%,REGN,Regeneron,192.65%,EL,Estee Lauder Cos.,634.35%,ALXN,Alexion Pharmaceuticals,405.30%,ORLY,O'Reilly Automotive,308.48%,KR,Kroger Co.,202.36%,LYB,LyondellBasell,342.14%,UNH,United Health Group Inc.
23,836.25%,COF,Capital One Financial,664.98%,JNPR,Juniper Networks,410.29%,WAT,Waters Corporation,239.51%,SBR,Sabre Holdings,322.29%,LEN,Lennar Corp.,440.42%,LH,Laboratory Corp. of America Holding,488.86%,ATVI,Activision Blizzard,425.39%,AET,Aetna Inc,653.10%,HUM,Humana Inc.,203.07%,HOLX,Hologic,255.10%,FLS,Flowserve Corporation,220.66%,FOSL,Fossil Group,173.98%,AZO,AutoZone Inc,189.36%,FL,Foot Locker Inc,632.38%,UAA,Under Armour,390.55%,CNC,Centene Corporation,305.01%,CELG,Celgene Corp.,197.27%,CINF,Cincinnati Financial,338.15%,TSN,Tyson Foods
24,828.89%,ETFC,E*Trade,646.41%,CELG,Celgene Corp.,410.24%,AJG,Arthur J. Gallagher & Co.,237.64%,TPR,"Tapestry, Inc.",318.99%,SBR,Sabre Holdings,423.12%,HSIC,Henry Schein,484.90%,JCP,J.C. Penney,424.77%,TSCO,Tractor Supply Company,627.99%,GLW,Corning Inc.,202.87%,PBCT,People's United Financial,248.06%,CXO,Concho Resources,214.71%,ICE,Intercontinental Exchange,172.09%,CLF,Cliffs Natural Resources,175.73%,ORLY,O'Reilly Automotive,619.58%,TDG,TransDigm Group,374.07%,HBI,Hanesbrands Inc,302.45%,SBUX,Starbucks Corp.,195.42%,MAR,Marriott Int'l.,331.11%,CHTR,Charter Communications
25,820.99%,DLTR,Dollar Tree,631.93%,JCI,Johnson Controls Inc,403.39%,EXPD,Expeditors International,237.35%,LLL,L-3 Communications Holdings,308.10%,FCX,Freeport-McMoRan Inc.,417.17%,GILD,Gilead Sciences,472.69%,EBAY,eBay,422.64%,JWN,Nordstrom,608.28%,AES,AES Corp,194.14%,EOG,EOG Resources,225.71%,BLK,BlackRock,210.11%,INCY,Incyte,171.64%,MNST,Monster Beverage,174.86%,CERN,Cerner,618.20%,FOSL,Fossil Group,371.11%,DFS,Discover Financial Services,276.91%,LMT,Lockheed Martin Corp.,191.27%,IT,Gartner Inc,322.08%,AMD,Advanced Micro Devices
26,805.05%,MS,Morgan Stanley,626.25%,CTSH,Cognizant Technology Solutions,388.82%,JCI,Johnson Controls Inc,236.80%,UNH,United Health Group Inc.,282.21%,APA,Apache Corporation,414.37%,WYNN,Wynn Resorts,467.37%,GILD,Gilead Sciences,416.35%,HAL,Halliburton Co.,602.89%,ADSK,Autodesk Inc,181.54%,MCD,McDonald's Corp.,221.58%,GOOG,Alphabet Inc Class C,209.18%,FMC,FMC Corporation,171.02%,CERN,Cerner,173.57%,SBUX,Starbucks Corp.,604.62%,F,Ford Motor,367.31%,WYN,Wyndham Worldwide,275.49%,AMZN,Amazon.com Inc,185.66%,SEE,Sealed Air,313.63%,CTAS,Cintas Corporation
27,780.73%,INCY,Incyte,622.14%,BBY,Best Buy Co. Inc.,370.76%,HOG,Harley-Davidson,228.51%,KSS,Kohl's,279.12%,BLK,BlackRock,414.31%,SBUX,Starbucks Corp.,457.95%,FFIV,F5 Networks,406.73%,ANDV,Andeavor,589.14%,GOOGL,Alphabet Inc Class A,181.01%,ANSS,ANSYS,221.58%,GOOGL,Alphabet Inc Class A,204.87%,FLS,Flowserve Corporation,168.09%,LKQ,LKQ Corporation,172.39%,LYB,LyondellBasell,579.81%,AAPL,Apple Inc.,366.80%,IT,Gartner Inc,271.85%,VLO,Valero Energy,183.56%,JPM,JPMorgan Chase & Co.,311.56%,AOS,A.O. Smith
28,759.54%,JCI,Johnson Controls Inc,612.54%,MS,Morgan Stanley,366.17%,HD,Home Depot,220.35%,LOW,Lowe's Cos.,275.97%,PCAR,PACCAR Inc.,412.89%,GGP,General Growth Properties Inc.,446.25%,ANDV,Andeavor,406.21%,GGP,General Growth Properties Inc.,572.71%,NOV,National Oilwell Varco Inc.,172.26%,BLK,BlackRock,210.10%,CERN,Cerner,193.87%,AZO,AutoZone Inc,167.76%,COG,Cabot Oil & Gas,171.05%,AAPL,Apple Inc.,560.44%,TJX,TJX Companies Inc.,358.70%,SHW,Sherwin-Williams,270.66%,FL,Foot Locker Inc,182.54%,HAS,Hasbro Inc.,308.10%,AET,Aetna Inc
29,749.95%,EXPD,Expeditors International,611.64%,ALXN,Alexion Pharmaceuticals,357.85%,COF,Capital One Financial,220.27%,ESRX,Express Scripts,268.29%,ATVI,Activision Blizzard,409.18%,CNX,Consol Energy,405.05%,GGP,General Growth Properties Inc.,400.40%,FCX,Freeport-McMoRan Inc.,507.83%,ESRX,Express Scripts,171.23%,PWR,Quanta Services Inc.,209.53%,MON,Monsanto Co.,192.24%,ALB,Albemarle Corp,166.27%,FAST,Fastenal Co,170.80%,AMZN,Amazon.com Inc,540.14%,DISH,Dish Network,357.31%,VFC,V.F. Corp.,269.80%,LVLT,Level 3 Communications,181.25%,RE,Everest Re,306.36%,ANTM,Anthem Inc.
