,1995-2000,ticker,company,1996-2001,ticker,company,1997-2002,ticker,company,1998-2003,ticker,company,1999-2004,ticker,company,2000-2005,ticker,company,2001-2006,ticker,company,2002-2007,ticker,company,2003-2008,ticker,company,2004-2009,ticker,company,2005-2010,ticker,company,2006-2011,ticker,company,2007-2012,ticker,company,2008-2013,ticker,company,2009-2014,ticker,company,2010-2015,ticker,company,2011-2016,ticker,company,2012-2017,ticker,company,2013-2018,ticker,company
250,103.38%,SRCL,Stericycle Inc,90.30%,UNH,United Health Group Inc.,60.30%,SLG,SL Green Realty,17.81%,LEG,Leggett & Platt,43.90%,CLF,Cliffs Natural Resources,75.75%,AFL,AFLAC Inc,78.96%,SWK,Stanley Black & Decker,89.21%,CCL,Carnival Corp.,-25.56%,MU,Micron Technology,-36.32%,SWKS,Skyworks Solutions,-9.28%,ANDV,Andeavor,14.10%,ESV,Ensco plc,19.56%,MMM,3M Company,3.91%,XOM,Exxon Mobil Corp.,93.72%,FRT,Federal Realty Investment Trust,82.08%,TROW,T. Rowe Price Group,40.11%,DOV,Dover Corp.,6.31%,AES,AES Corp,78.58%,CA,"CA, Inc."
251,103.28%,MGM,MGM Resorts International,90.27%,LH,Laboratory Corp. of America Holding,60.12%,HCP,HCP Inc.,17.54%,FOXA,Twenty-First Century Fox Class A,43.83%,SUN,Sunoco Inc.,74.56%,WFC,Wells Fargo,78.49%,PEG,Public Serv. Enterprise Inc.,88.97%,RF,Regions Financial Corp.,-26.21%,XL,XL Capital,-37.79%,FOXA,Twenty-First Century Fox Class A,-9.33%,MDLZ,Mondelez International,14.02%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,19.40%,SLB,Schlumberger Ltd.,3.50%,BDX,Becton Dickinson,91.20%,GHC,Graham Holdings,81.62%,ED,Consolidated Edison,39.32%,JWN,Nordstrom,6.29%,PBI,Pitney Bowes Inc,78.22%,VAR,Varian Medical Systems
252,103.03%,PHM,Pulte Homes Inc.,90.16%,NEE,NextEra Energy,59.96%,CVX,Chevron Corp.,17.44%,AAP,Advance Auto Parts,43.58%,GHC,Graham Holdings,74.51%,IRM,Iron Mountain Incorporated,77.58%,HBAN,Huntington Bancshares,88.89%,ROST,Ross Stores,-37.26%,SLM,SLM Corporation,-38.50%,GE,General Electric,-10.56%,BK,The Bank of New York Mellon Corp.,13.77%,MSFT,Microsoft Corp.,18.62%,MMC,Marsh & McLennan,2.30%,GOOG,Alphabet Inc Class C,90.96%,ALL,Allstate Corp,80.34%,PEP,PepsiCo Inc.,38.23%,DNB,Dun & Bradstreet,5.07%,LUK,Leucadia National Corp.,77.92%,COF,Capital One Financial
253,102.44%,EQR,Equity Residential,90.16%,ETR,Entergy Corp.,59.59%,BEN,Franklin Resources,17.24%,MRK,Merck & Co.,42.27%,HOLX,Hologic,74.48%,X,United States Steel Corporation,77.36%,URI,"United Rentals, Inc.",88.55%,ES,Eversource Energy,-37.96%,LVLT,Level 3 Communications,-38.51%,GPS,Gap Inc.,-10.92%,FTR,Frontier Communications,12.95%,UNM,Unum Group,18.60%,PG,Procter & Gamble,2.30%,GOOGL,Alphabet Inc Class A,90.35%,GD,General Dynamics,79.96%,HRB,Block H&R,37.68%,ALLE,Allegion,4.90%,EXC,Exelon Corp.,77.83%,O,Realty Income Corporation
254,101.59%,PSA,Public Storage,87.06%,MUR,Murphy Oil,59.56%,EOG,EOG Resources,16.58%,MO,Altria Group Inc,42.12%,MON,Monsanto Co.,73.41%,COL,Rockwell Collins,76.93%,VFC,V.F. Corp.,88.39%,SLM,SLM Corporation,-42.49%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,-38.94%,PFE,Pfizer Inc.,-11.29%,SEE,Sealed Air,12.66%,TMK,Torchmark Corp.,18.46%,FSLR,First Solar,2.20%,TXN,Texas Instruments,87.98%,PHM,Pulte Homes Inc.,76.41%,BLK,BlackRock,37.19%,TGT,Target Corp.,2.97%,NTAP,NetApp,77.08%,CCI,Crown Castle International Corp.
255,101.32%,DWDP,DowDuPont,86.33%,CVX,Chevron Corp.,59.44%,GPS,Gap Inc.,16.58%,WY,Weyerhaeuser Corp.,41.50%,CERN,Cerner,72.00%,RRD,R.R. Donnelley,75.37%,TJX,TJX Companies Inc.,85.96%,LLL,L-3 Communications Holdings,-47.19%,DFS,Discover Financial Services,-39.60%,HBI,Hanesbrands Inc,-13.22%,AMAT,Applied Materials Inc,11.48%,WFC,Wells Fargo,18.18%,CELG,Celgene Corp.,2.15%,NEM,Newmont Mining Corporation,85.42%,DLR,Digital Realty,76.02%,MCD,McDonald's Corp.,37.09%,UTX,United Technologies,1.41%,IBM,International Business Machines,76.93%,CERN,Cerner
256,100.15%,CPB,Campbell Soup,85.57%,T,AT&T Inc,59.37%,PG,Procter & Gamble,15.96%,PNR,Pentair Ltd.,41.18%,ALB,Albemarle Corp,71.51%,ENDP,Endo International plc,72.60%,UNP,Union Pacific,85.21%,EMN,Eastman Chemical,-56.96%,NYT,The New York Times Co.,-41.36%,BBBY,Bed Bath & Beyond,-13.24%,FDX,FedEx Corporation,11.43%,PBCT,People's United Financial,17.61%,LH,Laboratory Corp. of America Holding,1.89%,ZBH,Zimmer Biomet Holdings,84.96%,NE,Noble Corp,75.89%,QCOM,QUALCOMM Inc.,36.84%,CCL,Carnival Corp.,-0.58%,SRCL,Stericycle Inc,76.67%,CMI,Cummins Inc.
257,97.50%,DRE,Duke Realty Corp,84.50%,ALK,Alaska Air Group Inc,59.26%,MON,Monsanto Co.,15.47%,EFX,Equifax Inc.,40.95%,ES,Eversource Energy,70.86%,UTX,United Technologies,72.08%,FIS,Fidelity National Information Services,84.68%,OI,Owens-Illinois,-69.02%,THC,Tenet Healthcare,-41.45%,IR,Ingersoll-Rand PLC,-13.87%,FOX,Twenty-First Century Fox Class B,9.32%,RCL,Royal Caribbean Cruises Ltd,17.27%,BAX,Baxter International Inc.,1.89%,HST,Host Hotels & Resorts,84.44%,BRK.B,Berkshire Hathaway,74.40%,NOV,National Oilwell Varco Inc.,36.47%,ADM,Archer-Daniels-Midland Co,-6.40%,WRK,WestRock Company,76.57%,STX,Seagate Technology
258,94.98%,DIS,The Walt Disney Company,83.79%,KEY,KeyCorp,58.75%,GGP,General Growth Properties Inc.,14.78%,NE,Noble Corp,40.21%,FE,FirstEnergy Corp,70.56%,PCG,PG&E Corp.,70.92%,TGT,Target Corp.,83.64%,CB,Chubb Corp,nan%,KG,King Pharmaceuticals Inc.,-41.82%,CCE,Coca-Cola Enterprises,-14.49%,MU,Micron Technology,9.21%,DGX,Quest Diagnostics,17.16%,DGX,Quest Diagnostics,1.70%,IRM,Iron Mountain Incorporated,83.18%,MCD,McDonald's Corp.,74.32%,ISRG,Intuitive Surgical Inc.,36.08%,PCG,PG&E Corp.,-7.68%,APC,Anadarko Petroleum Corp,75.75%,HSY,The Hershey Company
259,93.09%,SVU,Supervalu Inc.,83.32%,MO,Altria Group Inc,58.27%,PBI,Pitney Bowes Inc,14.66%,APD,Air Products & Chemicals Inc,40.19%,PNR,Pentair Ltd.,69.90%,K,Kellogg Co.,69.62%,BBBY,Bed Bath & Beyond,83.63%,MCD,McDonald's Corp.,1846.55%,SWN,Southwestern Energy,-41.95%,CAH,Cardinal Health,-14.53%,LOW,Lowe's Cos.,9.15%,IPG,Interpublic Group,17.11%,IRM,Iron Mountain Incorporated,0.56%,WIN,Windstream Holdings Inc,81.78%,VNO,Vornado Realty Trust,72.56%,LLL,L-3 Communications Holdings,36.04%,CA,"CA, Inc.",-8.16%,NBR,Nabors Industries,75.17%,EBAY,eBay
260,92.48%,AVB,"AvalonBay Communities, Inc.",83.13%,MAS,Masco Corp.,57.69%,CAT,Caterpillar Inc.,14.53%,COP,ConocoPhillips,39.70%,RSG,Republic Services Inc,69.86%,XL,XL Capital,68.88%,DHR,Danaher Corp.,83.43%,SO,Southern Co.,1673.16%,EQIX,Equinix,-42.07%,SEE,Sealed Air,-14.64%,NBR,Nabors Industries,9.13%,TSN,Tyson Foods,17.01%,CAG,Conagra Brands,-1.48%,BA,Boeing Company,81.07%,DRE,Duke Realty Corp,72.41%,CVX,Chevron Corp.,34.86%,SYMC,Symantec Corp.,-8.80%,FE,FirstEnergy Corp,74.78%,EIX,Edison Int'l
261,91.94%,DVN,Devon Energy,83.03%,AON,Aon plc,57.15%,COP,ConocoPhillips,14.48%,ITW,Illinois Tool Works,39.62%,BA,Boeing Company,68.61%,HRL,Hormel Foods Corp.,68.57%,MAR,Marriott Int'l.,82.66%,XRAY,Dentsply Sirona,1235.71%,GRA,W.R. Grace,-42.31%,NBR,Nabors Industries,-14.98%,PFE,Pfizer Inc.,8.62%,NI,NiSource Inc.,16.89%,NLSN,Nielsen Holdings,-1.67%,NWL,Newell Brands,80.45%,AVY,Avery Dennison Corp,71.27%,KO,Coca-Cola Company,34.56%,HCP,HCP Inc.,-10.26%,CTL,CenturyLink Inc,73.35%,PFE,Pfizer Inc.
262,91.44%,SWK,Stanley Black & Decker,81.94%,ROP,Roper Technologies,57.09%,EFX,Equifax Inc.,14.37%,GWW,Grainger (W.W.) Inc.,39.59%,NUE,Nucor Corp.,68.36%,ED,Consolidated Edison,68.41%,RJF,Raymond James Financial Inc.,82.59%,RTN,Raytheon Co.,857.52%,WYNN,Wynn Resorts,-42.59%,ZBH,Zimmer Biomet Holdings,-15.52%,TSS,Total System Services,7.81%,GM,General Motors,16.46%,CTL,CenturyLink Inc,-1.71%,GPN,Global Payments Inc,80.19%,ED,Consolidated Edison,71.20%,MRO,Marathon Oil Corp.,33.19%,AIG,"American International Group, Inc.",-10.34%,FSLR,First Solar,73.29%,MKC,McCormick & Co.
263,90.91%,DRI,Darden Restaurants,79.58%,CAT,Caterpillar Inc.,56.60%,PNW,Pinnacle West Capital,14.35%,CLX,The Clorox Company,39.31%,TXN,Texas Instruments,67.73%,ROP,Roper Technologies,67.35%,DE,Deere & Co.,82.57%,RMD,ResMed,791.91%,CNX,Consol Energy,-42.92%,SVU,Supervalu Inc.,-15.66%,SHLD,Sears Holding Corporation,7.51%,MYL,Mylan N.V.,16.22%,ITW,Illinois Tool Works,-2.36%,NOV,National Oilwell Varco Inc.,79.87%,CHK,Chesapeake Energy,71.01%,GOOGL,Alphabet Inc Class A,31.76%,MAT,Mattel Inc.,-13.77%,PRGO,Perrigo,72.90%,ALLE,Allegion
264,90.42%,CAT,Caterpillar Inc.,78.50%,JEC,Jacobs Engineering Group,56.51%,REG,Regency Centers Corporation,14.16%,OKE,ONEOK,38.28%,AVY,Avery Dennison Corp,67.52%,CINF,Cincinnati Financial,66.99%,ABC,AmerisourceBergen Corp,82.26%,CERN,Cerner,649.71%,PWR,Quanta Services Inc.,-42.94%,SBUX,Starbucks Corp.,-16.54%,KLAC,KLA-Tencor Corp.,6.74%,ITT,ITT Corp.,16.19%,URBN,Urban Outfitters,-2.51%,ANDV,Andeavor,79.40%,MON,Monsanto Co.,70.70%,MET,MetLife Inc.,30.26%,BAC,Bank of America Corp,-13.94%,FTR,Frontier Communications,72.10%,PSA,Public Storage
265,89.53%,BA,Boeing Company,77.24%,ITT,ITT Corp.,56.24%,LSI,LSI Corporation,13.02%,SHW,Sherwin-Williams,38.00%,FOX,Twenty-First Century Fox Class B,67.47%,UNP,Union Pacific,66.33%,NKE,Nike,82.01%,IFF,Intl Flavors & Fragrances,580.33%,SHLD,Sears Holding Corporation,-43.27%,A,Agilent Technologies Inc,-18.89%,CAH,Cardinal Health,6.41%,PPL,PPL Corp.,16.05%,BDX,Becton Dickinson,-2.80%,UNH,United Health Group Inc.,79.17%,AMD,Advanced Micro Devices,70.19%,CMA,Comerica Inc.,30.20%,BIG,Big Lots Inc.,-13.98%,OI,Owens-Illinois,72.08%,REG,Regency Centers Corporation
266,88.83%,PPG,PPG Industries,76.96%,BLL,Ball Corp,55.85%,MO,Altria Group Inc,12.96%,ALXN,Alexion Pharmaceuticals,37.66%,FIS,Fidelity National Information Services,67.02%,RTN,Raytheon Co.,65.82%,SCG,SCANA Corp,81.74%,LH,Laboratory Corp. of America Holding,549.44%,MRO,Marathon Oil Corp.,-43.45%,WY,Weyerhaeuser Corp.,-19.07%,SPGI,"S&P Global, Inc.",5.51%,SBUX,Starbucks Corp.,15.66%,K,Kellogg Co.,-2.81%,DNB,Dun & Bradstreet,79.04%,AES,AES Corp,67.63%,JPM,JPMorgan Chase & Co.,29.11%,TROW,T. Rowe Price Group,-15.26%,FTI,TechnipFMC,70.83%,HSIC,Henry Schein
267,88.83%,VLO,Valero Energy,76.93%,LEG,Leggett & Platt,55.71%,DOV,Dover Corp.,12.94%,FTR,Frontier Communications,37.65%,DWDP,DowDuPont,66.34%,MYL,Mylan N.V.,64.74%,FL,Foot Locker Inc,81.57%,MTB,M&T Bank Corp.,463.39%,AET,Aetna Inc,-44.59%,INCY,Incyte,-19.21%,TMK,Torchmark Corp.,5.04%,QEP,QEP Resources,15.56%,JNJ,Johnson & Johnson,-2.93%,HAL,Halliburton Co.,78.76%,AEP,American Electric Power,67.32%,F,Ford Motor,25.22%,JBL,Jabil Circuit,-15.95%,EVHC,Envision Healthcare,70.23%,SUN,Sunoco Inc.
268,88.20%,O,Realty Income Corporation,76.72%,GIS,General Mills,55.58%,ODP,Office Depot Inc.,12.75%,WEC,Wec Energy Group Inc,37.26%,YUM,Yum! Brands Inc,65.79%,NBR,Nabors Industries,64.72%,HST,Host Hotels & Resorts,81.46%,NKE,Nike,414.58%,SLB,Schlumberger Ltd.,-44.69%,DAL,Delta Air Lines,-19.87%,REG,Regency Centers Corporation,5.03%,TXN,Texas Instruments,14.78%,RSG,Republic Services Inc,-3.35%,AFL,AFLAC Inc,77.74%,SYMC,Symantec Corp.,66.43%,DLR,Digital Realty,25.21%,DISCA,Discovery Communications,-17.47%,NBL,Noble Energy Inc,70.12%,XRAY,Dentsply Sirona
269,85.75%,PEG,Public Serv. Enterprise Inc.,76.03%,SO,Southern Co.,55.28%,FOXA,Twenty-First Century Fox Class A,11.76%,CB,Chubb Corp,36.95%,BF.B,Brown-Forman Corp.,64.79%,NI,NiSource Inc.,63.94%,PG,Procter & Gamble,81.33%,SVU,Supervalu Inc.,404.77%,EIX,Edison Int'l,-45.17%,TXN,Texas Instruments,-20.24%,ANF,Abercrombie & Fitch,4.55%,GRMN,Garmin Ltd.,14.14%,URI,"United Rentals, Inc.",-4.57%,UNM,Unum Group,77.52%,ODP,Office Depot Inc.,65.32%,FII,Federated Investors,23.76%,GPS,Gap Inc.,-21.43%,KMI,Kinder Morgan,70.07%,LM,Legg Mason
270,85.45%,MKC,McCormick & Co.,76.00%,DNR,Denbury Resources,54.56%,RCL,Royal Caribbean Cruises Ltd,11.53%,NBR,Nabors Industries,36.80%,AN,AutoNation Inc,62.08%,MAS,Masco Corp.,63.92%,NOV,National Oilwell Varco Inc.,80.43%,PG,Procter & Gamble,344.51%,AYI,Acuity Brands Inc,-45.54%,FOX,Twenty-First Century Fox Class B,-21.18%,AIV,Apartment Investment & Management,4.14%,FOX,Twenty-First Century Fox Class B,13.90%,FISV,Fiserv Inc,-5.27%,CA,"CA, Inc.",76.90%,XRAY,Dentsply Sirona,65.21%,XYL,Xylem Inc.,23.59%,MS,Morgan Stanley,-22.21%,NWS,News Corp. Class B,69.93%,DUK,Duke Energy
271,85.39%,PNW,Pinnacle West Capital,75.77%,BA,Boeing Company,54.39%,FOX,Twenty-First Century Fox Class B,11.18%,XEC,Cimarex Energy,36.40%,HSY,The Hershey Company,62.00%,FLS,Flowserve Corporation,63.83%,GD,General Dynamics,79.83%,PH,Parker-Hannifin,299.43%,DVN,Devon Energy,-46.14%,TXT,Textron Inc.,-21.21%,VLO,Valero Energy,4.00%,BA,Boeing Company,13.05%,T,AT&T Inc,-5.30%,BRK.B,Berkshire Hathaway,76.28%,PEP,PepsiCo Inc.,65.07%,DWDP,DowDuPont,23.52%,PH,Parker-Hannifin,-25.02%,NRG,NRG Energy,69.81%,CXO,Concho Resources
272,85.36%,HRL,Hormel Foods Corp.,75.37%,STZ,Constellation Brands,53.52%,MAC,Macerich,10.77%,LRCX,Lam Research,36.14%,TMK,Torchmark Corp.,61.38%,SPGI,"S&P Global, Inc.",63.47%,NE,Noble Corp,79.81%,CLX,The Clorox Company,268.58%,TXT,Textron Inc.,-46.22%,LUV,Southwest Airlines,-23.03%,HD,Home Depot,2.98%,HOLX,Hologic,12.94%,DNR,Denbury Resources,-5.37%,REG,Regency Centers Corporation,76.13%,USB,U.S. Bancorp,64.49%,RSG,Republic Services Inc,22.80%,MET,MetLife Inc.,-25.20%,THC,Tenet Healthcare,69.62%,UTX,United Technologies
273,83.39%,EXC,Exelon Corp.,74.47%,VZ,Verizon Communications,53.19%,CNP,CenterPoint Energy,9.81%,PRU,Prudential Financial,35.55%,MO,Altria Group Inc,60.90%,HIG,Hartford Financial Svc.Gp.,63.44%,VMC,Vulcan Materials,79.79%,EBAY,eBay,268.46%,CHRW,C. H. Robinson Worldwide,-47.24%,TSS,Total System Services,-23.31%,FOXA,Twenty-First Century Fox Class A,1.75%,SEE,Sealed Air,12.92%,UPS,United Parcel Service,-5.50%,CCL,Carnival Corp.,74.91%,PNC,PNC Financial Services,64.09%,C,Citigroup Inc.,22.38%,BWA,BorgWarner,-29.28%,APA,Apache Corporation,69.40%,WYNN,Wynn Resorts
274,83.37%,LUK,Leucadia National Corp.,72.97%,ANF,Abercrombie & Fitch,53.18%,SUN,Sunoco Inc.,9.50%,GPC,Genuine Parts,34.82%,FITB,Fifth Third Bancorp,60.78%,MAT,Mattel Inc.,62.70%,PPL,PPL Corp.,79.61%,NTAP,NetApp,261.06%,EXC,Exelon Corp.,-47.84%,PXD,Pioneer Natural Resources,-23.48%,CINF,Cincinnati Financial,1.71%,LSI,LSI Corporation,12.89%,VIAB,Viacom Inc.,-6.23%,PCAR,PACCAR Inc.,74.20%,ABT,Abbott Laboratories,63.98%,AVY,Avery Dennison Corp,22.27%,XOM,Exxon Mobil Corp.,-29.80%,BBBY,Bed Bath & Beyond,69.23%,KMB,Kimberly-Clark
275,82.82%,UNM,Unum Group,71.49%,DXC,DXC Technology,52.84%,AME,AMETEK Inc,9.18%,NBL,Noble Energy Inc,34.61%,MDT,Medtronic plc,60.61%,FMC,FMC Corporation,61.67%,PH,Parker-Hannifin,79.43%,SCG,SCANA Corp,254.96%,MTD,Mettler Toledo,-47.97%,GHC,Graham Holdings,-23.72%,DISH,Dish Network,1.58%,FL,Foot Locker Inc,12.85%,KR,Kroger Co.,-6.48%,EXPD,Expeditors International,71.90%,MET,MetLife Inc.,62.69%,CME,CME Group Inc.,20.84%,AFL,AFLAC Inc,-32.17%,TPR,"Tapestry, Inc.",68.21%,HRB,Block H&R
276,82.21%,RF,Regions Financial Corp.,71.32%,MU,Micron Technology,51.88%,BF.B,Brown-Forman Corp.,9.04%,PH,Parker-Hannifin,34.50%,TSS,Total System Services,60.44%,BRK.B,Berkshire Hathaway,61.66%,APD,Air Products & Chemicals Inc,79.39%,HAS,Hasbro Inc.,251.49%,BXP,Boston Properties,-47.99%,SNI,Scripps Networks Interactive Inc.,-24.19%,LLY,Lilly (Eli) & Co.,1.43%,NE,Noble Corp,12.60%,KORS,Michael Kors Holdings,-6.78%,HUM,Humana Inc.,71.69%,LLL,L-3 Communications Holdings,59.27%,BK,The Bank of New York Mellon Corp.,20.62%,EQT,EQT Corporation,-35.12%,NOV,National Oilwell Varco Inc.,66.96%,EXC,Exelon Corp.
277,81.43%,GWW,Grainger (W.W.) Inc.,71.04%,KO,Coca-Cola Company,51.51%,LNT,Alliant Energy Corp,8.37%,CAT,Caterpillar Inc.,34.39%,PKI,PerkinElmer,59.75%,PH,Parker-Hannifin,61.61%,FHN,First Horizon,79.29%,COO,The Cooper Companies,246.81%,ENDP,Endo International plc,-48.34%,NWL,Newell Brands,-24.63%,WY,Weyerhaeuser Corp.,0.52%,GLW,Corning Inc.,12.42%,PWR,Quanta Services Inc.,-7.66%,CBG,CBRE Group,71.00%,HOLX,Hologic,58.75%,KMI,Kinder Morgan,20.06%,R,Ryder Systems Inc.,-39.13%,RDC,Rowan Companies Plc,66.59%,CTXS,Citrix Systems
278,81.31%,ED,Consolidated Edison,69.64%,BHGE,"Baker Hughes, a GE Company",51.33%,URI,"United Rentals, Inc.",8.33%,MAR,Marriott Int'l.,33.96%,FHN,First Horizon,59.27%,HES,Hess Corporation,61.36%,ED,Consolidated Edison,79.19%,GNW,Genworth Financial,242.62%,DVA,DaVita,-49.05%,KMX,Carmax Inc,-25.23%,CA,"CA, Inc.",0.42%,LLL,L-3 Communications Holdings,12.37%,SRE,Sempra Energy,-8.23%,AAL,American Airlines Group,70.93%,MGM,MGM Resorts International,58.58%,MON,Monsanto Co.,19.69%,ETN,Eaton Corporation,-43.02%,SVU,Supervalu Inc.,66.37%,IP,International Paper
279,80.15%,HP,Helmerich & Payne,68.58%,O,Realty Income Corporation,51.25%,PKG,Packaging Corporation of America,8.00%,FCX,Freeport-McMoRan Inc.,33.78%,WMT,Wal-Mart Stores,58.93%,PEP,PepsiCo Inc.,61.35%,SNA,Snap-On Inc.,76.37%,EMR,Emerson Electric Company,241.88%,BCR,Bard (C.R.) Inc.,-50.55%,XLNX,Xilinx Inc,-25.93%,NWL,Newell Brands,0.39%,EIX,Edison Int'l,12.11%,R,Ryder Systems Inc.,-8.23%,SLG,SL Green Realty,70.83%,WFC,Wells Fargo,55.92%,XRAY,Dentsply Sirona,17.81%,PVH,PVH Corp.,-44.30%,GNW,Genworth Financial,65.79%,OMC,Omnicom Group
280,80.05%,KIM,Kimco Realty,68.11%,MKC,McCormick & Co.,51.10%,BAC,Bank of America Corp,7.91%,HES,Hess Corporation,33.77%,WEC,Wec Energy Group Inc,58.82%,CAG,Conagra Brands,60.82%,RHI,Robert Half International,75.82%,ORLY,O'Reilly Automotive,240.72%,PKI,PerkinElmer,-51.28%,DRE,Duke Realty Corp,-26.04%,SBUX,Starbucks Corp.,-0.21%,SLG,SL Green Realty,11.55%,ITT,ITT Corp.,-8.37%,MDT,Medtronic plc,70.83%,CBOE,CBOE Holdings,54.74%,CTL,CenturyLink Inc,17.55%,CVX,Chevron Corp.,-66.63%,CHK,Chesapeake Energy,65.63%,DNB,Dun & Bradstreet
281,79.53%,APC,Anadarko Petroleum Corp,67.65%,APD,Air Products & Chemicals Inc,50.99%,INCY,Incyte,7.83%,AOS,A.O. Smith,33.25%,SCG,SCANA Corp,58.23%,GIS,General Mills,60.75%,LB,L Brands Inc.,75.74%,AIV,Apartment Investment & Management,234.25%,CMG,Chipotle Mexican Grill,-51.70%,PHM,Pulte Homes Inc.,-26.22%,ZBH,Zimmer Biomet Holdings,-0.74%,FOXA,Twenty-First Century Fox Class A,10.92%,TXN,Texas Instruments,-8.56%,MAS,Masco Corp.,70.39%,CTL,CenturyLink Inc,54.53%,PEG,Public Serv. Enterprise Inc.,17.36%,VTR,Ventas Inc,-67.38%,FOSL,Fossil Group,65.35%,WU,Western Union Co
282,78.97%,DNB,Dun & Bradstreet,67.34%,MRO,Marathon Oil Corp.,50.50%,BMS,Bemis Company,7.73%,GE,General Electric,33.07%,AIV,Apartment Investment & Management,57.82%,ODP,Office Depot Inc.,60.25%,UTX,United Technologies,75.60%,RDC,Rowan Companies Plc,229.10%,YUM,Yum! Brands Inc,-52.26%,M,Macy's Inc.,-26.54%,F,Ford Motor,-1.03%,TEL,TE Connectivity Ltd.,10.67%,UDR,UDR Inc,-8.98%,MON,Monsanto Co.,70.28%,EIX,Edison Int'l,54.41%,XOM,Exxon Mobil Corp.,15.99%,LM,Legg Mason,-68.06%,AVP,Avon Products,65.22%,SYF,Synchrony Financial
283,78.87%,REG,Regency Centers Corporation,65.19%,BCR,Bard (C.R.) Inc.,49.88%,ALB,Albemarle Corp,7.39%,FLR,Fluor Corp.,32.89%,GIS,General Mills,57.35%,FISV,Fiserv Inc,59.34%,ITW,Illinois Tool Works,75.08%,UNP,Union Pacific,225.68%,NE,Noble Corp,-52.30%,MAS,Masco Corp.,-26.56%,JBL,Jabil Circuit,-1.31%,HD,Home Depot,10.26%,KMX,Carmax Inc,-9.02%,MSI,Motorola Solutions Inc.,69.62%,KEY,KeyCorp,53.62%,CA,"CA, Inc.",15.78%,CFG,Citizens Financial Group,-71.89%,ANF,Abercrombie & Fitch,65.21%,TGNA,"Tegna, Inc."
284,78.85%,CHRW,C. H. Robinson Worldwide,65.12%,HAL,Halliburton Co.,49.66%,MAS,Masco Corp.,7.03%,VNO,Vornado Realty Trust,32.35%,TRV,The Travelers Companies Inc.,56.32%,CMA,Comerica Inc.,59.16%,ADBE,Adobe Systems Inc,74.38%,WLTW,Willis Towers Watson,222.64%,CCK,Crown Holdings,-52.65%,URI,"United Rentals, Inc.",-28.28%,AVY,Avery Dennison Corp,-1.60%,GPN,Global Payments Inc,9.92%,RJF,Raymond James Financial Inc.,-9.37%,XRAY,Dentsply Sirona,68.73%,HCN,Welltower Inc.,51.29%,CPB,Campbell Soup,14.54%,PBI,Pitney Bowes Inc,-76.00%,JCP,J.C. Penney,65.18%,GPC,Genuine Parts
285,77.72%,GIS,General Mills,63.72%,HRL,Hormel Foods Corp.,49.24%,APD,Air Products & Chemicals Inc,6.82%,WHR,Whirlpool Corp.,32.15%,JNJ,Johnson & Johnson,55.32%,PNC,PNC Financial Services,58.76%,PKG,Packaging Corporation of America,74.24%,DRI,Darden Restaurants,186.68%,TMO,Thermo Fisher Scientific,-52.91%,AMAT,Applied Materials Inc,-28.84%,MS,Morgan Stanley,-1.86%,HUM,Humana Inc.,9.88%,NOC,Northrop Grumman Corp.,-10.24%,SLM,SLM Corporation,68.42%,CPB,Campbell Soup,51.11%,GPN,Global Payments Inc,13.23%,THC,Tenet Healthcare,-76.23%,DNR,Denbury Resources,65.10%,ADS,Alliance Data Systems
286,77.06%,VAR,Varian Medical Systems,60.57%,NKE,Nike,48.91%,ADS,Alliance Data Systems,6.44%,TMK,Torchmark Corp.,32.05%,SHW,Sherwin-Williams,54.96%,STX,Seagate Technology,58.74%,CB,Chubb Corp,73.94%,DIS,The Walt Disney Company,179.33%,IVZ,Invesco Ltd.,-54.57%,ADI,"Analog Devices, Inc.",-29.21%,LUV,Southwest Airlines,-1.94%,WYN,Wyndham Worldwide,9.74%,BXP,Boston Properties,-11.65%,MRK,Merck & Co.,67.68%,ADM,Archer-Daniels-Midland Co,50.13%,AFL,AFLAC Inc,13.00%,INFO,IHS Markit Ltd.,-76.57%,ESV,Ensco plc,65.09%,IVZ,Invesco Ltd.
287,76.11%,MUR,Murphy Oil,60.14%,AMD,Advanced Micro Devices,48.88%,AON,Aon plc,6.06%,NTRS,Northern Trust Corp.,31.92%,DVA,DaVita,54.45%,AOS,A.O. Smith,58.67%,JBL,Jabil Circuit,73.52%,PDCO,Patterson Companies,178.95%,ANTM,Anthem Inc.,-54.84%,ZION,Zions Bancorp,-30.14%,JCP,J.C. Penney,-2.30%,BK,The Bank of New York Mellon Corp.,9.65%,KLAC,KLA-Tencor Corp.,-11.82%,ADBE,Adobe Systems Inc,67.25%,AFL,AFLAC Inc,50.10%,SYMC,Symantec Corp.,12.30%,SNI,Scripps Networks Interactive Inc.,-85.62%,LIFE,Life Technologies,65.04%,ETN,Eaton Corporation
